onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	left_sym	n/a	n/a	n/a	n/a
22.6670909091	n/a	5666.7727	show_face	unfamiliar_face	first_show	13	u046.bmp
23.3616363636	n/a	5840.4091	right_press	n/a	n/a	4096	n/a
23.5052727273	n/a	5876.3182	show_circle	n/a	n/a	0	circle.bmp
25.2052727273	n/a	6301.3182	show_cross	n/a	n/a	n/a	cross.bmp
25.7234545455	n/a	6430.8636	show_face	unfamiliar_face	immediate_repeat	14	u046.bmp
26.2525454545	n/a	6563.1364	right_press	n/a	n/a	4096	n/a
26.6343636364	n/a	6658.5909	show_circle	n/a	n/a	0	circle.bmp
28.3343636364	n/a	7083.5909	show_cross	n/a	n/a	n/a	cross.bmp
28.9643636364	n/a	7241.0909	show_face	unfamiliar_face	first_show	13	u022.bmp
29.7898181818	n/a	7447.4545	right_press	n/a	n/a	4096	n/a
29.9516363636	n/a	7487.9091	show_circle	n/a	n/a	0	circle.bmp
31.6516363636	n/a	7912.9091	show_cross	n/a	n/a	n/a	cross.bmp
32.2725454545	n/a	8068.1364	show_face	famous_face	first_show	5	f133.bmp
32.9816363636	n/a	8245.4091	left_press	n/a	n/a	256	n/a
33.2352727273	n/a	8308.8182	show_circle	n/a	n/a	0	circle.bmp
34.9352727273	n/a	8733.8182	show_cross	n/a	n/a	n/a	cross.bmp
35.5634545455	n/a	8890.8636	show_face	famous_face	immediate_repeat	6	f133.bmp
36.1552727273	n/a	9038.8182	left_press	n/a	n/a	256	n/a
36.3916363636	n/a	9097.9091	show_circle	n/a	n/a	0	circle.bmp
38.0916363636	n/a	9522.9091	show_cross	n/a	n/a	n/a	cross.bmp
38.5698181818	n/a	9642.4545	show_face	famous_face	first_show	5	f035.bmp
39.2780000000	n/a	9819.5	right_press	n/a	n/a	4096	n/a
39.4370909091	n/a	9859.2727	show_circle	n/a	n/a	0	circle.bmp
41.1370909091	n/a	10284.2727	show_cross	n/a	n/a	n/a	cross.bmp
41.7107272727	n/a	10427.6818	show_face	unfamiliar_face	first_show	13	u150.bmp
42.4325454545	n/a	10608.1364	right_press	n/a	n/a	4096	n/a
42.6807272727	n/a	10670.1818	show_circle	n/a	n/a	0	circle.bmp
44.3807272727	n/a	11095.1818	show_cross	n/a	n/a	n/a	cross.bmp
44.8343636364	n/a	11208.5909	show_face	famous_face	first_show	5	f072.bmp
45.7325454545	n/a	11433.1364	right_press	n/a	n/a	4096	n/a
45.7952727273	n/a	11448.8182	show_circle	n/a	n/a	0	circle.bmp
47.4952727273	n/a	11873.8182	show_cross	n/a	n/a	n/a	cross.bmp
48.1252727273	n/a	12031.3182	show_face	scrambled_face	first_show	17	s058.bmp
48.9380000000	n/a	12234.5	right_press	n/a	n/a	4096	n/a
49.1043636364	n/a	12276.0909	show_circle	n/a	n/a	0	circle.bmp
50.8043636364	n/a	12701.0909	show_cross	n/a	n/a	n/a	cross.bmp
51.2825454545	n/a	12820.6364	show_face	unfamiliar_face	delayed_repeat	15	u022.bmp
51.9789090909	n/a	12994.7273	right_press	n/a	n/a	4096	n/a
52.2152727273	n/a	13053.8182	show_circle	n/a	n/a	0	circle.bmp
53.9152727273	n/a	13478.8182	show_cross	n/a	n/a	n/a	cross.bmp
54.5070909091	n/a	13626.7727	show_face	scrambled_face	first_show	17	s055.bmp
55.2316363636	n/a	13807.9091	right_press	n/a	n/a	4096	n/a
55.4534545455	n/a	13863.3636	show_circle	n/a	n/a	0	circle.bmp
57.1534545455	n/a	14288.3636	show_cross	n/a	n/a	n/a	cross.bmp
57.7980000000	n/a	14449.5	show_face	famous_face	first_show	5	f105.bmp
58.7834545455	n/a	14695.8636	show_circle	n/a	n/a	0	circle.bmp
58.7907272727	n/a	14697.6818	left_press	n/a	n/a	256	n/a
60.4834545455	n/a	15120.8636	show_cross	n/a	n/a	n/a	cross.bmp
61.0389090909	n/a	15259.7273	show_face	famous_face	immediate_repeat	6	f105.bmp
61.6825454545	n/a	15420.6364	left_press	n/a	n/a	256	n/a
62.0216363636	n/a	15505.4091	show_circle	n/a	n/a	0	circle.bmp
63.7216363636	n/a	15930.4091	show_cross	n/a	n/a	n/a	cross.bmp
64.2461818182	n/a	16061.5455	show_face	famous_face	delayed_repeat	7	f035.bmp
64.9280000000	n/a	16232	right_press	n/a	n/a	4096	n/a
65.1598181818	n/a	16289.9545	show_circle	n/a	n/a	0	circle.bmp
66.8598181818	n/a	16714.9545	show_cross	n/a	n/a	n/a	cross.bmp
67.3534545455	n/a	16838.3636	show_face	scrambled_face	first_show	17	s040.bmp
68.1661818182	n/a	17041.5455	left_press	n/a	n/a	256	n/a
68.2652727273	n/a	17066.3182	show_circle	n/a	n/a	0	circle.bmp
69.9652727273	n/a	17491.3182	show_cross	n/a	n/a	n/a	cross.bmp
70.6107272727	n/a	17652.6818	show_face	unfamiliar_face	delayed_repeat	15	u150.bmp
71.5434545455	n/a	17885.8636	show_circle	n/a	n/a	0	circle.bmp
71.6580000000	n/a	17914.5	right_press	n/a	n/a	4096	n/a
73.2434545455	n/a	18310.8636	show_cross	n/a	n/a	n/a	cross.bmp
73.8680000000	n/a	18467	show_face	unfamiliar_face	first_show	13	u059.bmp
74.7552727273	n/a	18688.8182	show_circle	n/a	n/a	0	circle.bmp
74.7798181818	n/a	18694.9545	left_press	n/a	n/a	256	n/a
76.4552727273	n/a	19113.8182	show_cross	n/a	n/a	n/a	cross.bmp
76.9416363636	n/a	19235.4091	show_face	unfamiliar_face	immediate_repeat	14	u059.bmp
77.7343636364	n/a	19433.5909	left_press	n/a	n/a	256	n/a
77.8607272727	n/a	19465.1818	show_circle	n/a	n/a	0	circle.bmp
79.5607272727	n/a	19890.1818	show_cross	n/a	n/a	n/a	cross.bmp
80.0489090909	n/a	20012.2273	show_face	famous_face	delayed_repeat	7	f072.bmp
80.9498181818	n/a	20237.4545	show_circle	n/a	n/a	0	circle.bmp
82.6498181818	n/a	20662.4545	show_cross	n/a	n/a	n/a	cross.bmp
82.7425454545	n/a	20685.6364	right_press	n/a	n/a	4096	n/a
83.1561818182	n/a	20789.0455	show_face	scrambled_face	first_show	17	s051.bmp
83.9789090909	n/a	20994.7273	show_circle	n/a	n/a	0	circle.bmp
84.1516363636	n/a	21037.9091	right_press	n/a	n/a	4096	n/a
85.6789090909	n/a	21419.7273	show_cross	n/a	n/a	n/a	cross.bmp
86.1798181818	n/a	21544.9545	show_face	scrambled_face	immediate_repeat	18	s051.bmp
87.1025454545	n/a	21775.6364	show_circle	n/a	n/a	0	circle.bmp
87.1043636364	n/a	21776.0909	right_press	n/a	n/a	4096	n/a
88.8025454545	n/a	22200.6364	show_cross	n/a	n/a	n/a	cross.bmp
89.3207272727	n/a	22330.1818	show_face	scrambled_face	delayed_repeat	19	s058.bmp
90.0525454545	n/a	22513.1364	right_press	n/a	n/a	4096	n/a
90.2434545455	n/a	22560.8636	show_circle	n/a	n/a	0	circle.bmp
91.9434545455	n/a	22985.8636	show_cross	n/a	n/a	n/a	cross.bmp
92.4780000000	n/a	23119.5	show_face	scrambled_face	first_show	17	s064.bmp
93.4443636364	n/a	23361.0909	show_circle	n/a	n/a	0	circle.bmp
93.7734545455	n/a	23443.3636	right_press	n/a	n/a	4096	n/a
95.1443636364	n/a	23786.0909	show_cross	n/a	n/a	n/a	cross.bmp
95.6516363636	n/a	23912.9091	show_face	scrambled_face	delayed_repeat	19	s055.bmp
96.5789090909	n/a	24144.7273	show_circle	n/a	n/a	0	circle.bmp
96.6916363636	n/a	24172.9091	right_press	n/a	n/a	4096	n/a
98.2789090909	n/a	24569.7273	show_cross	n/a	n/a	n/a	cross.bmp
98.8089090909	n/a	24702.2273	show_face	famous_face	first_show	5	f038.bmp
99.7843636364	n/a	24946.0909	show_circle	n/a	n/a	0	circle.bmp
100.5352727273	n/a	25133.8182	left_press	n/a	n/a	256	n/a
101.4843636364	n/a	25371.0909	show_cross	n/a	n/a	n/a	cross.bmp
102.1334545455	n/a	25533.3636	show_face	scrambled_face	first_show	17	s118.bmp
102.9825454545	n/a	25745.6364	right_press	n/a	n/a	4096	n/a
103.0980000000	n/a	25774.5	show_circle	n/a	n/a	0	circle.bmp
104.7980000000	n/a	26199.5	show_cross	n/a	n/a	n/a	cross.bmp
105.2580000000	n/a	26314.5	show_face	scrambled_face	immediate_repeat	18	s118.bmp
