onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	left_sym	n/a	n/a	n/a	n/a
23.4689090909	n/a	5867.2273	show_face	scrambled_face	first_show	17	s062.bmp
24.3470909091	n/a	6086.7727	show_circle	n/a	n/a	0	circle.bmp
24.5025454545	n/a	6125.6364	right_press	n/a	n/a	4096	n/a
26.0470909091	n/a	6511.7727	show_cross	n/a	n/a	n/a	cross.bmp
26.6925454545	n/a	6673.1364	show_face	famous_face	first_show	5	f131.bmp
27.3743636364	n/a	6843.5909	left_press	n/a	n/a	256	n/a
27.5543636364	n/a	6888.5909	show_circle	n/a	n/a	0	circle.bmp
29.2543636364	n/a	7313.5909	show_cross	n/a	n/a	n/a	cross.bmp
29.8670909091	n/a	7466.7727	show_face	unfamiliar_face	first_show	13	u079.bmp
30.5070909091	n/a	7626.7727	right_press	n/a	n/a	4096	n/a
30.7816363636	n/a	7695.4091	show_circle	n/a	n/a	0	circle.bmp
32.4816363636	n/a	8120.4091	show_cross	n/a	n/a	n/a	cross.bmp
33.1080000000	n/a	8277	show_face	unfamiliar_face	immediate_repeat	14	u079.bmp
33.7425454545	n/a	8435.6364	right_press	n/a	n/a	4096	n/a
33.9843636364	n/a	8496.0909	show_circle	n/a	n/a	0	circle.bmp
35.6843636364	n/a	8921.0909	show_cross	n/a	n/a	n/a	cross.bmp
36.2480000000	n/a	9062	show_face	famous_face	first_show	5	f066.bmp
37.0143636364	n/a	9253.5909	left_press	n/a	n/a	256	n/a
37.1943636364	n/a	9298.5909	show_circle	n/a	n/a	0	circle.bmp
38.8943636364	n/a	9723.5909	show_cross	n/a	n/a	n/a	cross.bmp
39.4552727273	n/a	9863.8182	show_face	famous_face	immediate_repeat	6	f066.bmp
40.1107272727	n/a	10027.6818	left_press	n/a	n/a	256	n/a
40.3898181818	n/a	10097.4545	show_circle	n/a	n/a	0	circle.bmp
42.0898181818	n/a	10522.4545	show_cross	n/a	n/a	n/a	cross.bmp
42.5625454545	n/a	10640.6364	show_face	unfamiliar_face	first_show	13	u074.bmp
43.5234545455	n/a	10880.8636	show_circle	n/a	n/a	0	circle.bmp
43.5725454545	n/a	10893.1364	right_press	n/a	n/a	4096	n/a
45.2234545455	n/a	11305.8636	show_cross	n/a	n/a	n/a	cross.bmp
45.7698181818	n/a	11442.4545	show_face	scrambled_face	first_show	17	s065.bmp
46.7098181818	n/a	11677.4545	show_circle	n/a	n/a	0	circle.bmp
46.7161818182	n/a	11679.0455	right_press	n/a	n/a	4096	n/a
48.4098181818	n/a	12102.4545	show_cross	n/a	n/a	n/a	cross.bmp
48.8770909091	n/a	12219.2727	show_face	scrambled_face	delayed_repeat	19	s062.bmp
49.8398181818	n/a	12459.9545	left_press	n/a	n/a	256	n/a
49.8670909091	n/a	12466.7727	show_circle	n/a	n/a	0	circle.bmp
51.5670909091	n/a	12891.7727	show_cross	n/a	n/a	n/a	cross.bmp
52.1352727273	n/a	13033.8182	show_face	scrambled_face	first_show	17	s025.bmp
52.9752727273	n/a	13243.8182	show_circle	n/a	n/a	0	circle.bmp
53.1243636364	n/a	13281.0909	left_press	n/a	n/a	256	n/a
54.6752727273	n/a	13668.8182	show_cross	n/a	n/a	n/a	cross.bmp
55.2752727273	n/a	13818.8182	show_face	scrambled_face	immediate_repeat	18	s025.bmp
56.0807272727	n/a	14020.1818	left_press	n/a	n/a	256	n/a
56.2870909091	n/a	14071.7727	show_circle	n/a	n/a	0	circle.bmp
57.9870909091	n/a	14496.7727	show_cross	n/a	n/a	n/a	cross.bmp
58.5998181818	n/a	14649.9545	show_face	famous_face	delayed_repeat	7	f131.bmp
59.4107272727	n/a	14852.6818	left_press	n/a	n/a	256	n/a
59.5770909091	n/a	14894.2727	show_circle	n/a	n/a	0	circle.bmp
61.2770909091	n/a	15319.2727	show_cross	n/a	n/a	n/a	cross.bmp
61.7734545455	n/a	15443.3636	show_face	famous_face	first_show	5	f034.bmp
62.5852727273	n/a	15646.3182	right_press	n/a	n/a	4096	n/a
62.6598181818	n/a	15664.9545	show_circle	n/a	n/a	0	circle.bmp
64.3598181818	n/a	16089.9545	show_cross	n/a	n/a	n/a	cross.bmp
64.8980000000	n/a	16224.5	show_face	famous_face	immediate_repeat	6	f034.bmp
65.7516363636	n/a	16437.9091	right_press	n/a	n/a	4096	n/a
65.8743636364	n/a	16468.5909	show_circle	n/a	n/a	0	circle.bmp
67.5743636364	n/a	16893.5909	show_cross	n/a	n/a	n/a	cross.bmp
68.1716363636	n/a	17042.9091	show_face	scrambled_face	first_show	17	s022.bmp
69.0452727273	n/a	17261.3182	show_circle	n/a	n/a	0	circle.bmp
69.1889090909	n/a	17297.2273	right_press	n/a	n/a	4096	n/a
70.7452727273	n/a	17686.3182	show_cross	n/a	n/a	n/a	cross.bmp
71.2789090909	n/a	17819.7273	show_face	scrambled_face	first_show	17	s029.bmp
72.1307272727	n/a	18032.6818	left_press	n/a	n/a	256	n/a
72.2180000000	n/a	18054.5	show_circle	n/a	n/a	0	circle.bmp
73.9180000000	n/a	18479.5	show_cross	n/a	n/a	n/a	cross.bmp
74.5034545455	n/a	18625.8636	show_face	unfamiliar_face	delayed_repeat	15	u074.bmp
75.3170909091	n/a	18829.2727	right_press	n/a	n/a	4096	n/a
75.3343636364	n/a	18833.5909	show_circle	n/a	n/a	0	circle.bmp
77.0343636364	n/a	19258.5909	show_cross	n/a	n/a	n/a	cross.bmp
77.5934545455	n/a	19398.3636	show_face	famous_face	first_show	5	f142.bmp
78.4670909091	n/a	19616.7727	right_press	n/a	n/a	4096	n/a
78.4952727273	n/a	19623.8182	show_circle	n/a	n/a	0	circle.bmp
80.1952727273	n/a	20048.8182	show_cross	n/a	n/a	n/a	cross.bmp
80.7843636364	n/a	20196.0909	show_face	scrambled_face	delayed_repeat	19	s065.bmp
81.6416363636	n/a	20410.4091	show_circle	n/a	n/a	0	circle.bmp
81.7025454545	n/a	20425.6364	right_press	n/a	n/a	4096	n/a
83.3416363636	n/a	20835.4091	show_cross	n/a	n/a	n/a	cross.bmp
83.8243636364	n/a	20956.0909	show_face	scrambled_face	first_show	17	s036.bmp
84.7125454545	n/a	21178.1364	show_circle	n/a	n/a	0	circle.bmp
84.7343636364	n/a	21183.5909	right_press	n/a	n/a	4096	n/a
86.4125454545	n/a	21603.1364	show_cross	n/a	n/a	n/a	cross.bmp
86.9816363636	n/a	21745.4091	show_face	famous_face	first_show	5	f094.bmp
87.6852727273	n/a	21921.3182	left_press	n/a	n/a	256	n/a
87.9025454545	n/a	21975.6364	show_circle	n/a	n/a	0	circle.bmp
89.6025454545	n/a	22400.6364	show_cross	n/a	n/a	n/a	cross.bmp
90.0725454545	n/a	22518.1364	show_face	unfamiliar_face	first_show	13	u009.bmp
90.7770909091	n/a	22694.2727	left_press	n/a	n/a	256	n/a
91.0070909091	n/a	22751.7727	show_circle	n/a	n/a	0	circle.bmp
92.7070909091	n/a	23176.7727	show_cross	n/a	n/a	n/a	cross.bmp
93.3134545455	n/a	23328.3636	show_face	unfamiliar_face	immediate_repeat	14	u009.bmp
94.0034545455	n/a	23500.8636	left_press	n/a	n/a	256	n/a
94.1861818182	n/a	23546.5455	show_circle	n/a	n/a	0	circle.bmp
95.8861818182	n/a	23971.5455	show_cross	n/a	n/a	n/a	cross.bmp
96.4870909091	n/a	24121.7727	show_face	scrambled_face	delayed_repeat	19	s022.bmp
97.3452727273	n/a	24336.3182	show_circle	n/a	n/a	0	circle.bmp
97.3707272727	n/a	24342.6818	left_press	n/a	n/a	256	n/a
99.0452727273	n/a	24761.3182	show_cross	n/a	n/a	n/a	cross.bmp
99.6280000000	n/a	24907	show_face	scrambled_face	first_show	17	s070.bmp
100.3098181818	n/a	25077.4545	right_press	n/a	n/a	4096	n/a
100.4843636364	n/a	25121.0909	show_circle	n/a	n/a	0	circle.bmp
102.1843636364	n/a	25546.0909	show_cross	n/a	n/a	n/a	cross.bmp
102.7680000000	n/a	25692	show_face	scrambled_face	immediate_repeat	18	s070.bmp
103.4070909091	n/a	25851.7727	right_press	n/a	n/a	4096	n/a
103.6534545455	n/a	25913.3636	show_circle	n/a	n/a	0	circle.bmp
105.3534545455	n/a	26338.3636	show_cross	n/a	n/a	n/a	cross.bmp
105.8252727273	n/a	26456.3182	show_face	scrambled_face	delayed_repeat	19	s029.bmp
