onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	left_sym	n/a	n/a	n/a	n/a
23.6916363636	n/a	5922.9091	show_face	unfamiliar_face	first_show	13	u093.bmp
24.6380000000	n/a	6159.5	show_circle	n/a	n/a	0	circle.bmp
24.7661818182	n/a	6191.5455	right_press	n/a	n/a	4096	n/a
26.3380000000	n/a	6584.5	show_cross	n/a	n/a	n/a	cross.bmp
26.8661818182	n/a	6716.5455	show_face	scrambled_face	first_show	17	s116.bmp
27.7761818182	n/a	6944.0455	show_circle	n/a	n/a	0	circle.bmp
27.8043636364	n/a	6951.0909	right_press	n/a	n/a	4096	n/a
29.4761818182	n/a	7369.0455	show_cross	n/a	n/a	n/a	cross.bmp
30.0243636364	n/a	7506.0909	show_face	scrambled_face	immediate_repeat	18	s116.bmp
30.7689090909	n/a	7692.2273	right_press	n/a	n/a	4096	n/a
30.8680000000	n/a	7717	show_circle	n/a	n/a	0	circle.bmp
32.5680000000	n/a	8142	show_cross	n/a	n/a	n/a	cross.bmp
33.0298181818	n/a	8257.4545	show_face	famous_face	first_show	5	f135.bmp
33.8061818182	n/a	8451.5455	right_press	n/a	n/a	4096	n/a
33.9889090909	n/a	8497.2273	show_circle	n/a	n/a	0	circle.bmp
35.6889090909	n/a	8922.2273	show_cross	n/a	n/a	n/a	cross.bmp
36.3216363636	n/a	9080.4091	show_face	unfamiliar_face	first_show	13	u092.bmp
36.8380000000	n/a	9209.5	left_press	n/a	n/a	256	n/a
37.2543636364	n/a	9313.5909	show_circle	n/a	n/a	0	circle.bmp
38.9543636364	n/a	9738.5909	show_cross	n/a	n/a	n/a	cross.bmp
39.4116363636	n/a	9852.9091	show_face	unfamiliar_face	immediate_repeat	14	u092.bmp
39.9970909091	n/a	9999.2727	left_press	n/a	n/a	256	n/a
40.4061818182	n/a	10101.5455	show_circle	n/a	n/a	0	circle.bmp
42.1061818182	n/a	10526.5455	show_cross	n/a	n/a	n/a	cross.bmp
42.6189090909	n/a	10654.7273	show_face	scrambled_face	first_show	17	s063.bmp
43.3770909091	n/a	10844.2727	left_press	n/a	n/a	256	n/a
43.4880000000	n/a	10872	show_circle	n/a	n/a	0	circle.bmp
45.1880000000	n/a	11297	show_cross	n/a	n/a	n/a	cross.bmp
45.7934545455	n/a	11448.3636	show_face	unfamiliar_face	first_show	13	u014.bmp
46.4052727273	n/a	11601.3182	right_press	n/a	n/a	4096	n/a
46.8098181818	n/a	11702.4545	show_circle	n/a	n/a	0	circle.bmp
48.5098181818	n/a	12127.4545	show_cross	n/a	n/a	n/a	cross.bmp
49.1507272727	n/a	12287.6818	show_face	unfamiliar_face	delayed_repeat	15	u093.bmp
49.9070909091	n/a	12476.7727	right_press	n/a	n/a	4096	n/a
49.9934545455	n/a	12498.3636	show_circle	n/a	n/a	0	circle.bmp
51.6934545455	n/a	12923.3636	show_cross	n/a	n/a	n/a	cross.bmp
52.1916363636	n/a	13047.9091	show_face	scrambled_face	first_show	17	s111.bmp
53.0107272727	n/a	13252.6818	right_press	n/a	n/a	4096	n/a
53.1325454545	n/a	13283.1364	show_circle	n/a	n/a	0	circle.bmp
54.8325454545	n/a	13708.1364	show_cross	n/a	n/a	n/a	cross.bmp
55.4816363636	n/a	13870.4091	show_face	scrambled_face	immediate_repeat	18	s111.bmp
56.2861818182	n/a	14071.5455	right_press	n/a	n/a	4096	n/a
56.4825454545	n/a	14120.6364	show_circle	n/a	n/a	0	circle.bmp
58.1825454545	n/a	14545.6364	show_cross	n/a	n/a	n/a	cross.bmp
58.7898181818	n/a	14697.4545	show_face	scrambled_face	first_show	17	s088.bmp
59.6443636364	n/a	14911.0909	right_press	n/a	n/a	4096	n/a
59.6680000000	n/a	14917	show_circle	n/a	n/a	0	circle.bmp
61.3680000000	n/a	15342	show_cross	n/a	n/a	n/a	cross.bmp
61.9634545455	n/a	15490.8636	show_face	scrambled_face	immediate_repeat	18	s088.bmp
62.7689090909	n/a	15692.2273	right_press	n/a	n/a	4096	n/a
62.9116363636	n/a	15727.9091	show_circle	n/a	n/a	0	circle.bmp
64.6116363636	n/a	16152.9091	show_cross	n/a	n/a	n/a	cross.bmp
65.0707272727	n/a	16267.6818	show_face	famous_face	delayed_repeat	7	f135.bmp
65.7789090909	n/a	16444.7273	right_press	n/a	n/a	4096	n/a
66.0725454545	n/a	16518.1364	show_circle	n/a	n/a	0	circle.bmp
67.7725454545	n/a	16943.1364	show_cross	n/a	n/a	n/a	cross.bmp
68.4116363636	n/a	17102.9091	show_face	famous_face	first_show	5	f031.bmp
69.2098181818	n/a	17302.4545	right_press	n/a	n/a	4096	n/a
69.3861818182	n/a	17346.5455	show_circle	n/a	n/a	0	circle.bmp
71.0861818182	n/a	17771.5455	show_cross	n/a	n/a	n/a	cross.bmp
71.6361818182	n/a	17909.0455	show_face	famous_face	first_show	5	f111.bmp
72.1443636364	n/a	18036.0909	left_press	n/a	n/a	256	n/a
72.5780000000	n/a	18144.5	show_circle	n/a	n/a	0	circle.bmp
74.2780000000	n/a	18569.5	show_cross	n/a	n/a	n/a	cross.bmp
74.8261818182	n/a	18706.5455	show_face	famous_face	immediate_repeat	6	f111.bmp
75.4898181818	n/a	18872.4545	left_press	n/a	n/a	256	n/a
75.7270909091	n/a	18931.7727	show_circle	n/a	n/a	0	circle.bmp
77.4270909091	n/a	19356.7727	show_cross	n/a	n/a	n/a	cross.bmp
77.9834545455	n/a	19495.8636	show_face	scrambled_face	delayed_repeat	19	s063.bmp
78.8307272727	n/a	19707.6818	right_press	n/a	n/a	4096	n/a
78.9780000000	n/a	19744.5	show_circle	n/a	n/a	0	circle.bmp
80.6780000000	n/a	20169.5	show_cross	n/a	n/a	n/a	cross.bmp
81.1407272727	n/a	20285.1818	show_face	unfamiliar_face	first_show	13	u055.bmp
81.7725454545	n/a	20443.1364	right_press	n/a	n/a	4096	n/a
82.0725454545	n/a	20518.1364	show_circle	n/a	n/a	0	circle.bmp
83.7725454545	n/a	20943.1364	show_cross	n/a	n/a	n/a	cross.bmp
84.3816363636	n/a	21095.4091	show_face	unfamiliar_face	delayed_repeat	15	u014.bmp
85.1134545455	n/a	21278.3636	right_press	n/a	n/a	4096	n/a
85.2870909091	n/a	21321.7727	show_circle	n/a	n/a	0	circle.bmp
86.9870909091	n/a	21746.7727	show_cross	n/a	n/a	n/a	cross.bmp
87.5561818182	n/a	21889.0455	show_face	unfamiliar_face	first_show	13	u045.bmp
88.1070909091	n/a	22026.7727	left_press	n/a	n/a	256	n/a
88.5370909091	n/a	22134.2727	show_circle	n/a	n/a	0	circle.bmp
90.2370909091	n/a	22559.2727	show_cross	n/a	n/a	n/a	cross.bmp
90.7970909091	n/a	22699.2727	show_face	unfamiliar_face	immediate_repeat	14	u045.bmp
91.4398181818	n/a	22859.9545	left_press	n/a	n/a	256	n/a
91.6661818182	n/a	22916.5455	show_circle	n/a	n/a	0	circle.bmp
93.3661818182	n/a	23341.5455	show_cross	n/a	n/a	n/a	cross.bmp
93.8370909091	n/a	23459.2727	show_face	famous_face	first_show	5	f148.bmp
94.5843636364	n/a	23646.0909	right_press	n/a	n/a	4096	n/a
94.7198181818	n/a	23679.9545	show_circle	n/a	n/a	0	circle.bmp
96.4198181818	n/a	24104.9545	show_cross	n/a	n/a	n/a	cross.bmp
96.8943636364	n/a	24223.5909	show_face	famous_face	immediate_repeat	6	f148.bmp
97.5243636364	n/a	24381.0909	right_press	n/a	n/a	4096	n/a
97.7707272727	n/a	24442.6818	show_circle	n/a	n/a	0	circle.bmp
99.4707272727	n/a	24867.6818	show_cross	n/a	n/a	n/a	cross.bmp
99.9507272727	n/a	24987.6818	show_face	famous_face	first_show	5	f126.bmp
100.5016363636	n/a	25125.4091	left_press	n/a	n/a	256	n/a
100.8670909091	n/a	25216.7727	show_circle	n/a	n/a	0	circle.bmp
102.5670909091	n/a	25641.7727	show_cross	n/a	n/a	n/a	cross.bmp
103.1752727273	n/a	25793.8182	show_face	famous_face	delayed_repeat	7	f031.bmp
103.7734545455	n/a	25943.3636	right_press	n/a	n/a	4096	n/a
104.0907272727	n/a	26022.6818	show_circle	n/a	n/a	0	circle.bmp
105.7907272727	n/a	26447.6818	show_cross	n/a	n/a	n/a	cross.bmp
106.3161818182	n/a	26579.0455	show_face	unfamiliar_face	first_show	13	u097.bmp
