onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	right_sym	n/a	n/a	n/a	n/a
23.6261818182	n/a	5906.5455	show_face	scrambled_face	first_show	17	s088.bmp
24.5098181818	n/a	6127.4545	show_circle	n/a	n/a	0	circle.bmp
24.6452727273	n/a	6161.3182	right_press	n/a	n/a	4096	n/a
26.2098181818	n/a	6552.4545	show_cross	n/a	n/a	n/a	cross.bmp
26.7507272727	n/a	6687.6818	show_face	scrambled_face	immediate_repeat	18	s088.bmp
27.4880000000	n/a	6872	right_press	n/a	n/a	4096	n/a
27.6852727273	n/a	6921.3182	show_circle	n/a	n/a	0	circle.bmp
29.3852727273	n/a	7346.3182	show_cross	n/a	n/a	n/a	cross.bmp
29.9907272727	n/a	7497.6818	show_face	scrambled_face	first_show	17	s136.bmp
30.9361818182	n/a	7734.0455	left_press	n/a	n/a	256	n/a
30.9398181818	n/a	7734.9545	show_circle	n/a	n/a	0	circle.bmp
32.6398181818	n/a	8159.9545	show_cross	n/a	n/a	n/a	cross.bmp
33.1316363636	n/a	8282.9091	show_face	scrambled_face	immediate_repeat	18	s136.bmp
33.9834545455	n/a	8495.8636	left_press	n/a	n/a	256	n/a
34.0970909091	n/a	8524.2727	show_circle	n/a	n/a	0	circle.bmp
35.7970909091	n/a	8949.2727	show_cross	n/a	n/a	n/a	cross.bmp
36.4225454545	n/a	9105.6364	show_face	unfamiliar_face	first_show	13	u102.bmp
37.2734545455	n/a	9318.3636	right_press	n/a	n/a	4096	n/a
37.3170909091	n/a	9329.2727	show_circle	n/a	n/a	0	circle.bmp
39.0170909091	n/a	9754.2727	show_cross	n/a	n/a	n/a	cross.bmp
39.6643636364	n/a	9916.0909	show_face	unfamiliar_face	first_show	13	u049.bmp
40.5925454545	n/a	10148.1364	show_circle	n/a	n/a	0	circle.bmp
40.6434545455	n/a	10160.8636	right_press	n/a	n/a	4096	n/a
