onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	right_sym	n/a	n/a	n/a	n/a
23.0425454545	n/a	5760.6364	show_face	famous_face	first_show	5	f015.bmp
24.0452727273	n/a	6011.3182	show_circle	n/a	n/a	0	circle.bmp
24.2461818182	n/a	6061.5455	left_press	n/a	n/a	256	n/a
25.7452727273	n/a	6436.3182	show_cross	n/a	n/a	n/a	cross.bmp
26.2825454545	n/a	6570.6364	show_face	scrambled_face	first_show	17	s114.bmp
27.2225454545	n/a	6805.6364	show_circle	n/a	n/a	0	circle.bmp
27.9598181818	n/a	6989.9545	right_press	n/a	n/a	4096	n/a
28.9225454545	n/a	7230.6364	show_cross	n/a	n/a	n/a	cross.bmp
29.4234545455	n/a	7355.8636	show_face	unfamiliar_face	first_show	13	u054.bmp
30.2552727273	n/a	7563.8182	show_circle	n/a	n/a	0	circle.bmp
31.0070909091	n/a	7751.7727	right_press	n/a	n/a	4096	n/a
31.9552727273	n/a	7988.8182	show_cross	n/a	n/a	n/a	cross.bmp
32.4470909091	n/a	8111.7727	show_face	scrambled_face	first_show	17	s143.bmp
33.3370909091	n/a	8334.2727	show_circle	n/a	n/a	0	circle.bmp
34.2061818182	n/a	8551.5455	left_press	n/a	n/a	256	n/a
35.0370909091	n/a	8759.2727	show_cross	n/a	n/a	n/a	cross.bmp
35.6043636364	n/a	8901.0909	show_face	famous_face	first_show	5	f097.bmp
36.4780000000	n/a	9119.5	show_circle	n/a	n/a	0	circle.bmp
37.0716363636	n/a	9267.9091	right_press	n/a	n/a	4096	n/a
38.1780000000	n/a	9544.5	show_cross	n/a	n/a	n/a	cross.bmp
38.7780000000	n/a	9694.5	show_face	famous_face	immediate_repeat	6	f097.bmp
39.6307272727	n/a	9907.6818	show_circle	n/a	n/a	0	circle.bmp
40.1152727273	n/a	10028.8182	right_press	n/a	n/a	4096	n/a
