onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	left_sym	n/a	n/a	n/a	n/a
23.7652727273	n/a	5941.3182	show_face	famous_face	first_show	5	f093.bmp
24.7698181818	n/a	6192.4545	show_circle	n/a	n/a	0	circle.bmp
25.0961818182	n/a	6274.0455	right_press	n/a	n/a	4096	n/a
26.4698181818	n/a	6617.4545	show_cross	n/a	n/a	n/a	cross.bmp
27.0225454545	n/a	6755.6364	show_face	famous_face	immediate_repeat	6	f093.bmp
27.9552727273	n/a	6988.8182	show_circle	n/a	n/a	0	circle.bmp
28.3852727273	n/a	7096.3182	right_press	n/a	n/a	4096	n/a
29.6552727273	n/a	7413.8182	show_cross	n/a	n/a	n/a	cross.bmp
30.2798181818	n/a	7569.9545	show_face	scrambled_face	first_show	17	s076.bmp
31.2625454545	n/a	7815.6364	show_circle	n/a	n/a	0	circle.bmp
31.6652727273	n/a	7916.3182	right_press	n/a	n/a	4096	n/a
32.9625454545	n/a	8240.6364	show_cross	n/a	n/a	n/a	cross.bmp
33.4543636364	n/a	8363.5909	show_face	scrambled_face	immediate_repeat	18	s076.bmp
34.3780000000	n/a	8594.5	show_circle	n/a	n/a	0	circle.bmp
34.7680000000	n/a	8692	right_press	n/a	n/a	4096	n/a
36.0780000000	n/a	9019.5	show_cross	n/a	n/a	n/a	cross.bmp
36.5943636364	n/a	9148.5909	show_face	unfamiliar_face	first_show	13	u145.bmp
37.5180000000	n/a	9379.5	show_circle	n/a	n/a	0	circle.bmp
37.9643636364	n/a	9491.0909	left_press	n/a	n/a	256	n/a
39.2180000000	n/a	9804.5	show_cross	n/a	n/a	n/a	cross.bmp
39.7516363636	n/a	9937.9091	show_face	unfamiliar_face	immediate_repeat	14	u145.bmp
40.6716363636	n/a	10167.9091	show_circle	n/a	n/a	0	circle.bmp
41.2143636364	n/a	10303.5909	left_press	n/a	n/a	256	n/a
42.3716363636	n/a	10592.9091	show_cross	n/a	n/a	n/a	cross.bmp
42.8589090909	n/a	10714.7273	show_face	famous_face	first_show	5	f104.bmp
43.7843636364	n/a	10946.0909	show_circle	n/a	n/a	0	circle.bmp
44.3107272727	n/a	11077.6818	right_press	n/a	n/a	4096	n/a
45.4843636364	n/a	11371.0909	show_cross	n/a	n/a	n/a	cross.bmp
46.0498181818	n/a	11512.4545	show_face	famous_face	first_show	5	f026.bmp
46.9698181818	n/a	11742.4545	show_circle	n/a	n/a	0	circle.bmp
47.5543636364	n/a	11888.5909	right_press	n/a	n/a	4096	n/a
48.6698181818	n/a	12167.4545	show_cross	n/a	n/a	n/a	cross.bmp
49.2907272727	n/a	12322.6818	show_face	famous_face	first_show	5	f007.bmp
50.2598181818	n/a	12564.9545	show_circle	n/a	n/a	0	circle.bmp
50.8416363636	n/a	12710.4091	left_press	n/a	n/a	256	n/a
51.9598181818	n/a	12989.9545	show_cross	n/a	n/a	n/a	cross.bmp
52.4980000000	n/a	13124.5	show_face	scrambled_face	first_show	17	s111.bmp
53.4880000000	n/a	13372	show_circle	n/a	n/a	0	circle.bmp
53.8061818182	n/a	13451.5455	right_press	n/a	n/a	4096	n/a
55.1880000000	n/a	13797	show_cross	n/a	n/a	n/a	cross.bmp
55.8225454545	n/a	13955.6364	show_face	scrambled_face	first_show	17	s080.bmp
56.7198181818	n/a	14179.9545	show_circle	n/a	n/a	0	circle.bmp
57.0625454545	n/a	14265.6364	right_press	n/a	n/a	4096	n/a
58.4198181818	n/a	14604.9545	show_cross	n/a	n/a	n/a	cross.bmp
58.9298181818	n/a	14732.4545	show_face	unfamiliar_face	first_show	13	u094.bmp
59.8770909091	n/a	14969.2727	show_circle	n/a	n/a	0	circle.bmp
60.3352727273	n/a	15083.8182	left_press	n/a	n/a	256	n/a
61.5770909091	n/a	15394.2727	show_cross	n/a	n/a	n/a	cross.bmp
62.0870909091	n/a	15521.7727	show_face	unfamiliar_face	immediate_repeat	14	u094.bmp
62.9580000000	n/a	15739.5	show_circle	n/a	n/a	0	circle.bmp
63.5080000000	n/a	15877	right_press	n/a	n/a	4096	n/a
64.6580000000	n/a	16164.5	show_cross	n/a	n/a	n/a	cross.bmp
65.1607272727	n/a	16290.1818	show_face	famous_face	delayed_repeat	7	f104.bmp
66.0007272727	n/a	16500.1818	show_circle	n/a	n/a	0	circle.bmp
66.6970909091	n/a	16674.2727	right_press	n/a	n/a	4096	n/a
67.7007272727	n/a	16925.1818	show_cross	n/a	n/a	n/a	cross.bmp
68.2343636364	n/a	17058.5909	show_face	unfamiliar_face	first_show	13	u115.bmp
69.1025454545	n/a	17275.6364	show_circle	n/a	n/a	0	circle.bmp
69.5761818182	n/a	17394.0455	right_press	n/a	n/a	4096	n/a
70.8025454545	n/a	17700.6364	show_cross	n/a	n/a	n/a	cross.bmp
71.4416363636	n/a	17860.4091	show_face	unfamiliar_face	immediate_repeat	14	u115.bmp
72.4125454545	n/a	18103.1364	show_circle	n/a	n/a	0	circle.bmp
72.8398181818	n/a	18209.9545	right_press	n/a	n/a	4096	n/a
74.1125454545	n/a	18528.1364	show_cross	n/a	n/a	n/a	cross.bmp
74.6825454545	n/a	18670.6364	show_face	famous_face	delayed_repeat	7	f026.bmp
75.5734545455	n/a	18893.3636	show_circle	n/a	n/a	0	circle.bmp
76.0907272727	n/a	19022.6818	right_press	n/a	n/a	4096	n/a
77.2734545455	n/a	19318.3636	show_cross	n/a	n/a	n/a	cross.bmp
77.8061818182	n/a	19451.5455	show_face	famous_face	first_show	5	f131.bmp
78.8007272727	n/a	19700.1818	show_circle	n/a	n/a	0	circle.bmp
79.2825454545	n/a	19820.6364	right_press	n/a	n/a	4096	n/a
80.5007272727	n/a	20125.1818	show_cross	n/a	n/a	n/a	cross.bmp
80.9798181818	n/a	20244.9545	show_face	famous_face	immediate_repeat	6	f131.bmp
81.9461818182	n/a	20486.5455	show_circle	n/a	n/a	0	circle.bmp
82.5480000000	n/a	20637	right_press	n/a	n/a	4096	n/a
83.6461818182	n/a	20911.5455	show_cross	n/a	n/a	n/a	cross.bmp
84.2380000000	n/a	21059.5	show_face	famous_face	delayed_repeat	7	f007.bmp
85.0898181818	n/a	21272.4545	show_circle	n/a	n/a	0	circle.bmp
85.4580000000	n/a	21364.5	left_press	n/a	n/a	256	n/a
86.7898181818	n/a	21697.4545	show_cross	n/a	n/a	n/a	cross.bmp
87.3952727273	n/a	21848.8182	show_face	unfamiliar_face	first_show	13	u112.bmp
88.2398181818	n/a	22059.9545	show_circle	n/a	n/a	0	circle.bmp
88.4907272727	n/a	22122.6818	right_press	n/a	n/a	4096	n/a
89.9398181818	n/a	22484.9545	show_cross	n/a	n/a	n/a	cross.bmp
90.5852727273	n/a	22646.3182	show_face	unfamiliar_face	immediate_repeat	14	u112.bmp
91.5116363636	n/a	22877.9091	show_circle	n/a	n/a	0	circle.bmp
91.8134545455	n/a	22953.3636	right_press	n/a	n/a	4096	n/a
93.2116363636	n/a	23302.9091	show_cross	n/a	n/a	n/a	cross.bmp
93.8434545455	n/a	23460.8636	show_face	scrambled_face	delayed_repeat	19	s111.bmp
94.8598181818	n/a	23714.9545	show_circle	n/a	n/a	0	circle.bmp
95.1089090909	n/a	23777.2273	right_press	n/a	n/a	4096	n/a
96.5598181818	n/a	24139.9545	show_cross	n/a	n/a	n/a	cross.bmp
97.1007272727	n/a	24275.1818	show_face	scrambled_face	first_show	17	s114.bmp
97.9452727273	n/a	24486.3182	show_circle	n/a	n/a	0	circle.bmp
98.4161818182	n/a	24604.0455	right_press	n/a	n/a	4096	n/a
99.6452727273	n/a	24911.3182	show_cross	n/a	n/a	n/a	cross.bmp
100.1243636364	n/a	25031.0909	show_face	scrambled_face	immediate_repeat	18	s114.bmp
101.0061818182	n/a	25251.5455	show_circle	n/a	n/a	0	circle.bmp
101.2661818182	n/a	25316.5455	right_press	n/a	n/a	4096	n/a
102.7061818182	n/a	25676.5455	show_cross	n/a	n/a	n/a	cross.bmp
103.3325454545	n/a	25833.1364	show_face	scrambled_face	delayed_repeat	19	s080.bmp
104.2007272727	n/a	26050.1818	show_circle	n/a	n/a	0	circle.bmp
104.6216363636	n/a	26155.4091	right_press	n/a	n/a	4096	n/a
105.9007272727	n/a	26475.1818	show_cross	n/a	n/a	n/a	cross.bmp
106.4389090909	n/a	26609.7273	show_face	scrambled_face	first_show	17	s132.bmp
