onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	left_sym	n/a	n/a	n/a	n/a
24.6061818182	n/a	6151.5455	show_face	famous_face	first_show	5	f096.bmp
25.5243636364	n/a	6381.0909	show_circle	n/a	n/a	0	circle.bmp
25.8016363636	n/a	6450.4091	right_press	n/a	n/a	4096	n/a
27.2243636364	n/a	6806.0909	show_cross	n/a	n/a	n/a	cross.bmp
27.8461818182	n/a	6961.5455	show_face	unfamiliar_face	first_show	13	u083.bmp
28.7570909091	n/a	7189.2727	show_circle	n/a	n/a	0	circle.bmp
29.0434545455	n/a	7260.8636	left_press	n/a	n/a	256	n/a
30.4570909091	n/a	7614.2727	show_cross	n/a	n/a	n/a	cross.bmp
30.9370909091	n/a	7734.2727	show_face	unfamiliar_face	first_show	13	u122.bmp
31.8698181818	n/a	7967.4545	show_circle	n/a	n/a	0	circle.bmp
32.1707272727	n/a	8042.6818	left_press	n/a	n/a	256	n/a
33.5698181818	n/a	8392.4545	show_cross	n/a	n/a	n/a	cross.bmp
34.0607272727	n/a	8515.1818	show_face	unfamiliar_face	immediate_repeat	14	u122.bmp
35.0361818182	n/a	8759.0455	show_circle	n/a	n/a	0	circle.bmp
35.3007272727	n/a	8825.1818	left_press	n/a	n/a	256	n/a
36.7361818182	n/a	9184.0455	show_cross	n/a	n/a	n/a	cross.bmp
37.3525454545	n/a	9338.1364	show_face	unfamiliar_face	first_show	13	u116.bmp
38.3370909091	n/a	9584.2727	show_circle	n/a	n/a	0	circle.bmp
38.7680000000	n/a	9692	right_press	n/a	n/a	4096	n/a
40.0370909091	n/a	10009.2727	show_cross	n/a	n/a	n/a	cross.bmp
40.5761818182	n/a	10144.0455	show_face	unfamiliar_face	immediate_repeat	14	u116.bmp
41.5580000000	n/a	10389.5	show_circle	n/a	n/a	0	circle.bmp
41.8289090909	n/a	10457.2273	right_press	n/a	n/a	4096	n/a
43.2580000000	n/a	10814.5	show_cross	n/a	n/a	n/a	cross.bmp
43.8670909091	n/a	10966.7727	show_face	famous_face	first_show	5	f034.bmp
44.7898181818	n/a	11197.4545	show_circle	n/a	n/a	0	circle.bmp
44.8016363636	n/a	11200.4091	right_press	n/a	n/a	4096	n/a
46.4898181818	n/a	11622.4545	show_cross	n/a	n/a	n/a	cross.bmp
46.9570909091	n/a	11739.2727	show_face	famous_face	immediate_repeat	6	f034.bmp
47.8461818182	n/a	11961.5455	show_circle	n/a	n/a	0	circle.bmp
48.1089090909	n/a	12027.2273	right_press	n/a	n/a	4096	n/a
49.5461818182	n/a	12386.5455	show_cross	n/a	n/a	n/a	cross.bmp
50.1643636364	n/a	12541.0909	show_face	scrambled_face	first_show	17	s033.bmp
51.1107272727	n/a	12777.6818	right_press	n/a	n/a	4096	n/a
51.1561818182	n/a	12789.0455	show_circle	n/a	n/a	0	circle.bmp
52.8561818182	n/a	13214.0455	show_cross	n/a	n/a	n/a	cross.bmp
53.3552727273	n/a	13338.8182	show_face	famous_face	delayed_repeat	7	f096.bmp
54.2616363636	n/a	13565.4091	show_circle	n/a	n/a	0	circle.bmp
54.4907272727	n/a	13622.6818	right_press	n/a	n/a	4096	n/a
55.9616363636	n/a	13990.4091	show_cross	n/a	n/a	n/a	cross.bmp
56.5298181818	n/a	14132.4545	show_face	scrambled_face	first_show	17	s027.bmp
57.5280000000	n/a	14382	show_circle	n/a	n/a	0	circle.bmp
57.7707272727	n/a	14442.6818	right_press	n/a	n/a	4096	n/a
59.2280000000	n/a	14807	show_cross	n/a	n/a	n/a	cross.bmp
59.7698181818	n/a	14942.4545	show_face	scrambled_face	immediate_repeat	18	s027.bmp
60.6589090909	n/a	15164.7273	show_circle	n/a	n/a	0	circle.bmp
60.7552727273	n/a	15188.8182	right_press	n/a	n/a	4096	n/a
62.3589090909	n/a	15589.7273	show_cross	n/a	n/a	n/a	cross.bmp
62.9607272727	n/a	15740.1818	show_face	unfamiliar_face	delayed_repeat	15	u083.bmp
63.8898181818	n/a	15972.4545	show_circle	n/a	n/a	0	circle.bmp
63.9670909091	n/a	15991.7727	left_press	n/a	n/a	256	n/a
65.5898181818	n/a	16397.4545	show_cross	n/a	n/a	n/a	cross.bmp
66.1680000000	n/a	16542	show_face	unfamiliar_face	first_show	13	u052.bmp
67.1261818182	n/a	16781.5455	show_circle	n/a	n/a	0	circle.bmp
67.3816363636	n/a	16845.4091	left_press	n/a	n/a	256	n/a
68.8261818182	n/a	17206.5455	show_cross	n/a	n/a	n/a	cross.bmp
69.2925454545	n/a	17323.1364	show_face	unfamiliar_face	immediate_repeat	14	u052.bmp
70.3034545455	n/a	17575.8636	show_circle	n/a	n/a	0	circle.bmp
70.5125454545	n/a	17628.1364	left_press	n/a	n/a	256	n/a
72.0034545455	n/a	18000.8636	show_cross	n/a	n/a	n/a	cross.bmp
72.4661818182	n/a	18116.5455	show_face	famous_face	first_show	5	f095.bmp
73.3980000000	n/a	18349.5	show_circle	n/a	n/a	0	circle.bmp
73.6216363636	n/a	18405.4091	left_press	n/a	n/a	256	n/a
75.0980000000	n/a	18774.5	show_cross	n/a	n/a	n/a	cross.bmp
75.5898181818	n/a	18897.4545	show_face	famous_face	first_show	5	f062.bmp
76.4098181818	n/a	19102.4545	show_circle	n/a	n/a	0	circle.bmp
76.4452727273	n/a	19111.3182	left_press	n/a	n/a	256	n/a
78.1098181818	n/a	19527.4545	show_cross	n/a	n/a	n/a	cross.bmp
78.6134545455	n/a	19653.3636	show_face	unfamiliar_face	first_show	13	u109.bmp
79.6007272727	n/a	19900.1818	show_circle	n/a	n/a	0	circle.bmp
79.6425454545	n/a	19910.6364	left_press	n/a	n/a	256	n/a
81.3007272727	n/a	20325.1818	show_cross	n/a	n/a	n/a	cross.bmp
81.8543636364	n/a	20463.5909	show_face	scrambled_face	delayed_repeat	19	s033.bmp
82.6743636364	n/a	20668.5909	show_circle	n/a	n/a	0	circle.bmp
82.9970909091	n/a	20749.2727	right_press	n/a	n/a	4096	n/a
84.3743636364	n/a	21093.5909	show_cross	n/a	n/a	n/a	cross.bmp
84.9452727273	n/a	21236.3182	show_face	famous_face	first_show	5	f136.bmp
85.8725454545	n/a	21468.1364	show_circle	n/a	n/a	0	circle.bmp
86.0207272727	n/a	21505.1818	left_press	n/a	n/a	256	n/a
87.5725454545	n/a	21893.1364	show_cross	n/a	n/a	n/a	cross.bmp
88.1352727273	n/a	22033.8182	show_face	famous_face	immediate_repeat	6	f136.bmp
89.0543636364	n/a	22263.5909	left_press	n/a	n/a	256	n/a
89.0570909091	n/a	22264.2727	show_circle	n/a	n/a	0	circle.bmp
90.7570909091	n/a	22689.2727	show_cross	n/a	n/a	n/a	cross.bmp
91.2761818182	n/a	22819.0455	show_face	scrambled_face	first_show	17	s002.bmp
92.0943636364	n/a	23023.5909	show_circle	n/a	n/a	0	circle.bmp
92.2852727273	n/a	23071.3182	right_press	n/a	n/a	4096	n/a
93.7943636364	n/a	23448.5909	show_cross	n/a	n/a	n/a	cross.bmp
94.2498181818	n/a	23562.4545	show_face	scrambled_face	immediate_repeat	18	s002.bmp
95.0980000000	n/a	23774.5	show_circle	n/a	n/a	0	circle.bmp
95.2470909091	n/a	23811.7727	left_press	n/a	n/a	256	n/a
96.7980000000	n/a	24199.5	show_cross	n/a	n/a	n/a	cross.bmp
97.3234545455	n/a	24330.8636	show_face	unfamiliar_face	first_show	13	u006.bmp
98.2580000000	n/a	24564.5	show_circle	n/a	n/a	0	circle.bmp
98.4289090909	n/a	24607.2273	left_press	n/a	n/a	256	n/a
99.9580000000	n/a	24989.5	show_cross	n/a	n/a	n/a	cross.bmp
100.5643636364	n/a	25141.0909	show_face	unfamiliar_face	immediate_repeat	14	u006.bmp
101.4607272727	n/a	25365.1818	left_press	n/a	n/a	256	n/a
101.5370909091	n/a	25384.2727	show_circle	n/a	n/a	0	circle.bmp
103.2370909091	n/a	25809.2727	show_cross	n/a	n/a	n/a	cross.bmp
103.7052727273	n/a	25926.3182	show_face	famous_face	delayed_repeat	7	f095.bmp
104.5452727273	n/a	26136.3182	show_circle	n/a	n/a	0	circle.bmp
104.8516363636	n/a	26212.9091	left_press	n/a	n/a	256	n/a
106.2452727273	n/a	26561.3182	show_cross	n/a	n/a	n/a	cross.bmp
106.8952727273	n/a	26723.8182	show_face	unfamiliar_face	first_show	13	u026.bmp
