onset	duration	sample	event_type	face_type	rep_status	rep_lag	trial	value	stim_file
0.0009090909090909	n/a	1.0	setup_left_sym	n/a	n/a	n/a	n/a	101	n/a
24.4894545455	n/a	26938.4	show_face_initial	scrambled_face	first_show	n/a	1	4	s143.bmp
25.314	n/a	27845.4	show_circle	n/a	n/a	n/a	1	0	circle.bmp
25.5449090909	n/a	28099.4	left_press	n/a	n/a	n/a	1	256	n/a
27.014	n/a	29715.4	show_cross	n/a	n/a	n/a	2	1	cross.bmp
27.5467272727	n/a	30301.4	show_face	scrambled_face	immediate_repeat	1	2	18	s143.bmp
28.4994545455	n/a	31349.4	left_press	n/a	n/a	n/a	2	256	n/a
28.5185454545	n/a	31370.4	show_circle	n/a	n/a	n/a	2	0	circle.bmp
30.2185454545	n/a	33240.4	show_cross	n/a	n/a	n/a	3	1	cross.bmp
30.6876363636	n/a	33756.4	show_face	unfamiliar_face	first_show	n/a	3	13	u145.bmp
31.6585454545	n/a	34824.4	show_circle	n/a	n/a	n/a	3	0	circle.bmp
31.7312727273	n/a	34904.4	right_press	n/a	n/a	n/a	3	4096	n/a
33.3585454545	n/a	36694.4	show_cross	n/a	n/a	n/a	4	1	cross.bmp
33.9949090909	n/a	37394.4	show_face	famous_face	first_show	n/a	4	5	f008.bmp
34.7849090909	n/a	38263.4	left_press	n/a	n/a	n/a	4	256	n/a
34.9930909091	n/a	38492.4	show_circle	n/a	n/a	n/a	4	0	circle.bmp
36.6930909091	n/a	40362.4	show_cross	n/a	n/a	n/a	5	1	cross.bmp
37.3194545455	n/a	41051.4	show_face	famous_face	immediate_repeat	1	5	6	f008.bmp
38.1912727273	n/a	42010.4	left_press	n/a	n/a	n/a	5	256	n/a
38.2349090909	n/a	42058.4	show_circle	n/a	n/a	n/a	5	0	circle.bmp
39.9349090909	n/a	43928.4	show_cross	n/a	n/a	n/a	6	1	cross.bmp
40.4267272727	n/a	44469.4	show_face	unfamiliar_face	first_show	n/a	6	13	u148.bmp
41.3149090909	n/a	45446.4	show_circle	n/a	n/a	n/a	6	0	circle.bmp
41.6549090909	n/a	45820.4	right_press	n/a	n/a	n/a	6	4096	n/a
43.0149090909	n/a	47316.4	show_cross	n/a	n/a	n/a	7	1	cross.bmp
43.5003636364	n/a	47850.4	show_face	scrambled_face	first_show	n/a	7	17	s112.bmp
44.2676363636	n/a	48694.4	left_press	n/a	n/a	n/a	7	256	n/a
