onset	duration	sample	event_type	face_type	rep_status	rep_lag	trial	value	stim_file
0.0009090909090909	n/a	1.0	setup_left_sym	n/a	n/a	n/a	n/a	101	n/a
23.714	n/a	26085.4	show_face_initial	unfamiliar_face	first_show	n/a	1	3	u072.bmp
24.4994545455	n/a	26949.4	left_press	n/a	n/a	n/a	1	256	n/a
24.7321818182	n/a	27205.4	show_circle	n/a	n/a	n/a	1	0	circle.bmp
26.4321818182	n/a	29075.4	show_cross	n/a	n/a	n/a	2	1	cross.bmp
26.9049090909	n/a	29595.4	show_face	unfamiliar_face	immediate_repeat	1	2	14	u072.bmp
27.5912727273	n/a	30350.4	left_press	n/a	n/a	n/a	2	256	n/a
27.9094545455	n/a	30700.4	show_circle	n/a	n/a	n/a	2	0	circle.bmp
29.6094545455	n/a	32570.4	show_cross	n/a	n/a	n/a	3	1	cross.bmp
30.2294545455	n/a	33252.4	show_face	famous_face	first_show	n/a	3	5	f124.bmp
31.1694545455	n/a	34286.4	left_press	n/a	n/a	n/a	3	256	n/a
31.194	n/a	34313.4	show_circle	n/a	n/a	n/a	3	0	circle.bmp
32.894	n/a	36183.4	show_cross	n/a	n/a	n/a	4	1	cross.bmp
33.5203636364	n/a	36872.4	show_face	unfamiliar_face	first_show	n/a	4	13	u063.bmp
34.3249090909	n/a	37757.4	left_press	n/a	n/a	n/a	4	256	n/a
34.4994545455	n/a	37949.4	show_circle	n/a	n/a	n/a	4	0	circle.bmp
36.1994545455	n/a	39819.4	show_cross	n/a	n/a	n/a	5	1	cross.bmp
36.6776363636	n/a	40345.4	show_face	unfamiliar_face	immediate_repeat	1	5	14	u063.bmp
37.5730909091	n/a	41330.4	left_press	n/a	n/a	n/a	5	256	n/a
37.6649090909	n/a	41431.4	show_circle	n/a	n/a	n/a	5	0	circle.bmp
39.3649090909	n/a	43301.4	show_cross	n/a	n/a	n/a	6	1	cross.bmp
39.8849090909	n/a	43873.4	show_face	unfamiliar_face	first_show	n/a	6	13	u085.bmp
40.8185454545	n/a	44900.4	show_circle	n/a	n/a	n/a	6	0	circle.bmp
41.124	n/a	45236.4	left_press	n/a	n/a	n/a	6	256	n/a
