onset	duration	sample	event_type	face_type	rep_status	rep_lag	trial	value	stim_file
0.0009090909090909	n/a	1.0	setup_right_sym	n/a	n/a	n/a	n/a	102	n/a
24.1049090909	n/a	26515.4	show_face_initial	famous_face	first_show	n/a	1	2	f093.bmp
24.9294545455	n/a	27422.4	show_circle	n/a	n/a	n/a	1	0	circle.bmp
25.4567272727	n/a	28002.4	right_press	n/a	n/a	n/a	1	4096	n/a
26.6294545455	n/a	29292.4	show_cross	n/a	n/a	n/a	2	1	cross.bmp
27.2794545455	n/a	30007.4	show_face	famous_face	first_show	n/a	2	5	f116.bmp
27.8994545455	n/a	30689.4	right_press	n/a	n/a	n/a	2	4096	n/a
28.2712727273	n/a	31098.4	show_circle	n/a	n/a	n/a	2	0	circle.bmp
29.9712727273	n/a	32968.4	show_cross	n/a	n/a	n/a	3	1	cross.bmp
30.5703636364	n/a	33627.4	show_face	unfamiliar_face	first_show	n/a	3	13	u106.bmp
31.5412727273	n/a	34695.4	show_circle	n/a	n/a	n/a	3	0	circle.bmp
31.6303636364	n/a	34793.4	right_press	n/a	n/a	n/a	3	4096	n/a
33.2412727273	n/a	36565.4	show_cross	n/a	n/a	n/a	4	1	cross.bmp
33.8276363636	n/a	37210.4	show_face	unfamiliar_face	immediate_repeat	1	4	14	u106.bmp
34.5558181818	n/a	38011.4	right_press	n/a	n/a	n/a	4	4096	n/a
34.7458181818	n/a	38220.4	show_circle	n/a	n/a	n/a	4	0	circle.bmp
36.4458181818	n/a	40090.4	show_cross	n/a	n/a	n/a	5	1	cross.bmp
37.0512727273	n/a	40756.4	show_face	famous_face	first_show	n/a	5	5	f059.bmp
38.0176363636	n/a	41819.4	show_circle	n/a	n/a	n/a	5	0	circle.bmp
38.2512727273	n/a	42076.4	right_press	n/a	n/a	n/a	5	4096	n/a
39.7176363636	n/a	43689.4	show_cross	n/a	n/a	n/a	6	1	cross.bmp
40.3594545455	n/a	44395.4	show_face	famous_face	immediate_repeat	1	6	6	f059.bmp
41.014	n/a	45115.4	left_press	n/a	n/a	n/a	6	256	n/a
41.204	n/a	45324.4	show_circle	n/a	n/a	n/a	6	0	circle.bmp
42.904	n/a	47194.4	show_cross	n/a	n/a	n/a	7	1	cross.bmp
43.4830909091	n/a	47831.4	show_face	scrambled_face	first_show	n/a	7	17	s017.bmp
44.3476363636	n/a	48782.4	show_circle	n/a	n/a	n/a	7	0	circle.bmp
44.6303636364	n/a	49093.4	right_press	n/a	n/a	n/a	7	4096	n/a
46.0476363636	n/a	50652.4	show_cross	n/a	n/a	n/a	8	1	cross.bmp
46.5230909091	n/a	51175.4	show_face	scrambled_face	immediate_repeat	1	8	18	s017.bmp
47.3294545455	n/a	52062.4	right_press	n/a	n/a	n/a	8	4096	n/a
47.4121818182	n/a	52153.4	show_circle	n/a	n/a	n/a	8	0	circle.bmp
49.1121818182	n/a	54023.4	show_cross	n/a	n/a	n/a	9	1	cross.bmp
49.7812727273	n/a	54759.4	show_face	unfamiliar_face	first_show	n/a	9	13	u075.bmp
50.7030909091	n/a	55773.4	show_circle	n/a	n/a	n/a	9	0	circle.bmp
51.3303636364	n/a	56463.4	right_press	n/a	n/a	n/a	9	4096	n/a
52.4030909091	n/a	57643.4	show_cross	n/a	n/a	n/a	10	1	cross.bmp
53.0049090909	n/a	58305.4	show_face	famous_face	delayed_repeat	9	10	7	f093.bmp
53.6503636364	n/a	59015.4	right_press	n/a	n/a	n/a	10	4096	n/a
53.8585454545	n/a	59244.4	show_circle	n/a	n/a	n/a	10	0	circle.bmp
55.5585454545	n/a	61114.4	show_cross	n/a	n/a	n/a	11	1	cross.bmp
56.1794545455	n/a	61797.4	show_face	scrambled_face	first_show	n/a	11	17	s101.bmp
56.9649090909	n/a	62661.4	right_press	n/a	n/a	n/a	11	4096	n/a
57.1221818182	n/a	62834.4	show_circle	n/a	n/a	n/a	11	0	circle.bmp
58.8221818182	n/a	64704.4	show_cross	n/a	n/a	n/a	12	1	cross.bmp
59.3867272727	n/a	65325.4	show_face	famous_face	delayed_repeat	10	12	7	f116.bmp
60.3194545455	n/a	66351.4	show_circle	n/a	n/a	n/a	12	0	circle.bmp
60.5076363636	n/a	66558.4	right_press	n/a	n/a	n/a	12	4096	n/a
62.0194545455	n/a	68221.4	show_cross	n/a	n/a	n/a	13	1	cross.bmp
62.544	n/a	68798.4	show_face	scrambled_face	first_show	n/a	13	17	s065.bmp
63.5194545455	n/a	69871.4	show_circle	n/a	n/a	n/a	13	0	circle.bmp
63.6876363636	n/a	70056.4	right_press	n/a	n/a	n/a	13	4096	n/a
65.2194545455	n/a	71741.4	show_cross	n/a	n/a	n/a	14	1	cross.bmp
65.8349090909	n/a	72418.4	show_face	scrambled_face	immediate_repeat	1	14	18	s065.bmp
66.5876363636	n/a	73246.4	right_press	n/a	n/a	n/a	14	4096	n/a
66.6530909091	n/a	73318.4	show_circle	n/a	n/a	n/a	14	0	circle.bmp
68.3530909091	n/a	75188.4	show_cross	n/a	n/a	n/a	15	1	cross.bmp
68.8921818182	n/a	75781.4	show_face	famous_face	first_show	n/a	15	5	f071.bmp
69.5349090909	n/a	76488.4	right_press	n/a	n/a	n/a	15	4096	n/a
69.9003636364	n/a	76890.4	show_circle	n/a	n/a	n/a	15	0	circle.bmp
71.6003636364	n/a	78760.4	show_cross	n/a	n/a	n/a	16	1	cross.bmp
72.2658181818	n/a	79492.4	show_face	unfamiliar_face	first_show	n/a	16	13	u150.bmp
72.9721818182	n/a	80269.4	right_press	n/a	n/a	n/a	16	4096	n/a
73.1567272727	n/a	80472.4	show_circle	n/a	n/a	n/a	16	0	circle.bmp
74.8567272727	n/a	82342.4	show_cross	n/a	n/a	n/a	17	1	cross.bmp
75.3230909091	n/a	82855.4	show_face	unfamiliar_face	immediate_repeat	1	17	14	u150.bmp
75.9658181818	n/a	83562.4	left_press	n/a	n/a	n/a	17	256	n/a
76.2212727273	n/a	83843.4	show_circle	n/a	n/a	n/a	17	0	circle.bmp
77.9212727273	n/a	85713.4	show_cross	n/a	n/a	n/a	18	1	cross.bmp
78.464	n/a	86310.4	show_face	unfamiliar_face	first_show	n/a	18	13	u027.bmp
79.3212727273	n/a	87253.4	left_press	n/a	n/a	n/a	18	256	n/a
79.4603636364	n/a	87406.4	show_circle	n/a	n/a	n/a	18	0	circle.bmp
81.1603636364	n/a	89276.4	show_cross	n/a	n/a	n/a	19	1	cross.bmp
81.7049090909	n/a	89875.4	show_face	unfamiliar_face	delayed_repeat	10	19	15	u075.bmp
82.6903636364	n/a	90959.4	show_circle	n/a	n/a	n/a	19	0	circle.bmp
82.8512727273	n/a	91136.4	right_press	n/a	n/a	n/a	19	4096	n/a
84.3903636364	n/a	92829.4	show_cross	n/a	n/a	n/a	20	1	cross.bmp
84.8621818182	n/a	93348.4	show_face	scrambled_face	first_show	n/a	20	17	s015.bmp
85.7321818182	n/a	94305.4	show_circle	n/a	n/a	n/a	20	0	circle.bmp
85.9694545455	n/a	94566.4	left_press	n/a	n/a	n/a	20	256	n/a
87.4321818182	n/a	96175.4	show_cross	n/a	n/a	n/a	21	1	cross.bmp
87.9358181818	n/a	96729.4	show_face	scrambled_face	delayed_repeat	10	21	19	s101.bmp
88.6103636364	n/a	97471.4	right_press	n/a	n/a	n/a	21	4096	n/a
88.7858181818	n/a	97664.4	show_circle	n/a	n/a	n/a	21	0	circle.bmp
90.4858181818	n/a	99534.4	show_cross	n/a	n/a	n/a	22	1	cross.bmp
90.9921818182	n/a	100091.4	show_face	famous_face	first_show	n/a	22	5	f096.bmp
91.8912727273	n/a	101080.4	show_circle	n/a	n/a	n/a	22	0	circle.bmp
92.1549090909	n/a	101370.4	left_press	n/a	n/a	n/a	22	256	n/a
93.5912727273	n/a	102950.4	show_cross	n/a	n/a	n/a	23	1	cross.bmp
94.1503636364	n/a	103565.4	show_face	famous_face	immediate_repeat	1	23	6	f096.bmp
95.0249090909	n/a	104527.4	left_press	n/a	n/a	n/a	23	256	n/a
95.1385454545	n/a	104652.4	show_circle	n/a	n/a	n/a	23	0	circle.bmp
96.8385454545	n/a	106522.4	show_cross	n/a	n/a	n/a	24	1	cross.bmp
97.4576363636	n/a	107203.4	show_face	scrambled_face	first_show	n/a	24	17	s064.bmp
98.4230909091	n/a	108265.4	show_circle	n/a	n/a	n/a	24	0	circle.bmp
99.0549090909	n/a	108960.4	left_press	n/a	n/a	n/a	24	256	n/a
100.1230909091	n/a	110135.4	show_cross	n/a	n/a	n/a	25	1	cross.bmp
100.7649090909	n/a	110841.4	show_face	famous_face	delayed_repeat	10	25	7	f071.bmp
101.504	n/a	111654.4	right_press	n/a	n/a	n/a	25	4096	n/a
101.6658181818	n/a	111832.4	show_circle	n/a	n/a	n/a	25	0	circle.bmp
103.3658181818	n/a	113702.4	show_cross	n/a	n/a	n/a	26	1	cross.bmp
103.9894545455	n/a	114388.4	show_face	famous_face	first_show	n/a	26	5	f107.bmp
104.8485454545	n/a	115333.4	show_circle	n/a	n/a	n/a	26	0	circle.bmp
105.0276363636	n/a	115530.4	left_press	n/a	n/a	n/a	26	256	n/a
106.5485454545	n/a	117203.4	show_cross	n/a	n/a	n/a	27	1	cross.bmp
107.1630909091	n/a	117879.4	show_face	unfamiliar_face	first_show	n/a	27	13	u141.bmp
