onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	left_sym	n/a	n/a	n/a	n/a
24.2707272727	n/a	6067.6818	show_face	scrambled_face	first_show	17	s107.bmp
25.1170909091	n/a	6279.2727	show_circle	n/a	n/a	0	circle.bmp
25.2843636364	n/a	6321.0909	right_press	n/a	n/a	4096	n/a
26.8170909091	n/a	6704.2727	show_cross	n/a	n/a	n/a	cross.bmp
27.4107272727	n/a	6852.6818	show_face	scrambled_face	immediate_repeat	18	s107.bmp
28.1016363636	n/a	7025.4091	right_press	n/a	n/a	4096	n/a
28.2298181818	n/a	7057.4545	show_circle	n/a	n/a	0	circle.bmp
29.9298181818	n/a	7482.4545	show_cross	n/a	n/a	n/a	cross.bmp
30.5007272727	n/a	7625.1818	show_face	famous_face	first_show	5	f150.bmp
31.2834545455	n/a	7820.8636	left_press	n/a	n/a	256	n/a
31.3943636364	n/a	7848.5909	show_circle	n/a	n/a	0	circle.bmp
33.0943636364	n/a	8273.5909	show_cross	n/a	n/a	n/a	cross.bmp
33.7416363636	n/a	8435.4091	show_face	famous_face	first_show	5	f046.bmp
34.4580000000	n/a	8614.5	right_press	n/a	n/a	4096	n/a
34.6152727273	n/a	8653.8182	show_circle	n/a	n/a	0	circle.bmp
36.3152727273	n/a	9078.8182	show_cross	n/a	n/a	n/a	cross.bmp
36.9489090909	n/a	9237.2273	show_face	unfamiliar_face	first_show	13	u112.bmp
37.6689090909	n/a	9417.2273	left_press	n/a	n/a	256	n/a
37.8043636364	n/a	9451.0909	show_circle	n/a	n/a	0	circle.bmp
39.5043636364	n/a	9876.0909	show_cross	n/a	n/a	n/a	cross.bmp
40.1561818182	n/a	10039.0455	show_face	unfamiliar_face	first_show	13	u054.bmp
41.0307272727	n/a	10257.6818	right_press	n/a	n/a	4096	n/a
41.1034545455	n/a	10275.8636	show_circle	n/a	n/a	0	circle.bmp
42.8034545455	n/a	10700.8636	show_cross	n/a	n/a	n/a	cross.bmp
43.3634545455	n/a	10840.8636	show_face	unfamiliar_face	immediate_repeat	14	u054.bmp
44.0689090909	n/a	11017.2273	right_press	n/a	n/a	4096	n/a
44.2580000000	n/a	11064.5	show_circle	n/a	n/a	0	circle.bmp
45.9580000000	n/a	11489.5	show_cross	n/a	n/a	n/a	cross.bmp
46.5043636364	n/a	11626.0909	show_face	unfamiliar_face	first_show	13	u017.bmp
47.2480000000	n/a	11812	right_press	n/a	n/a	4096	n/a
47.4689090909	n/a	11867.2273	show_circle	n/a	n/a	0	circle.bmp
49.1689090909	n/a	12292.2273	show_cross	n/a	n/a	n/a	cross.bmp
49.7789090909	n/a	12444.7273	show_face	unfamiliar_face	first_show	13	u138.bmp
50.4598181818	n/a	12614.9545	left_press	n/a	n/a	256	n/a
50.7816363636	n/a	12695.4091	show_circle	n/a	n/a	0	circle.bmp
52.4816363636	n/a	13120.4091	show_cross	n/a	n/a	n/a	cross.bmp
52.9689090909	n/a	13242.2273	show_face	unfamiliar_face	immediate_repeat	14	u138.bmp
53.8580000000	n/a	13464.5	show_circle	n/a	n/a	0	circle.bmp
53.9034545455	n/a	13475.8636	left_press	n/a	n/a	256	n/a
55.5580000000	n/a	13889.5	show_cross	n/a	n/a	n/a	cross.bmp
56.0261818182	n/a	14006.5455	show_face	famous_face	delayed_repeat	7	f150.bmp
56.9698181818	n/a	14242.4545	left_press	n/a	n/a	256	n/a
57.0380000000	n/a	14259.5	show_circle	n/a	n/a	0	circle.bmp
58.7380000000	n/a	14684.5	show_cross	n/a	n/a	n/a	cross.bmp
59.4007272727	n/a	14850.1818	show_face	unfamiliar_face	first_show	13	u074.bmp
60.1207272727	n/a	15030.1818	right_press	n/a	n/a	4096	n/a
60.2825454545	n/a	15070.6364	show_circle	n/a	n/a	0	circle.bmp
61.9825454545	n/a	15495.6364	show_cross	n/a	n/a	n/a	cross.bmp
62.5580000000	n/a	15639.5	show_face	famous_face	delayed_repeat	7	f046.bmp
63.4416363636	n/a	15860.4091	show_circle	n/a	n/a	0	circle.bmp
63.6816363636	n/a	15920.4091	left_press	n/a	n/a	256	n/a
65.1416363636	n/a	16285.4091	show_cross	n/a	n/a	n/a	cross.bmp
65.6152727273	n/a	16403.8182	show_face	unfamiliar_face	first_show	13	u096.bmp
66.3880000000	n/a	16597	left_press	n/a	n/a	256	n/a
66.5798181818	n/a	16644.9545	show_circle	n/a	n/a	0	circle.bmp
68.2798181818	n/a	17069.9545	show_cross	n/a	n/a	n/a	cross.bmp
68.7889090909	n/a	17197.2273	show_face	unfamiliar_face	delayed_repeat	15	u112.bmp
69.5280000000	n/a	17382	left_press	n/a	n/a	256	n/a
69.6625454545	n/a	17415.6364	show_circle	n/a	n/a	0	circle.bmp
71.3625454545	n/a	17840.6364	show_cross	n/a	n/a	n/a	cross.bmp
72.0134545455	n/a	18003.3636	show_face	famous_face	first_show	5	f096.bmp
72.8980000000	n/a	18224.5	right_press	n/a	n/a	4096	n/a
72.9780000000	n/a	18244.5	show_circle	n/a	n/a	0	circle.bmp
74.6780000000	n/a	18669.5	show_cross	n/a	n/a	n/a	cross.bmp
75.2543636364	n/a	18813.5909	show_face	famous_face	immediate_repeat	6	f096.bmp
75.9870909091	n/a	18996.7727	right_press	n/a	n/a	4096	n/a
76.1343636364	n/a	19033.5909	show_circle	n/a	n/a	0	circle.bmp
77.8343636364	n/a	19458.5909	show_cross	n/a	n/a	n/a	cross.bmp
78.4443636364	n/a	19611.0909	show_face	unfamiliar_face	first_show	13	u065.bmp
79.3434545455	n/a	19835.8636	show_circle	n/a	n/a	0	circle.bmp
79.7243636364	n/a	19931.0909	left_press	n/a	n/a	256	n/a
79.8161818182	n/a	19954.0455	4352	n/a	n/a	4352	n/a
81.0434545455	n/a	20260.8636	show_cross	n/a	n/a	n/a	cross.bmp
81.6525454545	n/a	20413.1364	show_face	unfamiliar_face	immediate_repeat	14	u065.bmp
82.5570909091	n/a	20639.2727	show_circle	n/a	n/a	0	circle.bmp
82.7698181818	n/a	20692.4545	left_press	n/a	n/a	256	n/a
84.2570909091	n/a	21064.2727	show_cross	n/a	n/a	n/a	cross.bmp
84.7425454545	n/a	21185.6364	show_face	unfamiliar_face	delayed_repeat	15	u017.bmp
85.6052727273	n/a	21401.3182	show_circle	n/a	n/a	0	circle.bmp
85.6598181818	n/a	21414.9545	right_press	n/a	n/a	4096	n/a
87.3052727273	n/a	21826.3182	show_cross	n/a	n/a	n/a	cross.bmp
87.8334545455	n/a	21958.3636	show_face	unfamiliar_face	first_show	13	u011.bmp
88.6434545455	n/a	22160.8636	right_press	n/a	n/a	4096	n/a
88.8161818182	n/a	22204.0455	show_circle	n/a	n/a	0	circle.bmp
90.5161818182	n/a	22629.0455	show_cross	n/a	n/a	n/a	cross.bmp
91.0907272727	n/a	22772.6818	show_face	unfamiliar_face	immediate_repeat	14	u011.bmp
91.6707272727	n/a	22917.6818	right_press	n/a	n/a	4096	n/a
92.0416363636	n/a	23010.4091	show_circle	n/a	n/a	0	circle.bmp
93.7416363636	n/a	23435.4091	show_cross	n/a	n/a	n/a	cross.bmp
94.2643636364	n/a	23566.0909	show_face	unfamiliar_face	first_show	13	u081.bmp
95.1734545455	n/a	23793.3636	show_circle	n/a	n/a	0	circle.bmp
95.3625454545	n/a	23840.6364	right_press	n/a	n/a	4096	n/a
96.8734545455	n/a	24218.3636	show_cross	n/a	n/a	n/a	cross.bmp
97.3552727273	n/a	24338.8182	show_face	unfamiliar_face	delayed_repeat	15	u074.bmp
98.2243636364	n/a	24556.0909	show_circle	n/a	n/a	0	circle.bmp
98.2752727273	n/a	24568.8182	right_press	n/a	n/a	4096	n/a
99.9243636364	n/a	24981.0909	show_cross	n/a	n/a	n/a	cross.bmp
100.3789090909	n/a	25094.7273	show_face	unfamiliar_face	first_show	13	u069.bmp
101.2443636364	n/a	25311.0909	show_circle	n/a	n/a	0	circle.bmp
101.4725454545	n/a	25368.1364	right_press	n/a	n/a	4096	n/a
102.9443636364	n/a	25736.0909	show_cross	n/a	n/a	n/a	cross.bmp
103.4689090909	n/a	25867.2273	show_face	unfamiliar_face	delayed_repeat	15	u096.bmp
104.2089090909	n/a	26052.2273	left_press	n/a	n/a	256	n/a
104.3025454545	n/a	26075.6364	show_circle	n/a	n/a	0	circle.bmp
