onset	duration	response_time	button_press	stim_file
n/a	n/a	2.112	1	u044.bmp
n/a	n/a	1.578	1	f098.bmp
n/a	n/a	9.114	3	f147.bmp
n/a	n/a	3.421	3	f075.bmp
n/a	n/a	1.856	1	f043.bmp
n/a	n/a	3.604	3	f029.bmp
n/a	n/a	1.981	1	u037.bmp
n/a	n/a	3.237	3	f083.bmp
n/a	n/a	1.247	1	u016.bmp
n/a	n/a	2.333	1	u132.bmp
n/a	n/a	3.158	1	u076.bmp
n/a	n/a	2.195	3	f010.bmp
n/a	n/a	1.705	3	f001.bmp
n/a	n/a	0.828	3	f044.bmp
n/a	n/a	1.284	1	u063.bmp
n/a	n/a	1.464	3	f070.bmp
n/a	n/a	0.957	1	u012.bmp
n/a	n/a	1.104	3	f014.bmp
n/a	n/a	1.46	1	u073.bmp
n/a	n/a	0.906	1	u097.bmp
n/a	n/a	1.03	1	u071.bmp
n/a	n/a	1.446	3	f047.bmp
n/a	n/a	1.404	1	u026.bmp
n/a	n/a	2.275	1	f089.bmp
n/a	n/a	1.582	3	f113.bmp
n/a	n/a	0.935	1	u017.bmp
n/a	n/a	1.514	1	u072.bmp
n/a	n/a	1.173	3	f027.bmp
n/a	n/a	0.91	1	u032.bmp
n/a	n/a	1.115	1	u029.bmp
n/a	n/a	1.319	1	f045.bmp
n/a	n/a	3.755	3	f118.bmp
n/a	n/a	2.784	3	f101.bmp
n/a	n/a	2.694	3	f121.bmp
n/a	n/a	2.295	1	u104.bmp
n/a	n/a	1.698	1	u103.bmp
n/a	n/a	1.781	1	f085.bmp
n/a	n/a	1.156	3	f078.bmp
n/a	n/a	1.31	1	u002.bmp
n/a	n/a	1.025	1	u062.bmp
n/a	n/a	1.328	1	u031.bmp
n/a	n/a	4.291	2	u138.bmp
n/a	n/a	1.945	3	f093.bmp
n/a	n/a	1.275	1	u039.bmp
n/a	n/a	1.912	3	f119.bmp
n/a	n/a	2.217	1	u065.bmp
n/a	n/a	1.295	3	f080.bmp
n/a	n/a	0.931	3	f139.bmp
n/a	n/a	1.119	3	u005.bmp
n/a	n/a	0.778	3	u057.bmp
n/a	n/a	1.42	3	f019.bmp
n/a	n/a	2.594	1	u081.bmp
n/a	n/a	4.111	3	f065.bmp
n/a	n/a	1.348	3	f061.bmp
n/a	n/a	2.926	1	u084.bmp
n/a	n/a	1.077	3	f100.bmp
n/a	n/a	1.282	1	u123.bmp
n/a	n/a	0.736	1	u004.bmp
n/a	n/a	0.867	1	u095.bmp
n/a	n/a	0.994	1	u080.bmp
n/a	n/a	2.066	1	u043.bmp
n/a	n/a	1.415	3	f058.bmp
n/a	n/a	1.421	3	f038.bmp
n/a	n/a	0.932	3	u042.bmp
n/a	n/a	1.24	1	u136.bmp
n/a	n/a	0.862	1	u120.bmp
n/a	n/a	0.692	1	u069.bmp
n/a	n/a	0.969	1	u127.bmp
n/a	n/a	1.875	3	f081.bmp
n/a	n/a	1.31	3	f036.bmp
n/a	n/a	1.337	3	f136.bmp
n/a	n/a	3.811	1	u027.bmp
n/a	n/a	1.236	1	u022.bmp
n/a	n/a	1.739	1	u045.bmp
n/a	n/a	1.02	3	f040.bmp
n/a	n/a	1.228	1	f092.bmp
n/a	n/a	1.915	1	u098.bmp
n/a	n/a	4.413	3	f090.bmp
n/a	n/a	4.198	3	f145.bmp
n/a	n/a	1.784	1	u006.bmp
n/a	n/a	0.944	3	f137.bmp
n/a	n/a	1.803	3	f007.bmp
n/a	n/a	0.799	3	f030.bmp
n/a	n/a	2.864	1	u109.bmp
n/a	n/a	0.979	1	u007.bmp
n/a	n/a	0.907	1	f112.bmp
n/a	n/a	1.128	1	f039.bmp
n/a	n/a	0.907	1	u066.bmp
n/a	n/a	0.88	3	f114.bmp
n/a	n/a	3.493	3	f021.bmp
n/a	n/a	0.917	3	f094.bmp
n/a	n/a	0.962	3	f009.bmp
n/a	n/a	2.469	3	f013.bmp
n/a	n/a	1.223	3	f104.bmp
n/a	n/a	2.079	1	u067.bmp
n/a	n/a	1.202	3	f120.bmp
n/a	n/a	5.795	1	u115.bmp
n/a	n/a	1.282	3	f002.bmp
n/a	n/a	1.727	3	f134.bmp
n/a	n/a	1.105	3	f050.bmp
n/a	n/a	4.245	2	u079.bmp
n/a	n/a	1.38	1	u061.bmp
n/a	n/a	2.861	3	u119.bmp
n/a	n/a	2.92	1	u068.bmp
n/a	n/a	1.663	1	u106.bmp
n/a	n/a	1.204	3	f110.bmp
n/a	n/a	2.54	2	u105.bmp
n/a	n/a	1.659	1	f103.bmp
n/a	n/a	1.391	1	u149.bmp
n/a	n/a	0.918	3	f144.bmp
n/a	n/a	1.243	1	f031.bmp
n/a	n/a	0.937	1	u040.bmp
n/a	n/a	1.076	3	f066.bmp
n/a	n/a	1.554	1	u147.bmp
n/a	n/a	0.724	1	u059.bmp
n/a	n/a	2.223	3	u051.bmp
n/a	n/a	1.444	3	f060.bmp
n/a	n/a	2.298	2	u107.bmp
n/a	n/a	1.483	1	u035.bmp
n/a	n/a	1.615	3	f096.bmp
