onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	right_sym	n/a	n/a	n/a	n/a
41.4361818182	n/a	10359.0455	show_face	unfamiliar_face	first_show	13	u014.bmp
42.2280000000	n/a	10557	right_press	n/a	n/a	4096	n/a
42.4170909091	n/a	10604.2727	show_circle	n/a	n/a	0	circle.bmp
44.1170909091	n/a	11029.2727	show_cross	n/a	n/a	n/a	cross.bmp
44.6943636364	n/a	11173.5909	show_face	unfamiliar_face	immediate_repeat	14	u014.bmp
45.1998181818	n/a	11299.9545	right_press	n/a	n/a	4096	n/a
45.5216363636	n/a	11380.4091	show_circle	n/a	n/a	0	circle.bmp
47.2216363636	n/a	11805.4091	show_cross	n/a	n/a	n/a	cross.bmp
47.7007272727	n/a	11925.1818	show_face	scrambled_face	first_show	17	s098.bmp
48.3389090909	n/a	12084.7273	left_press	n/a	n/a	256	n/a
48.7061818182	n/a	12176.5455	show_circle	n/a	n/a	0	circle.bmp
50.4061818182	n/a	12601.5455	show_cross	n/a	n/a	n/a	cross.bmp
50.9243636364	n/a	12731.0909	show_face	scrambled_face	first_show	17	s093.bmp
51.4834545455	n/a	12870.8636	left_press	n/a	n/a	256	n/a
51.9370909091	n/a	12984.2727	show_circle	n/a	n/a	0	circle.bmp
53.6370909091	n/a	13409.2727	show_cross	n/a	n/a	n/a	cross.bmp
54.2325454545	n/a	13558.1364	show_face	famous_face	first_show	5	f003.bmp
54.8316363636	n/a	13707.9091	right_press	n/a	n/a	4096	n/a
55.2070909091	n/a	13801.7727	show_circle	n/a	n/a	0	circle.bmp
56.9070909091	n/a	14226.7727	show_cross	n/a	n/a	n/a	cross.bmp
57.5234545455	n/a	14380.8636	show_face	famous_face	immediate_repeat	6	f003.bmp
58.0698181818	n/a	14517.4545	right_press	n/a	n/a	4096	n/a
58.4525454545	n/a	14613.1364	show_circle	n/a	n/a	0	circle.bmp
