onset	duration	sample	event_type	face_type	rep_status	rep_lag	trial	value	stim_file
0.0009090909090909	n/a	1.0	setup_left_sym	n/a	n/a	n/a	n/a	101	n/a
24.1812727273	n/a	26599.4	show_face_initial	unfamiliar_face	first_show	n/a	1	3	u076.bmp
24.834	n/a	27317.4	right_press	n/a	n/a	n/a	1	4096	n/a
25.074	n/a	27581.4	show_circle	n/a	n/a	n/a	1	0	circle.bmp
26.774	n/a	29451.4	show_cross	n/a	n/a	n/a	2	1	cross.bmp
27.2721818182	n/a	29999.4	show_face	unfamiliar_face	immediate_repeat	1	2	14	u076.bmp
27.7285454545	n/a	30501.4	right_press	n/a	n/a	n/a	2	4096	n/a
28.1067272727	n/a	30917.4	show_circle	n/a	n/a	n/a	2	0	circle.bmp
29.8067272727	n/a	32787.4	show_cross	n/a	n/a	n/a	3	1	cross.bmp
30.4121818182	n/a	33453.4	show_face	famous_face	first_show	n/a	3	5	f079.bmp
31.0685454545	n/a	34175.4	left_press	n/a	n/a	n/a	3	256	n/a
31.3176363636	n/a	34449.4	show_circle	n/a	n/a	n/a	3	0	circle.bmp
33.0176363636	n/a	36319.4	show_cross	n/a	n/a	n/a	4	1	cross.bmp
33.5358181818	n/a	36889.4	show_face	scrambled_face	first_show	n/a	4	17	s132.bmp
34.1958181818	n/a	37615.4	left_press	n/a	n/a	n/a	4	256	n/a
34.4867272727	n/a	37935.4	show_circle	n/a	n/a	n/a	4	0	circle.bmp
36.1867272727	n/a	39805.4	show_cross	n/a	n/a	n/a	5	1	cross.bmp
36.7276363636	n/a	40400.4	show_face	scrambled_face	immediate_repeat	1	5	18	s132.bmp
37.3085454545	n/a	41039.4	left_press	n/a	n/a	n/a	5	256	n/a
37.6694545455	n/a	41436.4	show_circle	n/a	n/a	n/a	5	0	circle.bmp
39.3694545455	n/a	43306.4	show_cross	n/a	n/a	n/a	6	1	cross.bmp
39.9676363636	n/a	43964.4	show_face	unfamiliar_face	first_show	n/a	6	13	u086.bmp
40.7194545455	n/a	44791.4	left_press	n/a	n/a	n/a	6	256	n/a
40.8503636364	n/a	44935.4	show_circle	n/a	n/a	n/a	6	0	circle.bmp
42.5503636364	n/a	46805.4	show_cross	n/a	n/a	n/a	7	1	cross.bmp
43.0749090909	n/a	47382.4	show_face	unfamiliar_face	immediate_repeat	1	7	14	u086.bmp
43.4994545455	n/a	47849.4	left_press	n/a	n/a	n/a	7	256	n/a
43.904	n/a	48294.4	show_circle	n/a	n/a	n/a	7	0	circle.bmp
45.604	n/a	50164.4	show_cross	n/a	n/a	n/a	8	1	cross.bmp
46.1321818182	n/a	50745.4	show_face	scrambled_face	first_show	n/a	8	17	s030.bmp
46.8258181818	n/a	51508.4	right_press	n/a	n/a	n/a	8	4096	n/a
47.1258181818	n/a	51838.4	show_circle	n/a	n/a	n/a	8	0	circle.bmp
48.8258181818	n/a	53708.4	show_cross	n/a	n/a	n/a	9	1	cross.bmp
49.3730909091	n/a	54310.4	show_face	unfamiliar_face	first_show	n/a	9	13	u147.bmp
50.214	n/a	55235.4	left_press	n/a	n/a	n/a	9	256	n/a
50.3785454545	n/a	55416.4	show_circle	n/a	n/a	n/a	9	0	circle.bmp
52.0785454545	n/a	57286.4	show_cross	n/a	n/a	n/a	10	1	cross.bmp
52.5630909091	n/a	57819.4	show_face	famous_face	first_show	n/a	10	5	f119.bmp
53.1612727273	n/a	58477.4	right_press	n/a	n/a	n/a	10	4096	n/a
53.4076363636	n/a	58748.4	show_circle	n/a	n/a	n/a	10	0	circle.bmp
55.1076363636	n/a	60618.4	show_cross	n/a	n/a	n/a	11	1	cross.bmp
55.7203636364	n/a	61292.4	show_face	famous_face	immediate_repeat	1	11	6	f119.bmp
56.274	n/a	61901.4	right_press	n/a	n/a	n/a	11	4096	n/a
56.6449090909	n/a	62309.4	show_circle	n/a	n/a	n/a	11	0	circle.bmp
58.3449090909	n/a	64179.4	show_cross	n/a	n/a	n/a	12	1	cross.bmp
58.8276363636	n/a	64710.4	show_face	famous_face	delayed_repeat	9	12	7	f079.bmp
59.5258181818	n/a	65478.4	left_press	n/a	n/a	n/a	12	256	n/a
59.6603636364	n/a	65626.4	show_circle	n/a	n/a	n/a	12	0	circle.bmp
61.3603636364	n/a	67496.4	show_cross	n/a	n/a	n/a	13	1	cross.bmp
61.9185454545	n/a	68110.4	show_face	scrambled_face	first_show	n/a	13	17	s114.bmp
62.6367272727	n/a	68900.4	left_press	n/a	n/a	n/a	13	256	n/a
62.8085454545	n/a	69089.4	show_circle	n/a	n/a	n/a	13	0	circle.bmp
64.5085454545	n/a	70959.4	show_cross	n/a	n/a	n/a	14	1	cross.bmp
65.1421818182	n/a	71656.4	show_face	scrambled_face	immediate_repeat	1	14	18	s114.bmp
65.6830909091	n/a	72251.4	left_press	n/a	n/a	n/a	14	256	n/a
