onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	right_sym	n/a	n/a	n/a	n/a
25.6689090909	n/a	6417.2273	show_face	famous_face	first_show	5	f135.bmp
26.1816363636	n/a	6545.4091	right_press	n/a	n/a	4096	n/a
26.6007272727	n/a	6650.1818	show_circle	n/a	n/a	0	circle.bmp
28.3007272727	n/a	7075.1818	show_cross	n/a	n/a	n/a	cross.bmp
28.8434545455	n/a	7210.8636	show_face	famous_face	immediate_repeat	6	f135.bmp
29.2552727273	n/a	7313.8182	right_press	n/a	n/a	4096	n/a
29.7643636364	n/a	7441.0909	show_circle	n/a	n/a	0	circle.bmp
31.4643636364	n/a	7866.0909	show_cross	n/a	n/a	n/a	cross.bmp
32.0670909091	n/a	8016.7727	show_face	famous_face	first_show	5	f076.bmp
32.7334545455	n/a	8183.3636	right_press	n/a	n/a	4096	n/a
32.8970909091	n/a	8224.2727	show_circle	n/a	n/a	0	circle.bmp
34.5970909091	n/a	8649.2727	show_cross	n/a	n/a	n/a	cross.bmp
35.0907272727	n/a	8772.6818	show_face	famous_face	first_show	5	f012.bmp
35.8843636364	n/a	8971.0909	left_press	n/a	n/a	256	n/a
35.9352727273	n/a	8983.8182	show_circle	n/a	n/a	0	circle.bmp
37.6352727273	n/a	9408.8182	show_cross	n/a	n/a	n/a	cross.bmp
38.2143636364	n/a	9553.5909	show_face	famous_face	immediate_repeat	6	f012.bmp
38.7134545455	n/a	9678.3636	left_press	n/a	n/a	256	n/a
39.1161818182	n/a	9779.0455	show_circle	n/a	n/a	0	circle.bmp
40.8161818182	n/a	10204.0455	show_cross	n/a	n/a	n/a	cross.bmp
41.3716363636	n/a	10342.9091	show_face	unfamiliar_face	first_show	13	u070.bmp
41.9498181818	n/a	10487.4545	right_press	n/a	n/a	4096	n/a
42.2370909091	n/a	10559.2727	show_circle	n/a	n/a	0	circle.bmp
