onset	duration	sample	event_type	face_type	rep_status	rep_lag	trial	value	stim_file
0.0009090909090909	n/a	1.0	setup_left_sym	n/a	n/a	n/a	n/a	101	n/a
23.6758181818	n/a	26043.4	show_face_initial	scrambled_face	first_show	n/a	1	4	s017.bmp
24.2312727273	n/a	26654.4	left_press	n/a	n/a	n/a	1	256	n/a
24.5303636364	n/a	26983.4	show_circle	n/a	n/a	n/a	1	0	circle.bmp
26.2303636364	n/a	28853.4	show_cross	n/a	n/a	n/a	2	1	cross.bmp
26.7667272727	n/a	29443.4	show_face	famous_face	first_show	n/a	2	5	f044.bmp
27.4203636364	n/a	30162.4	right_press	n/a	n/a	n/a	2	4096	n/a
27.7158181818	n/a	30487.4	show_circle	n/a	n/a	n/a	2	0	circle.bmp
29.4158181818	n/a	32357.4	show_cross	n/a	n/a	n/a	3	1	cross.bmp
30.024	n/a	33026.4	show_face	famous_face	immediate_repeat	1	3	6	f044.bmp
30.5694545455	n/a	33626.4	right_press	n/a	n/a	n/a	3	4096	n/a
30.9667272727	n/a	34063.4	show_circle	n/a	n/a	n/a	3	0	circle.bmp
32.6667272727	n/a	35933.4	show_cross	n/a	n/a	n/a	4	1	cross.bmp
33.1312727273	n/a	36444.4	show_face	scrambled_face	first_show	n/a	4	17	s145.bmp
33.6894545455	n/a	37058.4	left_press	n/a	n/a	n/a	4	256	n/a
33.9749090909	n/a	37372.4	show_circle	n/a	n/a	n/a	4	0	circle.bmp
35.6749090909	n/a	39242.4	show_cross	n/a	n/a	n/a	5	1	cross.bmp
36.2049090909	n/a	39825.4	show_face	scrambled_face	immediate_repeat	1	5	18	s145.bmp
36.7130909091	n/a	40384.4	left_press	n/a	n/a	n/a	5	256	n/a
37.1694545455	n/a	40886.4	show_circle	n/a	n/a	n/a	5	0	circle.bmp
38.8694545455	n/a	42756.4	show_cross	n/a	n/a	n/a	6	1	cross.bmp
39.4958181818	n/a	43445.4	show_face	scrambled_face	first_show	n/a	6	17	s116.bmp
40.3703636364	n/a	44407.4	left_press	n/a	n/a	n/a	6	256	n/a
40.4003636364	n/a	44440.4	show_circle	n/a	n/a	n/a	6	0	circle.bmp
42.1003636364	n/a	46310.4	show_cross	n/a	n/a	n/a	7	1	cross.bmp
42.5867272727	n/a	46845.4	show_face	scrambled_face	immediate_repeat	1	7	18	s116.bmp
43.2467272727	n/a	47571.4	left_press	n/a	n/a	n/a	7	256	n/a
43.5685454545	n/a	47925.4	show_circle	n/a	n/a	n/a	7	0	circle.bmp
45.2685454545	n/a	49795.4	show_cross	n/a	n/a	n/a	8	1	cross.bmp
45.844	n/a	50428.4	show_face	unfamiliar_face	first_show	n/a	8	13	u089.bmp
46.6976363636	n/a	51367.4	left_press	n/a	n/a	n/a	8	256	n/a
46.7749090909	n/a	51452.4	show_circle	n/a	n/a	n/a	8	0	circle.bmp
48.4749090909	n/a	53322.4	show_cross	n/a	n/a	n/a	9	1	cross.bmp
49.0012727273	n/a	53901.4	show_face	unfamiliar_face	first_show	n/a	9	13	u065.bmp
49.5912727273	n/a	54550.4	right_press	n/a	n/a	n/a	9	4096	n/a
49.8394545455	n/a	54823.4	show_circle	n/a	n/a	n/a	9	0	circle.bmp
51.5394545455	n/a	56693.4	show_cross	n/a	n/a	n/a	10	1	cross.bmp
52.0749090909	n/a	57282.4	show_face	scrambled_face	delayed_repeat	9	10	19	s017.bmp
52.6630909091	n/a	57929.4	left_press	n/a	n/a	n/a	10	256	n/a
52.904	n/a	58194.4	show_circle	n/a	n/a	n/a	10	0	circle.bmp
54.604	n/a	60064.4	show_cross	n/a	n/a	n/a	11	1	cross.bmp
55.0985454545	n/a	60608.4	show_face	unfamiliar_face	first_show	n/a	11	13	u023.bmp
55.7358181818	n/a	61309.4	right_press	n/a	n/a	n/a	11	4096	n/a
55.9712727273	n/a	61568.4	show_circle	n/a	n/a	n/a	11	0	circle.bmp
57.6712727273	n/a	63438.4	show_cross	n/a	n/a	n/a	12	1	cross.bmp
58.1894545455	n/a	64008.4	show_face	unfamiliar_face	immediate_repeat	1	12	14	u023.bmp
58.8576363636	n/a	64743.4	right_press	n/a	n/a	n/a	12	4096	n/a
59.1321818182	n/a	65045.4	show_circle	n/a	n/a	n/a	12	0	circle.bmp
60.8321818182	n/a	66915.4	show_cross	n/a	n/a	n/a	13	1	cross.bmp
61.3967272727	n/a	67536.4	show_face	scrambled_face	first_show	n/a	13	17	s093.bmp
62.0749090909	n/a	68282.4	left_press	n/a	n/a	n/a	13	256	n/a
62.3894545455	n/a	68628.4	show_circle	n/a	n/a	n/a	13	0	circle.bmp
64.0894545455	n/a	70498.4	show_cross	n/a	n/a	n/a	14	1	cross.bmp
64.654	n/a	71119.4	show_face	famous_face	first_show	n/a	14	5	f059.bmp
65.514	n/a	72065.4	left_press	n/a	n/a	n/a	14	256	n/a
65.6312727273	n/a	72194.4	show_circle	n/a	n/a	n/a	14	0	circle.bmp
67.3312727273	n/a	74064.4	show_cross	n/a	n/a	n/a	15	1	cross.bmp
67.9785454545	n/a	74776.4	show_face	famous_face	immediate_repeat	1	15	6	f059.bmp
68.8258181818	n/a	75708.4	right_press	n/a	n/a	n/a	15	4096	n/a
68.8612727273	n/a	75747.4	show_circle	n/a	n/a	n/a	15	0	circle.bmp
70.5612727273	n/a	77617.4	show_cross	n/a	n/a	n/a	16	1	cross.bmp
71.1521818182	n/a	78267.4	show_face	unfamiliar_face	first_show	n/a	16	13	u074.bmp
71.8267272727	n/a	79009.4	right_press	n/a	n/a	n/a	16	4096	n/a
72.1312727273	n/a	79344.4	show_circle	n/a	n/a	n/a	16	0	circle.bmp
73.8312727273	n/a	81214.4	show_cross	n/a	n/a	n/a	17	1	cross.bmp
74.3930909091	n/a	81832.4	show_face	unfamiliar_face	delayed_repeat	9	17	15	u089.bmp
75.0894545455	n/a	82598.4	left_press	n/a	n/a	n/a	17	256	n/a
75.364	n/a	82900.4	show_circle	n/a	n/a	n/a	17	0	circle.bmp
77.064	n/a	84770.4	show_cross	n/a	n/a	n/a	18	1	cross.bmp
77.7003636364	n/a	85470.4	show_face	scrambled_face	first_show	n/a	18	17	s037.bmp
78.3412727273	n/a	86175.4	left_press	n/a	n/a	n/a	18	256	n/a
78.6749090909	n/a	86542.4	show_circle	n/a	n/a	n/a	18	0	circle.bmp
80.3749090909	n/a	88412.4	show_cross	n/a	n/a	n/a	19	1	cross.bmp
80.8749090909	n/a	88962.4	show_face	unfamiliar_face	delayed_repeat	10	19	15	u065.bmp
81.5430909091	n/a	89697.4	right_press	n/a	n/a	n/a	19	4096	n/a
81.7185454545	n/a	89890.4	show_circle	n/a	n/a	n/a	19	0	circle.bmp
83.4185454545	n/a	91760.4	show_cross	n/a	n/a	n/a	20	1	cross.bmp
84.0149090909	n/a	92416.4	show_face	unfamiliar_face	first_show	n/a	20	13	u083.bmp
84.6803636364	n/a	93148.4	right_press	n/a	n/a	n/a	20	4096	n/a
84.9294545455	n/a	93422.4	show_circle	n/a	n/a	n/a	20	0	circle.bmp
86.6294545455	n/a	95292.4	show_cross	n/a	n/a	n/a	21	1	cross.bmp
87.1221818182	n/a	95834.4	show_face	unfamiliar_face	first_show	n/a	21	13	u055.bmp
87.6794545455	n/a	96447.4	right_press	n/a	n/a	n/a	21	4096	n/a
87.9821818182	n/a	96780.4	show_circle	n/a	n/a	n/a	21	0	circle.bmp
89.6821818182	n/a	98650.4	show_cross	n/a	n/a	n/a	22	1	cross.bmp
90.1958181818	n/a	99215.4	show_face	unfamiliar_face	immediate_repeat	1	22	14	u055.bmp
90.7394545455	n/a	99813.4	right_press	n/a	n/a	n/a	22	4096	n/a
91.1121818182	n/a	100223.4	show_circle	n/a	n/a	n/a	22	0	circle.bmp
92.8121818182	n/a	102093.4	show_cross	n/a	n/a	n/a	23	1	cross.bmp
93.3530909091	n/a	102688.4	show_face	scrambled_face	delayed_repeat	10	23	19	s093.bmp
94.1549090909	n/a	103570.4	left_press	n/a	n/a	n/a	23	256	n/a
94.2130909091	n/a	103634.4	show_circle	n/a	n/a	n/a	23	0	circle.bmp
95.9130909091	n/a	105504.4	show_cross	n/a	n/a	n/a	24	1	cross.bmp
96.4603636364	n/a	106106.4	show_face	unfamiliar_face	first_show	n/a	24	13	u058.bmp
97.1212727273	n/a	106833.4	right_press	n/a	n/a	n/a	24	4096	n/a
97.4521818182	n/a	107197.4	show_circle	n/a	n/a	n/a	24	0	circle.bmp
99.1521818182	n/a	109067.4	show_cross	n/a	n/a	n/a	25	1	cross.bmp
99.6849090909	n/a	109653.4	show_face	unfamiliar_face	immediate_repeat	1	25	14	u058.bmp
100.4176363636	n/a	110459.4	right_press	n/a	n/a	n/a	25	4096	n/a
100.5730909091	n/a	110630.4	show_circle	n/a	n/a	n/a	25	0	circle.bmp
102.2730909091	n/a	112500.4	show_cross	n/a	n/a	n/a	26	1	cross.bmp
102.9258181818	n/a	113218.4	show_face	unfamiliar_face	first_show	n/a	26	13	u079.bmp
103.5203636364	n/a	113872.4	right_press	n/a	n/a	n/a	26	4096	n/a
103.7830909091	n/a	114161.4	show_circle	n/a	n/a	n/a	26	0	circle.bmp
105.4830909091	n/a	116031.4	show_cross	n/a	n/a	n/a	27	1	cross.bmp
106.0830909091	n/a	116691.4	show_face	unfamiliar_face	delayed_repeat	11	27	15	u074.bmp
106.5676363636	n/a	117224.4	right_press	n/a	n/a	n/a	27	4096	n/a
106.9594545455	n/a	117655.4	show_circle	n/a	n/a	n/a	27	0	circle.bmp
108.6594545455	n/a	119525.4	show_cross	n/a	n/a	n/a	28	1	cross.bmp
109.1403636364	n/a	120054.4	show_face	famous_face	first_show	n/a	28	5	f037.bmp
109.8830909091	n/a	120871.4	right_press	n/a	n/a	n/a	28	4096	n/a
110.0921818182	n/a	121101.4	show_circle	n/a	n/a	n/a	28	0	circle.bmp
111.7921818182	n/a	122971.4	show_cross	n/a	n/a	n/a	29	1	cross.bmp
112.3976363636	n/a	123637.4	show_face	famous_face	immediate_repeat	1	29	6	f037.bmp
112.9776363636	n/a	124275.4	right_press	n/a	n/a	n/a	29	4096	n/a
113.4058181818	n/a	124746.4	show_circle	n/a	n/a	n/a	29	0	circle.bmp
115.1058181818	n/a	126616.4	show_cross	n/a	n/a	n/a	30	1	cross.bmp
115.7549090909	n/a	127330.4	show_face	scrambled_face	delayed_repeat	12	30	19	s037.bmp
116.3930909091	n/a	128032.4	left_press	n/a	n/a	n/a	30	256	n/a
116.6685454545	n/a	128335.4	show_circle	n/a	n/a	n/a	30	0	circle.bmp
118.3685454545	n/a	130205.4	show_cross	n/a	n/a	n/a	31	1	cross.bmp
118.8458181818	n/a	130730.4	show_face	famous_face	first_show	n/a	31	5	f017.bmp
119.6194545455	n/a	131581.4	right_press	n/a	n/a	n/a	31	4096	n/a
119.734	n/a	131707.4	show_circle	n/a	n/a	n/a	31	0	circle.bmp
121.434	n/a	133577.4	show_cross	n/a	n/a	n/a	32	1	cross.bmp
122.0030909091	n/a	134203.4	show_face	famous_face	immediate_repeat	1	32	6	f017.bmp
122.8403636364	n/a	135124.4	show_circle	n/a	n/a	n/a	32	0	circle.bmp
123.3285454545	n/a	135661.4	right_press	n/a	n/a	n/a	32	4096	n/a
124.5403636364	n/a	136994.4	show_cross	n/a	n/a	n/a	33	1	cross.bmp
125.0930909091	n/a	137602.4	show_face	unfamiliar_face	delayed_repeat	13	33	15	u083.bmp
125.7385454545	n/a	138312.4	right_press	n/a	n/a	n/a	33	4096	n/a
126.0094545455	n/a	138610.4	show_circle	n/a	n/a	n/a	33	0	circle.bmp
127.7094545455	n/a	140480.4	show_cross	n/a	n/a	n/a	34	1	cross.bmp
128.2176363636	n/a	141039.4	show_face	scrambled_face	first_show	n/a	34	17	s127.bmp
129.0785454545	n/a	141986.4	left_press	n/a	n/a	n/a	34	256	n/a
129.1385454545	n/a	142052.4	show_circle	n/a	n/a	n/a	34	0	circle.bmp
130.8385454545	n/a	143922.4	show_cross	n/a	n/a	n/a	35	1	cross.bmp
131.4076363636	n/a	144548.4	show_face	scrambled_face	immediate_repeat	1	35	18	s127.bmp
131.9576363636	n/a	145153.4	left_press	n/a	n/a	n/a	35	256	n/a
132.344	n/a	145578.4	show_circle	n/a	n/a	n/a	35	0	circle.bmp
134.044	n/a	147448.4	show_cross	n/a	n/a	n/a	36	1	cross.bmp
134.5321818182	n/a	147985.4	show_face	scrambled_face	first_show	n/a	36	17	s036.bmp
135.0749090909	n/a	148582.4	left_press	n/a	n/a	n/a	36	256	n/a
135.3749090909	n/a	148912.4	show_circle	n/a	n/a	n/a	36	0	circle.bmp
137.0749090909	n/a	150782.4	show_cross	n/a	n/a	n/a	37	1	cross.bmp
137.6385454545	n/a	151402.4	show_face	scrambled_face	first_show	n/a	37	17	s007.bmp
138.5085454545	n/a	152359.4	show_circle	n/a	n/a	n/a	37	0	circle.bmp
138.5121818182	n/a	152363.4	left_press	n/a	n/a	n/a	37	256	n/a
140.2085454545	n/a	154229.4	show_cross	n/a	n/a	n/a	38	1	cross.bmp
140.7958181818	n/a	154875.4	show_face	unfamiliar_face	delayed_repeat	12	38	15	u079.bmp
141.5321818182	n/a	155685.4	right_press	n/a	n/a	n/a	38	4096	n/a
141.7685454545	n/a	155945.4	show_circle	n/a	n/a	n/a	38	0	circle.bmp
143.4685454545	n/a	157815.4	show_cross	n/a	n/a	n/a	39	1	cross.bmp
144.0867272727	n/a	158495.4	show_face	famous_face	first_show	n/a	39	5	f144.bmp
144.7776363636	n/a	159255.4	left_press	n/a	n/a	n/a	39	256	n/a
144.9476363636	n/a	159442.4	show_circle	n/a	n/a	n/a	39	0	circle.bmp
146.6476363636	n/a	161312.4	show_cross	n/a	n/a	n/a	40	1	cross.bmp
147.194	n/a	161913.4	show_face	scrambled_face	first_show	n/a	40	17	s101.bmp
147.9721818182	n/a	162769.4	left_press	n/a	n/a	n/a	40	256	n/a
148.044	n/a	162848.4	show_circle	n/a	n/a	n/a	40	0	circle.bmp
149.744	n/a	164718.4	show_cross	n/a	n/a	n/a	41	1	cross.bmp
150.3185454545	n/a	165350.4	show_face	unfamiliar_face	first_show	n/a	41	13	u110.bmp
150.9985454545	n/a	166098.4	right_press	n/a	n/a	n/a	41	4096	n/a
151.3049090909	n/a	166435.4	show_circle	n/a	n/a	n/a	41	0	circle.bmp
153.0049090909	n/a	168305.4	show_cross	n/a	n/a	n/a	42	1	cross.bmp
153.5085454545	n/a	168859.4	show_face	unfamiliar_face	immediate_repeat	1	42	14	u110.bmp
154.1594545455	n/a	169575.4	right_press	n/a	n/a	n/a	42	4096	n/a
154.464	n/a	169910.4	show_circle	n/a	n/a	n/a	42	0	circle.bmp
156.164	n/a	171780.4	show_cross	n/a	n/a	n/a	43	1	cross.bmp
156.7667272727	n/a	172443.4	show_face	scrambled_face	first_show	n/a	43	17	s103.bmp
157.6130909091	n/a	173374.4	left_press	n/a	n/a	n/a	43	256	n/a
157.6830909091	n/a	173451.4	show_circle	n/a	n/a	n/a	43	0	circle.bmp
159.3830909091	n/a	175321.4	show_cross	n/a	n/a	n/a	44	1	cross.bmp
159.8903636364	n/a	175879.4	show_face	scrambled_face	immediate_repeat	1	44	18	s103.bmp
160.4703636364	n/a	176517.4	left_press	n/a	n/a	n/a	44	256	n/a
160.7903636364	n/a	176869.4	show_circle	n/a	n/a	n/a	44	0	circle.bmp
162.4903636364	n/a	178739.4	show_cross	n/a	n/a	n/a	45	1	cross.bmp
162.9476363636	n/a	179242.4	show_face	scrambled_face	delayed_repeat	9	45	19	s036.bmp
163.9376363636	n/a	180331.4	show_circle	n/a	n/a	n/a	45	0	circle.bmp
164.0467272727	n/a	180451.4	left_press	n/a	n/a	n/a	45	256	n/a
165.6376363636	n/a	182201.4	show_cross	n/a	n/a	n/a	46	1	cross.bmp
166.1049090909	n/a	182715.4	show_face	famous_face	first_show	n/a	46	5	f042.bmp
166.8712727273	n/a	183558.4	left_press	n/a	n/a	n/a	46	256	n/a
167.0721818182	n/a	183779.4	show_circle	n/a	n/a	n/a	46	0	circle.bmp
168.7721818182	n/a	185649.4	show_cross	n/a	n/a	n/a	47	1	cross.bmp
169.3285454545	n/a	186261.4	show_face	scrambled_face	delayed_repeat	10	47	19	s007.bmp
169.9249090909	n/a	186917.4	left_press	n/a	n/a	n/a	47	256	n/a
170.3103636364	n/a	187341.4	show_circle	n/a	n/a	n/a	47	0	circle.bmp
172.0103636364	n/a	189211.4	show_cross	n/a	n/a	n/a	48	1	cross.bmp
172.4694545455	n/a	189716.4	show_face	famous_face	first_show	n/a	48	5	f147.bmp
173.1012727273	n/a	190411.4	right_press	n/a	n/a	n/a	48	4096	n/a
173.3921818182	n/a	190731.4	show_circle	n/a	n/a	n/a	48	0	circle.bmp
175.0921818182	n/a	192601.4	show_cross	n/a	n/a	n/a	49	1	cross.bmp
175.6930909091	n/a	193262.4	show_face	famous_face	immediate_repeat	1	49	6	f147.bmp
176.5076363636	n/a	194158.4	right_press	n/a	n/a	n/a	49	4096	n/a
176.5503636364	n/a	194205.4	show_circle	n/a	n/a	n/a	49	0	circle.bmp
178.2503636364	n/a	196075.4	show_cross	n/a	n/a	n/a	50	1	cross.bmp
178.8003636364	n/a	196680.4	show_face	famous_face	delayed_repeat	11	50	7	f144.bmp
179.4994545455	n/a	197449.4	left_press	n/a	n/a	n/a	50	256	n/a
179.6367272727	n/a	197600.4	show_circle	n/a	n/a	n/a	50	0	circle.bmp
181.3367272727	n/a	199470.4	show_cross	n/a	n/a	n/a	51	1	cross.bmp
181.8576363636	n/a	200043.4	show_face	famous_face	first_show	n/a	51	5	f104.bmp
182.5921818182	n/a	200851.4	left_press	n/a	n/a	n/a	51	256	n/a
182.7849090909	n/a	201063.4	show_circle	n/a	n/a	n/a	51	0	circle.bmp
184.4849090909	n/a	202933.4	show_cross	n/a	n/a	n/a	52	1	cross.bmp
184.9476363636	n/a	203442.4	show_face	famous_face	immediate_repeat	1	52	6	f104.bmp
185.4467272727	n/a	203991.4	left_press	n/a	n/a	n/a	52	256	n/a
185.8212727273	n/a	204403.4	show_circle	n/a	n/a	n/a	52	0	circle.bmp
187.5212727273	n/a	206273.4	show_cross	n/a	n/a	n/a	53	1	cross.bmp
188.0049090909	n/a	206805.4	show_face	scrambled_face	delayed_repeat	13	53	19	s101.bmp
188.6476363636	n/a	207512.4	left_press	n/a	n/a	n/a	53	256	n/a
189.0058181818	n/a	207906.4	show_circle	n/a	n/a	n/a	53	0	circle.bmp
190.7058181818	n/a	209776.4	show_cross	n/a	n/a	n/a	54	1	cross.bmp
