onset	duration	sample	event_type	face_type	rep_status	rep_lag	trial	value	stim_file
0.0009090909090909	n/a	1.0	setup_left_sym	n/a	n/a	n/a	n/a	101	n/a
26.8767272727	n/a	29564.4	show_face_initial	scrambled_face	first_show	n/a	1	4	s032.bmp
27.7412727273	n/a	30515.4	left_press	n/a	n/a	n/a	1	256	n/a
27.8921818182	n/a	30681.4	show_circle	n/a	n/a	n/a	1	0	circle.bmp
29.5921818182	n/a	32551.4	show_cross	n/a	n/a	n/a	2	1	cross.bmp
30.1003636364	n/a	33110.4	show_face	scrambled_face	immediate_repeat	1	2	18	s032.bmp
30.5885454545	n/a	33647.4	left_press	n/a	n/a	n/a	2	256	n/a
31.0012727273	n/a	34101.4	show_circle	n/a	n/a	n/a	2	0	circle.bmp
32.7012727273	n/a	35971.4	show_cross	n/a	n/a	n/a	3	1	cross.bmp
33.3076363636	n/a	36638.4	show_face	famous_face	first_show	n/a	3	5	f025.bmp
34.2230909091	n/a	37645.4	show_circle	n/a	n/a	n/a	3	0	circle.bmp
34.2376363636	n/a	37661.4	right_press	n/a	n/a	n/a	3	4096	n/a
35.9230909091	n/a	39515.4	show_cross	n/a	n/a	n/a	4	1	cross.bmp
36.5321818182	n/a	40185.4	show_face	famous_face	first_show	n/a	4	5	f146.bmp
37.4349090909	n/a	41178.4	show_circle	n/a	n/a	n/a	4	0	circle.bmp
37.6167272727	n/a	41378.4	right_press	n/a	n/a	n/a	4	4096	n/a
39.1349090909	n/a	43048.4	show_cross	n/a	n/a	n/a	5	1	cross.bmp
39.7058181818	n/a	43676.4	show_face	famous_face	immediate_repeat	1	5	6	f146.bmp
40.3267272727	n/a	44359.4	right_press	n/a	n/a	n/a	5	4096	n/a
40.6094545455	n/a	44670.4	show_circle	n/a	n/a	n/a	5	0	circle.bmp
42.3094545455	n/a	46540.4	show_cross	n/a	n/a	n/a	6	1	cross.bmp
42.8467272727	n/a	47131.4	show_face	unfamiliar_face	first_show	n/a	6	13	u021.bmp
43.554	n/a	47909.4	left_press	n/a	n/a	n/a	6	256	n/a
43.7530909091	n/a	48128.4	show_circle	n/a	n/a	n/a	6	0	circle.bmp
45.4530909091	n/a	49998.4	show_cross	n/a	n/a	n/a	7	1	cross.bmp
45.9703636364	n/a	50567.4	show_face	unfamiliar_face	immediate_repeat	1	7	14	u021.bmp
46.5894545455	n/a	51248.4	left_press	n/a	n/a	n/a	7	256	n/a
46.9776363636	n/a	51675.4	show_circle	n/a	n/a	n/a	7	0	circle.bmp
48.6776363636	n/a	53545.4	show_cross	n/a	n/a	n/a	8	1	cross.bmp
49.1949090909	n/a	54114.4	show_face	famous_face	first_show	n/a	8	5	f080.bmp
49.8676363636	n/a	54854.4	left_press	n/a	n/a	n/a	8	256	n/a
50.0985454545	n/a	55108.4	show_circle	n/a	n/a	n/a	8	0	circle.bmp
