onset	duration	sample	event_type	face_type	rep_status	rep_lag	trial	value	stim_file
0.0009090909090909	n/a	1.0	setup_right_sym	n/a	n/a	n/a	n/a	102	n/a
29.8303636364	n/a	32813.4	show_face_initial	famous_face	first_show	n/a	1	2	f087.bmp
30.3630909091	n/a	33399.4	left_press	n/a	n/a	n/a	1	256	n/a
30.7158181818	n/a	33787.4	show_circle	n/a	n/a	n/a	1	0	circle.bmp
32.4158181818	n/a	35657.4	show_cross	n/a	n/a	n/a	2	1	cross.bmp
32.8703636364	n/a	36157.4	show_face	scrambled_face	first_show	n/a	2	17	s097.bmp
33.4285454545	n/a	36771.4	right_press	n/a	n/a	n/a	2	4096	n/a
33.7930909091	n/a	37172.4	show_circle	n/a	n/a	n/a	2	0	circle.bmp
35.4930909091	n/a	39042.4	show_cross	n/a	n/a	n/a	3	1	cross.bmp
35.9776363636	n/a	39575.4	show_face	famous_face	first_show	n/a	3	5	f066.bmp
36.6403636364	n/a	40304.4	left_press	n/a	n/a	n/a	3	256	n/a
36.9003636364	n/a	40590.4	show_circle	n/a	n/a	n/a	3	0	circle.bmp
38.6003636364	n/a	42460.4	show_cross	n/a	n/a	n/a	4	1	cross.bmp
39.1185454545	n/a	43030.4	show_face	famous_face	immediate_repeat	1	4	6	f066.bmp
39.6121818182	n/a	43573.4	left_press	n/a	n/a	n/a	4	256	n/a
40.1194545455	n/a	44131.4	show_circle	n/a	n/a	n/a	4	0	circle.bmp
41.8194545455	n/a	46001.4	show_cross	n/a	n/a	n/a	5	1	cross.bmp
42.2758181818	n/a	46503.4	show_face	famous_face	first_show	n/a	5	5	f089.bmp
43.0276363636	n/a	47330.4	right_press	n/a	n/a	n/a	5	4096	n/a
43.1912727273	n/a	47510.4	show_circle	n/a	n/a	n/a	5	0	circle.bmp
44.8912727273	n/a	49380.4	show_cross	n/a	n/a	n/a	6	1	cross.bmp
45.4667272727	n/a	50013.4	show_face	scrambled_face	first_show	n/a	6	17	s078.bmp
46.0894545455	n/a	50698.4	left_press	n/a	n/a	n/a	6	256	n/a
46.4503636364	n/a	51095.4	show_circle	n/a	n/a	n/a	6	0	circle.bmp
48.1503636364	n/a	52965.4	show_cross	n/a	n/a	n/a	7	1	cross.bmp
48.6403636364	n/a	53504.4	show_face	scrambled_face	immediate_repeat	1	7	18	s078.bmp
49.2467272727	n/a	54171.4	left_press	n/a	n/a	n/a	7	256	n/a
49.4985454545	n/a	54448.4	show_circle	n/a	n/a	n/a	7	0	circle.bmp
51.1985454545	n/a	56318.4	show_cross	n/a	n/a	n/a	8	1	cross.bmp
51.764	n/a	56940.4	show_face	scrambled_face	first_show	n/a	8	17	s003.bmp
52.3867272727	n/a	57625.4	right_press	n/a	n/a	n/a	8	4096	n/a
52.6258181818	n/a	57888.4	show_circle	n/a	n/a	n/a	8	0	circle.bmp
54.3258181818	n/a	59758.4	show_cross	n/a	n/a	n/a	9	1	cross.bmp
54.9712727273	n/a	60468.4	show_face	scrambled_face	immediate_repeat	1	9	18	s003.bmp
55.5176363636	n/a	61069.4	right_press	n/a	n/a	n/a	9	4096	n/a
55.8012727273	n/a	61381.4	show_circle	n/a	n/a	n/a	9	0	circle.bmp
57.5012727273	n/a	63251.4	show_cross	n/a	n/a	n/a	10	1	cross.bmp
58.0285454545	n/a	63831.4	show_face	famous_face	delayed_repeat	9	10	7	f087.bmp
58.5721818182	n/a	64429.4	right_press	n/a	n/a	n/a	10	4096	n/a
58.8830909091	n/a	64771.4	show_circle	n/a	n/a	n/a	10	0	circle.bmp
60.5830909091	n/a	66641.4	show_cross	n/a	n/a	n/a	11	1	cross.bmp
61.2030909091	n/a	67323.4	show_face	famous_face	first_show	n/a	11	5	f025.bmp
61.8194545455	n/a	68001.4	right_press	n/a	n/a	n/a	11	4096	n/a
62.0985454545	n/a	68308.4	show_circle	n/a	n/a	n/a	11	0	circle.bmp
63.7985454545	n/a	70178.4	show_cross	n/a	n/a	n/a	12	1	cross.bmp
64.244	n/a	70668.4	show_face	famous_face	immediate_repeat	1	12	6	f025.bmp
64.8721818182	n/a	71359.4	right_press	n/a	n/a	n/a	12	4096	n/a
65.2512727273	n/a	71776.4	show_circle	n/a	n/a	n/a	12	0	circle.bmp
66.9512727273	n/a	73646.4	show_cross	n/a	n/a	n/a	13	1	cross.bmp
67.534	n/a	74287.4	show_face	scrambled_face	delayed_repeat	11	13	19	s097.bmp
68.1785454545	n/a	74996.4	left_press	n/a	n/a	n/a	13	256	n/a
68.3667272727	n/a	75203.4	show_circle	n/a	n/a	n/a	13	0	circle.bmp
70.0667272727	n/a	77073.4	show_cross	n/a	n/a	n/a	14	1	cross.bmp
70.5912727273	n/a	77650.4	show_face	scrambled_face	first_show	n/a	14	17	s135.bmp
71.1558181818	n/a	78271.4	right_press	n/a	n/a	n/a	14	4096	n/a
71.5221818182	n/a	78674.4	show_circle	n/a	n/a	n/a	14	0	circle.bmp
73.2221818182	n/a	80544.4	show_cross	n/a	n/a	n/a	15	1	cross.bmp
73.7812727273	n/a	81159.4	show_face	scrambled_face	immediate_repeat	1	15	18	s135.bmp
74.4476363636	n/a	81892.4	right_press	n/a	n/a	n/a	15	4096	n/a
74.7603636364	n/a	82236.4	show_circle	n/a	n/a	n/a	15	0	circle.bmp
76.4603636364	n/a	84106.4	show_cross	n/a	n/a	n/a	16	1	cross.bmp
77.1058181818	n/a	84816.4	show_face	scrambled_face	first_show	n/a	16	17	s106.bmp
77.9667272727	n/a	85763.4	show_circle	n/a	n/a	n/a	16	0	circle.bmp
78.0358181818	n/a	85839.4	right_press	n/a	n/a	n/a	16	4096	n/a
79.6667272727	n/a	87633.4	show_cross	n/a	n/a	n/a	17	1	cross.bmp
80.2467272727	n/a	88271.4	show_face	scrambled_face	immediate_repeat	1	17	18	s106.bmp
81.0876363636	n/a	89196.4	right_press	n/a	n/a	n/a	17	4096	n/a
81.2030909091	n/a	89323.4	show_circle	n/a	n/a	n/a	17	0	circle.bmp
82.9030909091	n/a	91193.4	show_cross	n/a	n/a	n/a	18	1	cross.bmp
83.4712727273	n/a	91818.4	show_face	famous_face	delayed_repeat	13	18	7	f089.bmp
84.1985454545	n/a	92618.4	right_press	n/a	n/a	n/a	18	4096	n/a
84.3376363636	n/a	92771.4	show_circle	n/a	n/a	n/a	18	0	circle.bmp
86.0376363636	n/a	94641.4	show_cross	n/a	n/a	n/a	19	1	cross.bmp
86.544	n/a	95198.4	show_face	famous_face	first_show	n/a	19	5	f140.bmp
87.2585454545	n/a	95984.4	left_press	n/a	n/a	n/a	19	256	n/a
87.4103636364	n/a	96151.4	show_circle	n/a	n/a	n/a	19	0	circle.bmp
89.1103636364	n/a	98021.4	show_cross	n/a	n/a	n/a	20	1	cross.bmp
89.7012727273	n/a	98671.4	show_face	unfamiliar_face	first_show	n/a	20	13	u146.bmp
90.3721818182	n/a	99409.4	left_press	n/a	n/a	n/a	20	256	n/a
90.6003636364	n/a	99660.4	show_circle	n/a	n/a	n/a	20	0	circle.bmp
92.3003636364	n/a	101530.4	show_cross	n/a	n/a	n/a	21	1	cross.bmp
92.7585454545	n/a	102034.4	show_face	unfamiliar_face	immediate_repeat	1	21	14	u146.bmp
93.4149090909	n/a	102756.4	left_press	n/a	n/a	n/a	21	256	n/a
93.6976363636	n/a	103067.4	show_circle	n/a	n/a	n/a	21	0	circle.bmp
95.3976363636	n/a	104937.4	show_cross	n/a	n/a	n/a	22	1	cross.bmp
95.9830909091	n/a	105581.4	show_face	scrambled_face	first_show	n/a	22	17	s102.bmp
96.8121818182	n/a	106493.4	show_circle	n/a	n/a	n/a	22	0	circle.bmp
96.824	n/a	106506.4	right_press	n/a	n/a	n/a	22	4096	n/a
98.5121818182	n/a	108363.4	show_cross	n/a	n/a	n/a	23	1	cross.bmp
99.1230909091	n/a	109035.4	show_face	unfamiliar_face	first_show	n/a	23	13	u012.bmp
99.814	n/a	109795.4	left_press	n/a	n/a	n/a	23	256	n/a
100.094	n/a	110103.4	show_circle	n/a	n/a	n/a	23	0	circle.bmp
101.794	n/a	111973.4	show_cross	n/a	n/a	n/a	24	1	cross.bmp
102.2976363636	n/a	112527.4	show_face	unfamiliar_face	immediate_repeat	1	24	14	u012.bmp
103.0712727273	n/a	113378.4	right_press	n/a	n/a	n/a	24	4096	n/a
103.1758181818	n/a	113493.4	show_circle	n/a	n/a	n/a	24	0	circle.bmp
104.8758181818	n/a	115363.4	show_cross	n/a	n/a	n/a	25	1	cross.bmp
105.3376363636	n/a	115871.4	show_face	unfamiliar_face	first_show	n/a	25	13	u003.bmp
106.0749090909	n/a	116682.4	right_press	n/a	n/a	n/a	25	4096	n/a
