onset	duration	response_time	button_press	stim_file
n/a	n/a	1.553	3	f123.bmp
n/a	n/a	1.586	1	f045.bmp
n/a	n/a	2.139	1	f135.bmp
n/a	n/a	1.571	1	u021.bmp
n/a	n/a	0.955	3	f038.bmp
n/a	n/a	1.485	1	u052.bmp
n/a	n/a	1.386	3	f081.bmp
n/a	n/a	1.474	2	f024.bmp
n/a	n/a	1.054	1	u116.bmp
n/a	n/a	1.077	1	u119.bmp
n/a	n/a	1.707	2	f116.bmp
n/a	n/a	1.861	1	u136.bmp
n/a	n/a	1.57	1	u118.bmp
n/a	n/a	2.379	2	u023.bmp
n/a	n/a	0.97	3	f012.bmp
n/a	n/a	1.355	1	u114.bmp
n/a	n/a	5.396	2	u104.bmp
n/a	n/a	1.027	3	f133.bmp
n/a	n/a	5.954	2	u084.bmp
n/a	n/a	0.786	3	f006.bmp
n/a	n/a	1.14	1	u121.bmp
n/a	n/a	0.822	3	f010.bmp
n/a	n/a	1.47	1	u145.bmp
n/a	n/a	3.731	2	f029.bmp
n/a	n/a	1.425	1	u142.bmp
n/a	n/a	3.303	2	f122.bmp
n/a	n/a	0.703	3	f086.bmp
n/a	n/a	0.771	1	u037.bmp
n/a	n/a	0.669	3	f080.bmp
n/a	n/a	0.803	3	f054.bmp
n/a	n/a	3.018	1	u106.bmp
n/a	n/a	1.614	2	f128.bmp
n/a	n/a	0.717	3	f034.bmp
n/a	n/a	0.914	1	u007.bmp
n/a	n/a	1.638	1	u105.bmp
n/a	n/a	3.619	2	u042.bmp
n/a	n/a	3.838	3	f129.bmp
n/a	n/a	2.559	1	u015.bmp
n/a	n/a	0.981	1	u097.bmp
n/a	n/a	1.703	1	u049.bmp
n/a	n/a	0.811	1	u146.bmp
n/a	n/a	6.148	1	f041.bmp
n/a	n/a	1.579	1	u111.bmp
n/a	n/a	3.988	2	u060.bmp
n/a	n/a	1.038	3	f130.bmp
n/a	n/a	0.757	1	u148.bmp
n/a	n/a	1.608	1	u068.bmp
n/a	n/a	5.134	2	f115.bmp
n/a	n/a	4.361	2	f148.bmp
n/a	n/a	1.341	3	f146.bmp
n/a	n/a	1.07	3	f061.bmp
n/a	n/a	1.067	1	u149.bmp
n/a	n/a	2.426	2	u041.bmp
n/a	n/a	1.663	1	u057.bmp
n/a	n/a	5.083	1	f092.bmp
n/a	n/a	0.879	3	f047.bmp
n/a	n/a	0.925	1	u056.bmp
n/a	n/a	6.927	2	u086.bmp
n/a	n/a	3.622	1	f028.bmp
n/a	n/a	4.36	2	f138.bmp
n/a	n/a	5.451	2	u138.bmp
n/a	n/a	1.712	1	u022.bmp
n/a	n/a	1.147	1	u140.bmp
n/a	n/a	3.469	3	f055.bmp
n/a	n/a	2.293	3	f017.bmp
n/a	n/a	4.887	1	u010.bmp
n/a	n/a	5.98	2	f037.bmp
n/a	n/a	1.74	3	f150.bmp
n/a	n/a	0.812	1	u150.bmp
n/a	n/a	6.501	2	f091.bmp
n/a	n/a	0.662	1	u053.bmp
n/a	n/a	1.277	3	f147.bmp
n/a	n/a	1.09	1	f073.bmp
n/a	n/a	6.526	3	f112.bmp
n/a	n/a	0.662	1	u133.bmp
n/a	n/a	0.965	3	f078.bmp
n/a	n/a	0.895	3	f067.bmp
n/a	n/a	0.708	3	f062.bmp
n/a	n/a	1.937	1	u039.bmp
n/a	n/a	0.73	1	u083.bmp
n/a	n/a	0.975	3	f144.bmp
n/a	n/a	5.64	3	f102.bmp
n/a	n/a	2.03	1	u067.bmp
n/a	n/a	12.115	1	u085.bmp
n/a	n/a	2.111	1	u120.bmp
n/a	n/a	1.937	3	f114.bmp
n/a	n/a	19.897	2	f025.bmp
n/a	n/a	3.078	1	f097.bmp
n/a	n/a	0.775	3	f026.bmp
