onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	left_sym	n/a	n/a	n/a	n/a
23.9261818182	n/a	5981.5455	show_face	scrambled_face	first_show	17	s065.bmp
24.8543636364	n/a	6213.5909	show_circle	n/a	n/a	0	circle.bmp
25.2052727273	n/a	6301.3182	left_press	n/a	n/a	256	n/a
26.5543636364	n/a	6638.5909	show_cross	n/a	n/a	n/a	cross.bmp
26.9998181818	n/a	6749.9545	show_face	famous_face	first_show	5	f116.bmp
27.9007272727	n/a	6975.1818	show_circle	n/a	n/a	0	circle.bmp
27.9552727273	n/a	6988.8182	left_press	n/a	n/a	256	n/a
29.6007272727	n/a	7400.1818	show_cross	n/a	n/a	n/a	cross.bmp
30.0898181818	n/a	7522.4545	show_face	scrambled_face	first_show	17	s126.bmp
30.7398181818	n/a	7684.9545	left_press	n/a	n/a	256	n/a
30.9207272727	n/a	7730.1818	show_circle	n/a	n/a	0	circle.bmp
32.6207272727	n/a	8155.1818	show_cross	n/a	n/a	n/a	cross.bmp
33.2643636364	n/a	8316.0909	show_face	scrambled_face	immediate_repeat	18	s126.bmp
33.8289090909	n/a	8457.2273	left_press	n/a	n/a	256	n/a
34.2252727273	n/a	8556.3182	show_circle	n/a	n/a	0	circle.bmp
35.9252727273	n/a	8981.3182	show_cross	n/a	n/a	n/a	cross.bmp
36.5716363636	n/a	9142.9091	show_face	famous_face	first_show	5	f039.bmp
37.4043636364	n/a	9351.0909	left_press	n/a	n/a	256	n/a
37.4980000000	n/a	9374.5	show_circle	n/a	n/a	0	circle.bmp
39.1980000000	n/a	9799.5	show_cross	n/a	n/a	n/a	cross.bmp
39.7789090909	n/a	9944.7273	show_face	famous_face	first_show	5	f132.bmp
40.3525454545	n/a	10088.1364	right_press	n/a	n/a	4096	n/a
40.6061818182	n/a	10151.5455	show_circle	n/a	n/a	0	circle.bmp
42.3061818182	n/a	10576.5455	show_cross	n/a	n/a	n/a	cross.bmp
42.9534545455	n/a	10738.3636	show_face	famous_face	immediate_repeat	6	f132.bmp
43.4561818182	n/a	10864.0455	right_press	n/a	n/a	4096	n/a
43.8825454545	n/a	10970.6364	show_circle	n/a	n/a	0	circle.bmp
45.5825454545	n/a	11395.6364	show_cross	n/a	n/a	n/a	cross.bmp
46.1107272727	n/a	11527.6818	show_face	famous_face	first_show	5	f024.bmp
46.8198181818	n/a	11704.9545	right_press	n/a	n/a	4096	n/a
46.9398181818	n/a	11734.9545	show_circle	n/a	n/a	0	circle.bmp
48.6398181818	n/a	12159.9545	show_cross	n/a	n/a	n/a	cross.bmp
49.1507272727	n/a	12287.6818	show_face	scrambled_face	delayed_repeat	19	s065.bmp
49.7334545455	n/a	12433.3636	left_press	n/a	n/a	256	n/a
50.1234545455	n/a	12530.8636	show_circle	n/a	n/a	0	circle.bmp
51.8234545455	n/a	12955.8636	show_cross	n/a	n/a	n/a	cross.bmp
52.4252727273	n/a	13106.3182	show_face	unfamiliar_face	first_show	13	u114.bmp
53.4061818182	n/a	13351.5455	show_circle	n/a	n/a	0	circle.bmp
53.4925454545	n/a	13373.1364	right_press	n/a	n/a	4096	n/a
55.1061818182	n/a	13776.5455	show_cross	n/a	n/a	n/a	cross.bmp
55.7161818182	n/a	13929.0455	show_face	unfamiliar_face	immediate_repeat	14	u114.bmp
56.1807272727	n/a	14045.1818	right_press	n/a	n/a	4096	n/a
56.5870909091	n/a	14146.7727	show_circle	n/a	n/a	0	circle.bmp
58.2870909091	n/a	14571.7727	show_cross	n/a	n/a	n/a	cross.bmp
58.9234545455	n/a	14730.8636	show_face	famous_face	delayed_repeat	7	f116.bmp
59.5070909091	n/a	14876.7727	left_press	n/a	n/a	256	n/a
59.7498181818	n/a	14937.4545	show_circle	n/a	n/a	0	circle.bmp
61.4498181818	n/a	15362.4545	show_cross	n/a	n/a	n/a	cross.bmp
62.0634545455	n/a	15515.8636	show_face	scrambled_face	first_show	17	s097.bmp
62.5970909091	n/a	15649.2727	left_press	n/a	n/a	256	n/a
62.9489090909	n/a	15737.2273	show_circle	n/a	n/a	0	circle.bmp
64.6489090909	n/a	16162.2273	show_cross	n/a	n/a	n/a	cross.bmp
65.1380000000	n/a	16284.5	show_face	scrambled_face	first_show	17	s001.bmp
65.6225454545	n/a	16405.6364	left_press	n/a	n/a	256	n/a
65.9943636364	n/a	16498.5909	show_circle	n/a	n/a	0	circle.bmp
67.6943636364	n/a	16923.5909	show_cross	n/a	n/a	n/a	cross.bmp
68.2961818182	n/a	17074.0455	show_face	scrambled_face	immediate_repeat	18	s001.bmp
68.6998181818	n/a	17174.9545	left_press	n/a	n/a	256	n/a
69.2225454545	n/a	17305.6364	show_circle	n/a	n/a	0	circle.bmp
70.9225454545	n/a	17730.6364	show_cross	n/a	n/a	n/a	cross.bmp
71.5025454545	n/a	17875.6364	show_face	famous_face	delayed_repeat	7	f039.bmp
72.3470909091	n/a	18086.7727	left_press	n/a	n/a	256	n/a
72.4825454545	n/a	18120.6364	show_circle	n/a	n/a	0	circle.bmp
74.1825454545	n/a	18545.6364	show_cross	n/a	n/a	n/a	cross.bmp
74.8270909091	n/a	18706.7727	show_face	famous_face	first_show	5	f040.bmp
75.5434545455	n/a	18885.8636	left_press	n/a	n/a	256	n/a
75.7143636364	n/a	18928.5909	show_circle	n/a	n/a	0	circle.bmp
77.4143636364	n/a	19353.5909	show_cross	n/a	n/a	n/a	cross.bmp
77.9507272727	n/a	19487.6818	show_face	scrambled_face	first_show	17	s049.bmp
78.5561818182	n/a	19639.0455	left_press	n/a	n/a	256	n/a
78.8170909091	n/a	19704.2727	show_circle	n/a	n/a	0	circle.bmp
80.5170909091	n/a	20129.2727	show_cross	n/a	n/a	n/a	cross.bmp
81.1580000000	n/a	20289.5	show_face	scrambled_face	immediate_repeat	18	s049.bmp
81.7261818182	n/a	20431.5455	left_press	n/a	n/a	256	n/a
81.9770909091	n/a	20494.2727	show_circle	n/a	n/a	0	circle.bmp
83.6770909091	n/a	20919.2727	show_cross	n/a	n/a	n/a	cross.bmp
84.2816363636	n/a	21070.4091	show_face	famous_face	delayed_repeat	7	f024.bmp
84.9080000000	n/a	21227	right_press	n/a	n/a	4096	n/a
85.1789090909	n/a	21294.7273	show_circle	n/a	n/a	0	circle.bmp
86.8789090909	n/a	21719.7273	show_cross	n/a	n/a	n/a	cross.bmp
87.4389090909	n/a	21859.7273	show_face	scrambled_face	first_show	17	s059.bmp
87.9607272727	n/a	21990.1818	left_press	n/a	n/a	256	n/a
88.2589090909	n/a	22064.7273	show_circle	n/a	n/a	0	circle.bmp
89.9589090909	n/a	22489.7273	show_cross	n/a	n/a	n/a	cross.bmp
90.4798181818	n/a	22619.9545	show_face	scrambled_face	immediate_repeat	18	s059.bmp
90.9952727273	n/a	22748.8182	left_press	n/a	n/a	256	n/a
91.4561818182	n/a	22864.0455	show_circle	n/a	n/a	0	circle.bmp
93.1561818182	n/a	23289.0455	show_cross	n/a	n/a	n/a	cross.bmp
93.7207272727	n/a	23430.1818	show_face	scrambled_face	first_show	17	s078.bmp
94.4316363636	n/a	23607.9091	left_press	n/a	n/a	256	n/a
94.7098181818	n/a	23677.4545	show_circle	n/a	n/a	0	circle.bmp
96.4098181818	n/a	24102.4545	show_cross	n/a	n/a	n/a	cross.bmp
96.9943636364	n/a	24248.5909	show_face	scrambled_face	delayed_repeat	19	s097.bmp
97.6398181818	n/a	24409.9545	left_press	n/a	n/a	256	n/a
97.8125454545	n/a	24453.1364	show_circle	n/a	n/a	0	circle.bmp
99.5125454545	n/a	24878.1364	show_cross	n/a	n/a	n/a	cross.bmp
100.0189090909	n/a	25004.7273	show_face	scrambled_face	first_show	17	s103.bmp
100.6934545455	n/a	25173.3636	left_press	n/a	n/a	256	n/a
100.8507272727	n/a	25212.6818	show_circle	n/a	n/a	0	circle.bmp
102.5507272727	n/a	25637.6818	show_cross	n/a	n/a	n/a	cross.bmp
103.1252727273	n/a	25781.3182	show_face	famous_face	first_show	5	f053.bmp
103.8952727273	n/a	25973.8182	right_press	n/a	n/a	4096	n/a
103.9925454545	n/a	25998.1364	show_circle	n/a	n/a	0	circle.bmp
105.6925454545	n/a	26423.1364	show_cross	n/a	n/a	n/a	cross.bmp
106.2161818182	n/a	26554.0455	show_face	famous_face	immediate_repeat	6	f053.bmp
