onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	right_sym	n/a	n/a	n/a	n/a
23.7198181818	n/a	5929.9545	show_face	scrambled_face	first_show	17	s041.bmp
24.3216363636	n/a	6080.4091	left_press	n/a	n/a	256	n/a
24.5525454545	n/a	6138.1364	show_circle	n/a	n/a	0	circle.bmp
26.2525454545	n/a	6563.1364	show_cross	n/a	n/a	n/a	cross.bmp
26.7607272727	n/a	6690.1818	show_face	famous_face	first_show	5	f146.bmp
27.2489090909	n/a	6812.2273	right_press	n/a	n/a	4096	n/a
27.6316363636	n/a	6907.9091	show_circle	n/a	n/a	0	circle.bmp
29.3316363636	n/a	7332.9091	show_cross	n/a	n/a	n/a	cross.bmp
29.9343636364	n/a	7483.5909	show_face	unfamiliar_face	first_show	13	u124.bmp
30.5143636364	n/a	7628.5909	right_press	n/a	n/a	4096	n/a
30.8152727273	n/a	7703.8182	show_circle	n/a	n/a	0	circle.bmp
32.5152727273	n/a	8128.8182	show_cross	n/a	n/a	n/a	cross.bmp
33.0752727273	n/a	8268.8182	show_face	unfamiliar_face	first_show	13	u149.bmp
33.6825454545	n/a	8420.6364	right_press	n/a	n/a	4096	n/a
33.9852727273	n/a	8496.3182	show_circle	n/a	n/a	0	circle.bmp
35.6852727273	n/a	8921.3182	show_cross	n/a	n/a	n/a	cross.bmp
36.2652727273	n/a	9066.3182	show_face	unfamiliar_face	immediate_repeat	14	u149.bmp
36.7443636364	n/a	9186.0909	right_press	n/a	n/a	4096	n/a
37.1480000000	n/a	9287	show_circle	n/a	n/a	0	circle.bmp
38.8480000000	n/a	9712	show_cross	n/a	n/a	n/a	cross.bmp
39.4898181818	n/a	9872.4545	show_face	scrambled_face	first_show	17	s104.bmp
39.9543636364	n/a	9988.5909	left_press	n/a	n/a	256	n/a
40.4807272727	n/a	10120.1818	show_circle	n/a	n/a	0	circle.bmp
