onset	duration	sample	event_type	face_type	rep_status	rep_lag	trial	value	stim_file
0.0009090909090909	n/a	1.0	setup_right_sym	n/a	n/a	n/a	n/a	102	n/a
24.2058181818	n/a	26626.4	show_face_initial	unfamiliar_face	first_show	n/a	1	3	u032.bmp
25.0312727273	n/a	27534.4	show_circle	n/a	n/a	n/a	1	0	circle.bmp
25.154	n/a	27669.4	left_press	n/a	n/a	n/a	1	256	n/a
26.7312727273	n/a	29404.4	show_cross	n/a	n/a	n/a	2	1	cross.bmp
27.2458181818	n/a	29970.4	show_face	unfamiliar_face	immediate_repeat	1	2	14	u032.bmp
27.8930909091	n/a	30682.4	left_press	n/a	n/a	n/a	2	256	n/a
28.0958181818	n/a	30905.4	show_circle	n/a	n/a	n/a	2	0	circle.bmp
29.7958181818	n/a	32775.4	show_cross	n/a	n/a	n/a	3	1	cross.bmp
30.3530909091	n/a	33388.4	show_face	unfamiliar_face	first_show	n/a	3	13	u088.bmp
31.184	n/a	34302.4	show_circle	n/a	n/a	n/a	3	0	circle.bmp
32.884	n/a	36172.4	show_cross	n/a	n/a	n/a	4	1	cross.bmp
33.3603636364	n/a	36696.4	show_face	unfamiliar_face	first_show	n/a	4	13	u084.bmp
34.364	n/a	37800.4	show_circle	n/a	n/a	n/a	4	0	circle.bmp
36.064	n/a	39670.4	show_cross	n/a	n/a	n/a	5	1	cross.bmp
36.5521818182	n/a	40207.4	show_face	famous_face	first_show	n/a	5	5	f123.bmp
37.3121818182	n/a	41043.4	right_press	n/a	n/a	n/a	5	4096	n/a
37.3785454545	n/a	41116.4	show_circle	n/a	n/a	n/a	5	0	circle.bmp
39.0785454545	n/a	42986.4	show_cross	n/a	n/a	n/a	6	1	cross.bmp
39.5749090909	n/a	43532.4	show_face	unfamiliar_face	first_show	n/a	6	13	u022.bmp
40.5776363636	n/a	44635.4	show_circle	n/a	n/a	n/a	6	0	circle.bmp
42.2776363636	n/a	46505.4	show_cross	n/a	n/a	n/a	7	1	cross.bmp
42.7985454545	n/a	47078.4	show_face	famous_face	first_show	n/a	7	5	f094.bmp
43.5449090909	n/a	47899.4	right_press	n/a	n/a	n/a	7	4096	n/a
43.7158181818	n/a	48087.4	show_circle	n/a	n/a	n/a	7	0	circle.bmp
45.4158181818	n/a	49957.4	show_cross	n/a	n/a	n/a	8	1	cross.bmp
46.0394545455	n/a	50643.4	show_face	scrambled_face	first_show	n/a	8	17	s150.bmp
46.9467272727	n/a	51641.4	show_circle	n/a	n/a	n/a	8	0	circle.bmp
48.6467272727	n/a	53511.4	show_cross	n/a	n/a	n/a	9	1	cross.bmp
49.1303636364	n/a	54043.4	show_face	unfamiliar_face	delayed_repeat	6	9	15	u088.bmp
50.1312727273	n/a	55144.4	show_circle	n/a	n/a	n/a	9	0	circle.bmp
51.8312727273	n/a	57014.4	show_cross	n/a	n/a	n/a	10	1	cross.bmp
52.3876363636	n/a	57626.4	show_face	famous_face	first_show	n/a	10	5	f063.bmp
53.0967272727	n/a	58406.4	right_press	n/a	n/a	n/a	10	4096	n/a
53.2576363636	n/a	58583.4	show_circle	n/a	n/a	n/a	10	0	circle.bmp
54.9576363636	n/a	60453.4	show_cross	n/a	n/a	n/a	11	1	cross.bmp
55.5449090909	n/a	61099.4	show_face	unfamiliar_face	delayed_repeat	7	11	15	u084.bmp
56.5549090909	n/a	62210.4	show_circle	n/a	n/a	n/a	11	0	circle.bmp
58.2549090909	n/a	64080.4	show_cross	n/a	n/a	n/a	12	1	cross.bmp
58.8021818182	n/a	64682.4	show_face	unfamiliar_face	first_show	n/a	12	13	u004.bmp
59.5367272727	n/a	65490.4	left_press	n/a	n/a	n/a	12	256	n/a
59.7230909091	n/a	65695.4	show_circle	n/a	n/a	n/a	12	0	circle.bmp
61.4230909091	n/a	67565.4	show_cross	n/a	n/a	n/a	13	1	cross.bmp
61.9094545455	n/a	68100.4	show_face	unfamiliar_face	immediate_repeat	1	13	14	u004.bmp
62.8467272727	n/a	69131.4	left_press	n/a	n/a	n/a	13	256	n/a
62.8894545455	n/a	69178.4	show_circle	n/a	n/a	n/a	13	0	circle.bmp
64.5894545455	n/a	71048.4	show_cross	n/a	n/a	n/a	14	1	cross.bmp
65.1003636364	n/a	71610.4	show_face	famous_face	delayed_repeat	9	14	7	f123.bmp
65.7949090909	n/a	72374.4	right_press	n/a	n/a	n/a	14	4096	n/a
66.1003636364	n/a	72710.4	show_circle	n/a	n/a	n/a	14	0	circle.bmp
67.8003636364	n/a	74580.4	show_cross	n/a	n/a	n/a	15	1	cross.bmp
68.4249090909	n/a	75267.4	show_face	famous_face	first_show	n/a	15	5	f006.bmp
69.3430909091	n/a	76277.4	right_press	n/a	n/a	n/a	15	4096	n/a
69.3585454545	n/a	76294.4	show_circle	n/a	n/a	n/a	15	0	circle.bmp
71.0585454545	n/a	78164.4	show_cross	n/a	n/a	n/a	16	1	cross.bmp
71.5985454545	n/a	78758.4	show_face	unfamiliar_face	delayed_repeat	10	16	15	u022.bmp
72.3258181818	n/a	79558.4	right_press	n/a	n/a	n/a	16	4096	n/a
72.5576363636	n/a	79813.4	show_circle	n/a	n/a	n/a	16	0	circle.bmp
74.2576363636	n/a	81683.4	show_cross	n/a	n/a	n/a	17	1	cross.bmp
74.7558181818	n/a	82231.4	show_face	scrambled_face	first_show	n/a	17	17	s043.bmp
75.6949090909	n/a	83264.4	left_press	n/a	n/a	n/a	17	256	n/a
75.7294545455	n/a	83302.4	show_circle	n/a	n/a	n/a	17	0	circle.bmp
77.4294545455	n/a	85172.4	show_cross	n/a	n/a	n/a	18	1	cross.bmp
78.0630909091	n/a	85869.4	show_face	scrambled_face	immediate_repeat	1	18	18	s043.bmp
78.8067272727	n/a	86687.4	left_press	n/a	n/a	n/a	18	256	n/a
78.9394545455	n/a	86833.4	show_circle	n/a	n/a	n/a	18	0	circle.bmp
80.6394545455	n/a	88703.4	show_cross	n/a	n/a	n/a	19	1	cross.bmp
81.1876363636	n/a	89306.4	show_face	famous_face	delayed_repeat	12	19	7	f094.bmp
81.8376363636	n/a	90021.4	right_press	n/a	n/a	n/a	19	4096	n/a
82.1330909091	n/a	90346.4	show_circle	n/a	n/a	n/a	19	0	circle.bmp
83.8330909091	n/a	92216.4	show_cross	n/a	n/a	n/a	20	1	cross.bmp
84.4949090909	n/a	92944.4	show_face	scrambled_face	first_show	n/a	20	17	s083.bmp
85.4267272727	n/a	93969.4	show_circle	n/a	n/a	n/a	20	0	circle.bmp
85.6149090909	n/a	94176.4	left_press	n/a	n/a	n/a	20	256	n/a
87.1267272727	n/a	95839.4	show_cross	n/a	n/a	n/a	21	1	cross.bmp
87.7521818182	n/a	96527.4	show_face	scrambled_face	immediate_repeat	1	21	18	s083.bmp
88.6212727273	n/a	97483.4	show_circle	n/a	n/a	n/a	21	0	circle.bmp
90.3212727273	n/a	99353.4	show_cross	n/a	n/a	n/a	22	1	cross.bmp
90.8930909091	n/a	99982.4	show_face	scrambled_face	delayed_repeat	14	22	19	s150.bmp
91.7203636364	n/a	100892.4	show_circle	n/a	n/a	n/a	22	0	circle.bmp
93.4203636364	n/a	102762.4	show_cross	n/a	n/a	n/a	23	1	cross.bmp
93.8830909091	n/a	103271.4	show_face	famous_face	first_show	n/a	23	5	f093.bmp
94.7730909091	n/a	104250.4	show_circle	n/a	n/a	n/a	23	0	circle.bmp
94.8067272727	n/a	104287.4	left_press	n/a	n/a	n/a	23	256	n/a
96.4730909091	n/a	106120.4	show_cross	n/a	n/a	n/a	24	1	cross.bmp
97.074	n/a	106781.4	show_face	famous_face	delayed_repeat	14	24	7	f063.bmp
97.664	n/a	107430.4	right_press	n/a	n/a	n/a	24	4096	n/a
97.9349090909	n/a	107728.4	show_circle	n/a	n/a	n/a	24	0	circle.bmp
99.6349090909	n/a	109598.4	show_cross	n/a	n/a	n/a	25	1	cross.bmp
100.214	n/a	110235.4	show_face	famous_face	first_show	n/a	25	5	f143.bmp
100.9367272727	n/a	111030.4	right_press	n/a	n/a	n/a	25	4096	n/a
101.2158181818	n/a	111337.4	show_circle	n/a	n/a	n/a	25	0	circle.bmp
102.9158181818	n/a	113207.4	show_cross	n/a	n/a	n/a	26	1	cross.bmp
103.4549090909	n/a	113800.4	show_face	famous_face	immediate_repeat	1	26	6	f143.bmp
