onset	duration	sample	event_type	face_type	rep_status	rep_lag	trial	value	stim_file
0.0009090909090909	n/a	1.0	setup_left_sym	n/a	n/a	n/a	n/a	101	n/a
22.9067272727	n/a	25197.4	show_face_initial	unfamiliar_face	first_show	n/a	1	3	u010.bmp
23.5430909091	n/a	25897.4	right_press	n/a	n/a	n/a	1	4096	n/a
23.884	n/a	26272.4	show_circle	n/a	n/a	n/a	1	0	circle.bmp
25.584	n/a	28142.4	show_cross	n/a	n/a	n/a	2	1	cross.bmp
26.1630909091	n/a	28779.4	show_face	unfamiliar_face	immediate_repeat	1	2	14	u010.bmp
26.9667272727	n/a	29663.4	right_press	n/a	n/a	n/a	2	4096	n/a
27.0749090909	n/a	29782.4	show_circle	n/a	n/a	n/a	2	0	circle.bmp
28.7749090909	n/a	31652.4	show_cross	n/a	n/a	n/a	3	1	cross.bmp
29.354	n/a	32289.4	show_face	scrambled_face	first_show	n/a	3	17	s148.bmp
29.9449090909	n/a	32939.4	left_press	n/a	n/a	n/a	3	256	n/a
30.3394545455	n/a	33373.4	show_circle	n/a	n/a	n/a	3	0	circle.bmp
32.0394545455	n/a	35243.4	show_cross	n/a	n/a	n/a	4	1	cross.bmp
32.5449090909	n/a	35799.4	show_face	famous_face	first_show	n/a	4	5	f121.bmp
33.2412727273	n/a	36565.4	left_press	n/a	n/a	n/a	4	256	n/a
33.3876363636	n/a	36726.4	show_circle	n/a	n/a	n/a	4	0	circle.bmp
35.0876363636	n/a	38596.4	show_cross	n/a	n/a	n/a	5	1	cross.bmp
35.5849090909	n/a	39143.4	show_face	scrambled_face	first_show	n/a	5	17	s019.bmp
36.294	n/a	39923.4	left_press	n/a	n/a	n/a	5	256	n/a
36.5849090909	n/a	40243.4	show_circle	n/a	n/a	n/a	5	0	circle.bmp
38.2849090909	n/a	42113.4	show_cross	n/a	n/a	n/a	6	1	cross.bmp
38.7921818182	n/a	42671.4	show_face	scrambled_face	immediate_repeat	1	6	18	s019.bmp
39.2576363636	n/a	43183.4	left_press	n/a	n/a	n/a	6	256	n/a
39.6412727273	n/a	43605.4	show_circle	n/a	n/a	n/a	6	0	circle.bmp
41.3412727273	n/a	45475.4	show_cross	n/a	n/a	n/a	7	1	cross.bmp
41.8494545455	n/a	46034.4	show_face	unfamiliar_face	first_show	n/a	7	13	u147.bmp
42.4703636364	n/a	46717.4	left_press	n/a	n/a	n/a	7	256	n/a
42.8449090909	n/a	47129.4	show_circle	n/a	n/a	n/a	7	0	circle.bmp
44.5449090909	n/a	48999.4	show_cross	n/a	n/a	n/a	8	1	cross.bmp
45.1230909091	n/a	49635.4	show_face	unfamiliar_face	immediate_repeat	1	8	14	u147.bmp
45.5376363636	n/a	50091.4	left_press	n/a	n/a	n/a	8	256	n/a
46.0049090909	n/a	50605.4	show_circle	n/a	n/a	n/a	8	0	circle.bmp
47.7049090909	n/a	52475.4	show_cross	n/a	n/a	n/a	9	1	cross.bmp
48.164	n/a	52980.4	show_face	famous_face	first_show	n/a	9	5	f076.bmp
48.9885454545	n/a	53887.4	right_press	n/a	n/a	n/a	9	4096	n/a
49.004	n/a	53904.4	show_circle	n/a	n/a	n/a	9	0	circle.bmp
50.704	n/a	55774.4	show_cross	n/a	n/a	n/a	10	1	cross.bmp
51.2712727273	n/a	56398.4	show_face	scrambled_face	first_show	n/a	10	17	s143.bmp
51.9212727273	n/a	57113.4	right_press	n/a	n/a	n/a	10	4096	n/a
52.0994545455	n/a	57309.4	show_circle	n/a	n/a	n/a	10	0	circle.bmp
53.7994545455	n/a	59179.4	show_cross	n/a	n/a	n/a	11	1	cross.bmp
54.4285454545	n/a	59871.4	show_face	scrambled_face	delayed_repeat	8	11	19	s148.bmp
55.0103636364	n/a	60511.4	right_press	n/a	n/a	n/a	11	4096	n/a
55.4294545455	n/a	60972.4	show_circle	n/a	n/a	n/a	11	0	circle.bmp
57.1294545455	n/a	62842.4	show_cross	n/a	n/a	n/a	12	1	cross.bmp
57.6021818182	n/a	63362.4	show_face	famous_face	first_show	n/a	12	5	f010.bmp
58.2385454545	n/a	64062.4	right_press	n/a	n/a	n/a	12	4096	n/a
58.5685454545	n/a	64425.4	show_circle	n/a	n/a	n/a	12	0	circle.bmp
60.2685454545	n/a	66295.4	show_cross	n/a	n/a	n/a	13	1	cross.bmp
60.8594545455	n/a	66945.4	show_face	famous_face	immediate_repeat	1	13	6	f010.bmp
61.3730909091	n/a	67510.4	right_press	n/a	n/a	n/a	13	4096	n/a
61.7721818182	n/a	67949.4	show_circle	n/a	n/a	n/a	13	0	circle.bmp
63.4721818182	n/a	69819.4	show_cross	n/a	n/a	n/a	14	1	cross.bmp
64.0849090909	n/a	70493.4	show_face	famous_face	delayed_repeat	10	14	7	f121.bmp
