onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	right_sym	n/a	n/a	n/a	n/a
23.7480000000	n/a	5937	show_face	unfamiliar_face	first_show	13	u085.bmp
24.5934545455	n/a	6148.3636	show_circle	n/a	n/a	0	circle.bmp
24.6916363636	n/a	6172.9091	right_press	n/a	n/a	4096	n/a
26.2934545455	n/a	6573.3636	show_cross	n/a	n/a	n/a	cross.bmp
26.8880000000	n/a	6722	show_face	unfamiliar_face	first_show	13	u064.bmp
27.5625454545	n/a	6890.6364	right_press	n/a	n/a	4096	n/a
27.8907272727	n/a	6972.6818	show_circle	n/a	n/a	0	circle.bmp
29.5907272727	n/a	7397.6818	show_cross	n/a	n/a	n/a	cross.bmp
30.0625454545	n/a	7515.6364	show_face	unfamiliar_face	immediate_repeat	14	u064.bmp
30.5316363636	n/a	7632.9091	right_press	n/a	n/a	4096	n/a
30.9889090909	n/a	7747.2273	show_circle	n/a	n/a	0	circle.bmp
32.6889090909	n/a	8172.2273	show_cross	n/a	n/a	n/a	cross.bmp
33.1861818182	n/a	8296.5455	show_face	scrambled_face	first_show	17	s107.bmp
34.0416363636	n/a	8510.4091	right_press	n/a	n/a	4096	n/a
34.0561818182	n/a	8514.0455	show_circle	n/a	n/a	0	circle.bmp
35.7561818182	n/a	8939.0455	show_cross	n/a	n/a	n/a	cross.bmp
36.3434545455	n/a	9085.8636	show_face	famous_face	first_show	5	f099.bmp
37.2289090909	n/a	9307.2273	show_circle	n/a	n/a	0	circle.bmp
37.4416363636	n/a	9360.4091	right_press	n/a	n/a	4096	n/a
38.9289090909	n/a	9732.2273	show_cross	n/a	n/a	n/a	cross.bmp
39.5343636364	n/a	9883.5909	show_face	scrambled_face	first_show	17	s139.bmp
40.4634545455	n/a	10115.8636	left_press	n/a	n/a	256	n/a
40.4661818182	n/a	10116.5455	show_circle	n/a	n/a	0	circle.bmp
