onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	right_sym	n/a	n/a	n/a	n/a
24.0634545455	n/a	6015.8636	show_face	scrambled_face	first_show	17	s085.bmp
24.6761818182	n/a	6169.0455	right_press	n/a	n/a	4096	n/a
25.0780000000	n/a	6269.5	show_circle	n/a	n/a	0	circle.bmp
26.7780000000	n/a	6694.5	show_cross	n/a	n/a	n/a	cross.bmp
27.3034545455	n/a	6825.8636	show_face	scrambled_face	immediate_repeat	18	s085.bmp
27.9934545455	n/a	6998.3636	right_press	n/a	n/a	4096	n/a
28.2880000000	n/a	7072	show_circle	n/a	n/a	0	circle.bmp
29.9880000000	n/a	7497	show_cross	n/a	n/a	n/a	cross.bmp
30.4607272727	n/a	7615.1818	show_face	famous_face	first_show	5	f072.bmp
31.1898181818	n/a	7797.4545	right_press	n/a	n/a	4096	n/a
31.2816363636	n/a	7820.4091	show_circle	n/a	n/a	0	circle.bmp
32.9816363636	n/a	8245.4091	show_cross	n/a	n/a	n/a	cross.bmp
33.5170909091	n/a	8379.2727	show_face	famous_face	immediate_repeat	6	f072.bmp
33.9307272727	n/a	8482.6818	right_press	n/a	n/a	4096	n/a
34.3961818182	n/a	8599.0455	show_circle	n/a	n/a	0	circle.bmp
36.0961818182	n/a	9024.0455	show_cross	n/a	n/a	n/a	cross.bmp
36.6416363636	n/a	9160.4091	show_face	scrambled_face	first_show	17	s031.bmp
37.1089090909	n/a	9277.2273	left_press	n/a	n/a	256	n/a
37.4843636364	n/a	9371.0909	show_circle	n/a	n/a	0	circle.bmp
39.1843636364	n/a	9796.0909	show_cross	n/a	n/a	n/a	cross.bmp
39.8316363636	n/a	9957.9091	show_face	scrambled_face	immediate_repeat	18	s031.bmp
40.3207272727	n/a	10080.1818	left_press	n/a	n/a	256	n/a
40.7561818182	n/a	10189.0455	show_circle	n/a	n/a	0	circle.bmp
