onset	duration	sample	event_type	face_type	rep_status	rep_lag	trial	value	stim_file
0.0009090909090909	n/a	1.0	setup_left_sym	n/a	n/a	n/a	n/a	101	n/a
22.6630909091	n/a	24929.4	show_face_initial	unfamiliar_face	first_show	n/a	1	3	u046.bmp
23.3576363636	n/a	25693.4	right_press	n/a	n/a	n/a	1	4096	n/a
23.5012727273	n/a	25851.4	show_circle	n/a	n/a	n/a	1	0	circle.bmp
25.2012727273	n/a	27721.4	show_cross	n/a	n/a	n/a	2	1	cross.bmp
25.7194545455	n/a	28291.4	show_face	unfamiliar_face	immediate_repeat	1	2	14	u046.bmp
26.2485454545	n/a	28873.4	right_press	n/a	n/a	n/a	2	4096	n/a
26.6303636364	n/a	29293.4	show_circle	n/a	n/a	n/a	2	0	circle.bmp
28.3303636364	n/a	31163.4	show_cross	n/a	n/a	n/a	3	1	cross.bmp
28.9603636364	n/a	31856.4	show_face	unfamiliar_face	first_show	n/a	3	13	u022.bmp
29.7858181818	n/a	32764.4	right_press	n/a	n/a	n/a	3	4096	n/a
29.9476363636	n/a	32942.4	show_circle	n/a	n/a	n/a	3	0	circle.bmp
31.6476363636	n/a	34812.4	show_cross	n/a	n/a	n/a	4	1	cross.bmp
32.2685454545	n/a	35495.4	show_face	famous_face	first_show	n/a	4	5	f133.bmp
32.9776363636	n/a	36275.4	left_press	n/a	n/a	n/a	4	256	n/a
33.2312727273	n/a	36554.4	show_circle	n/a	n/a	n/a	4	0	circle.bmp
34.9312727273	n/a	38424.4	show_cross	n/a	n/a	n/a	5	1	cross.bmp
35.5594545455	n/a	39115.4	show_face	famous_face	immediate_repeat	1	5	6	f133.bmp
36.1512727273	n/a	39766.4	left_press	n/a	n/a	n/a	5	256	n/a
36.3876363636	n/a	40026.4	show_circle	n/a	n/a	n/a	5	0	circle.bmp
38.0876363636	n/a	41896.4	show_cross	n/a	n/a	n/a	6	1	cross.bmp
38.5658181818	n/a	42422.4	show_face	famous_face	first_show	n/a	6	5	f035.bmp
39.274	n/a	43201.4	right_press	n/a	n/a	n/a	6	4096	n/a
39.4330909091	n/a	43376.4	show_circle	n/a	n/a	n/a	6	0	circle.bmp
41.1330909091	n/a	45246.4	show_cross	n/a	n/a	n/a	7	1	cross.bmp
41.7067272727	n/a	45877.4	show_face	unfamiliar_face	first_show	n/a	7	13	u150.bmp
42.4285454545	n/a	46671.4	right_press	n/a	n/a	n/a	7	4096	n/a
42.6767272727	n/a	46944.4	show_circle	n/a	n/a	n/a	7	0	circle.bmp
44.3767272727	n/a	48814.4	show_cross	n/a	n/a	n/a	8	1	cross.bmp
44.8303636364	n/a	49313.4	show_face	famous_face	first_show	n/a	8	5	f072.bmp
45.7285454545	n/a	50301.4	right_press	n/a	n/a	n/a	8	4096	n/a
45.7912727273	n/a	50370.4	show_circle	n/a	n/a	n/a	8	0	circle.bmp
47.4912727273	n/a	52240.4	show_cross	n/a	n/a	n/a	9	1	cross.bmp
48.1212727273	n/a	52933.4	show_face	scrambled_face	first_show	n/a	9	17	s058.bmp
48.934	n/a	53827.4	right_press	n/a	n/a	n/a	9	4096	n/a
49.1003636364	n/a	54010.4	show_circle	n/a	n/a	n/a	9	0	circle.bmp
50.8003636364	n/a	55880.4	show_cross	n/a	n/a	n/a	10	1	cross.bmp
51.2785454545	n/a	56406.4	show_face	unfamiliar_face	delayed_repeat	7	10	15	u022.bmp
51.9749090909	n/a	57172.4	right_press	n/a	n/a	n/a	10	4096	n/a
52.2112727273	n/a	57432.4	show_circle	n/a	n/a	n/a	10	0	circle.bmp
53.9112727273	n/a	59302.4	show_cross	n/a	n/a	n/a	11	1	cross.bmp
54.5030909091	n/a	59953.4	show_face	scrambled_face	first_show	n/a	11	17	s055.bmp
55.2276363636	n/a	60750.4	right_press	n/a	n/a	n/a	11	4096	n/a
55.4494545455	n/a	60994.4	show_circle	n/a	n/a	n/a	11	0	circle.bmp
57.1494545455	n/a	62864.4	show_cross	n/a	n/a	n/a	12	1	cross.bmp
57.794	n/a	63573.4	show_face	famous_face	first_show	n/a	12	5	f105.bmp
58.7794545455	n/a	64657.4	show_circle	n/a	n/a	n/a	12	0	circle.bmp
58.7867272727	n/a	64665.4	left_press	n/a	n/a	n/a	12	256	n/a
60.4794545455	n/a	66527.4	show_cross	n/a	n/a	n/a	13	1	cross.bmp
61.0349090909	n/a	67138.4	show_face	famous_face	immediate_repeat	1	13	6	f105.bmp
61.6785454545	n/a	67846.4	left_press	n/a	n/a	n/a	13	256	n/a
62.0176363636	n/a	68219.4	show_circle	n/a	n/a	n/a	13	0	circle.bmp
63.7176363636	n/a	70089.4	show_cross	n/a	n/a	n/a	14	1	cross.bmp
64.2421818182	n/a	70666.4	show_face	famous_face	delayed_repeat	8	14	7	f035.bmp
64.924	n/a	71416.4	right_press	n/a	n/a	n/a	14	4096	n/a
65.1558181818	n/a	71671.4	show_circle	n/a	n/a	n/a	14	0	circle.bmp
66.8558181818	n/a	73541.4	show_cross	n/a	n/a	n/a	15	1	cross.bmp
67.3494545455	n/a	74084.4	show_face	scrambled_face	first_show	n/a	15	17	s040.bmp
68.1621818182	n/a	74978.4	left_press	n/a	n/a	n/a	15	256	n/a
68.2612727273	n/a	75087.4	show_circle	n/a	n/a	n/a	15	0	circle.bmp
69.9612727273	n/a	76957.4	show_cross	n/a	n/a	n/a	16	1	cross.bmp
70.6067272727	n/a	77667.4	show_face	unfamiliar_face	delayed_repeat	9	16	15	u150.bmp
71.5394545455	n/a	78693.4	show_circle	n/a	n/a	n/a	16	0	circle.bmp
71.654	n/a	78819.4	right_press	n/a	n/a	n/a	16	4096	n/a
73.2394545455	n/a	80563.4	show_cross	n/a	n/a	n/a	17	1	cross.bmp
73.864	n/a	81250.4	show_face	unfamiliar_face	first_show	n/a	17	13	u059.bmp
74.7512727273	n/a	82226.4	show_circle	n/a	n/a	n/a	17	0	circle.bmp
74.7758181818	n/a	82253.4	left_press	n/a	n/a	n/a	17	256	n/a
76.4512727273	n/a	84096.4	show_cross	n/a	n/a	n/a	18	1	cross.bmp
76.9376363636	n/a	84631.4	show_face	unfamiliar_face	immediate_repeat	1	18	14	u059.bmp
77.7303636364	n/a	85503.4	left_press	n/a	n/a	n/a	18	256	n/a
77.8567272727	n/a	85642.4	show_circle	n/a	n/a	n/a	18	0	circle.bmp
79.5567272727	n/a	87512.4	show_cross	n/a	n/a	n/a	19	1	cross.bmp
80.0449090909	n/a	88049.4	show_face	famous_face	delayed_repeat	11	19	7	f072.bmp
80.9458181818	n/a	89040.4	show_circle	n/a	n/a	n/a	19	0	circle.bmp
82.6458181818	n/a	90910.4	show_cross	n/a	n/a	n/a	20	1	cross.bmp
82.7385454545	n/a	91012.4	right_press	n/a	n/a	n/a	20	4096	n/a
83.1521818182	n/a	91467.4	show_face	scrambled_face	first_show	n/a	20	17	s051.bmp
83.9749090909	n/a	92372.4	show_circle	n/a	n/a	n/a	20	0	circle.bmp
84.1476363636	n/a	92562.4	right_press	n/a	n/a	n/a	20	4096	n/a
85.6749090909	n/a	94242.4	show_cross	n/a	n/a	n/a	21	1	cross.bmp
86.1758181818	n/a	94793.4	show_face	scrambled_face	immediate_repeat	1	21	18	s051.bmp
87.0985454545	n/a	95808.4	show_circle	n/a	n/a	n/a	21	0	circle.bmp
87.1003636364	n/a	95810.4	right_press	n/a	n/a	n/a	21	4096	n/a
88.7985454545	n/a	97678.4	show_cross	n/a	n/a	n/a	22	1	cross.bmp
89.3167272727	n/a	98248.4	show_face	scrambled_face	delayed_repeat	13	22	19	s058.bmp
90.0485454545	n/a	99053.4	right_press	n/a	n/a	n/a	22	4096	n/a
90.2394545455	n/a	99263.4	show_circle	n/a	n/a	n/a	22	0	circle.bmp
91.9394545455	n/a	101133.4	show_cross	n/a	n/a	n/a	23	1	cross.bmp
92.474	n/a	101721.4	show_face	scrambled_face	first_show	n/a	23	17	s064.bmp
93.4403636364	n/a	102784.4	show_circle	n/a	n/a	n/a	23	0	circle.bmp
93.7694545455	n/a	103146.4	right_press	n/a	n/a	n/a	23	4096	n/a
95.1403636364	n/a	104654.4	show_cross	n/a	n/a	n/a	24	1	cross.bmp
95.6476363636	n/a	105212.4	show_face	scrambled_face	delayed_repeat	13	24	19	s055.bmp
96.5749090909	n/a	106232.4	show_circle	n/a	n/a	n/a	24	0	circle.bmp
96.6876363636	n/a	106356.4	right_press	n/a	n/a	n/a	24	4096	n/a
98.2749090909	n/a	108102.4	show_cross	n/a	n/a	n/a	25	1	cross.bmp
98.8049090909	n/a	108685.4	show_face	famous_face	first_show	n/a	25	5	f038.bmp
99.7803636364	n/a	109758.4	show_circle	n/a	n/a	n/a	25	0	circle.bmp
100.5312727273	n/a	110584.4	left_press	n/a	n/a	n/a	25	256	n/a
101.4803636364	n/a	111628.4	show_cross	n/a	n/a	n/a	26	1	cross.bmp
102.1294545455	n/a	112342.4	show_face	scrambled_face	first_show	n/a	26	17	s118.bmp
102.9785454545	n/a	113276.4	right_press	n/a	n/a	n/a	26	4096	n/a
103.094	n/a	113403.4	show_circle	n/a	n/a	n/a	26	0	circle.bmp
104.794	n/a	115273.4	show_cross	n/a	n/a	n/a	27	1	cross.bmp
105.254	n/a	115779.4	show_face	scrambled_face	immediate_repeat	1	27	18	s118.bmp
105.9121818182	n/a	116503.4	right_press	n/a	n/a	n/a	27	4096	n/a
106.2430909091	n/a	116867.4	show_circle	n/a	n/a	n/a	27	0	circle.bmp
107.9430909091	n/a	118737.4	show_cross	n/a	n/a	n/a	28	1	cross.bmp
108.4603636364	n/a	119306.4	show_face	scrambled_face	delayed_repeat	13	28	19	s040.bmp
109.1221818182	n/a	120034.4	right_press	n/a	n/a	n/a	28	4096	n/a
109.2812727273	n/a	120209.4	show_circle	n/a	n/a	n/a	28	0	circle.bmp
110.9812727273	n/a	122079.4	show_cross	n/a	n/a	n/a	29	1	cross.bmp
111.6349090909	n/a	122798.4	show_face	unfamiliar_face	first_show	n/a	29	13	u037.bmp
112.5412727273	n/a	123795.4	show_circle	n/a	n/a	n/a	29	0	circle.bmp
112.7203636364	n/a	123992.4	left_press	n/a	n/a	n/a	29	256	n/a
114.2412727273	n/a	125665.4	show_cross	n/a	n/a	n/a	30	1	cross.bmp
114.7749090909	n/a	126252.4	show_face	unfamiliar_face	immediate_repeat	1	30	14	u037.bmp
115.5985454545	n/a	127158.4	left_press	n/a	n/a	n/a	30	256	n/a
115.6685454545	n/a	127235.4	show_circle	n/a	n/a	n/a	30	0	circle.bmp
117.3685454545	n/a	129105.4	show_cross	n/a	n/a	n/a	31	1	cross.bmp
118.0330909091	n/a	129836.4	show_face	famous_face	first_show	n/a	31	5	f067.bmp
118.8867272727	n/a	130775.4	show_circle	n/a	n/a	n/a	31	0	circle.bmp
119.0276363636	n/a	130930.4	right_press	n/a	n/a	n/a	31	4096	n/a
120.5867272727	n/a	132645.4	show_cross	n/a	n/a	n/a	32	1	cross.bmp
121.1567272727	n/a	133272.4	show_face	unfamiliar_face	first_show	n/a	32	13	u119.bmp
122.1276363636	n/a	134340.4	right_press	n/a	n/a	n/a	32	4096	n/a
122.1449090909	n/a	134359.4	show_circle	n/a	n/a	n/a	32	0	circle.bmp
123.8449090909	n/a	136229.4	show_cross	n/a	n/a	n/a	33	1	cross.bmp
124.414	n/a	136855.4	show_face	unfamiliar_face	immediate_repeat	1	33	14	u119.bmp
124.9930909091	n/a	137492.4	right_press	n/a	n/a	n/a	33	4096	n/a
125.2758181818	n/a	137803.4	show_circle	n/a	n/a	n/a	33	0	circle.bmp
126.9758181818	n/a	139673.4	show_cross	n/a	n/a	n/a	34	1	cross.bmp
127.3549090909	n/a	140090.4	right_press	n/a	n/a	n/a	34	4096	n/a
127.4376363636	n/a	140181.4	show_face	scrambled_face	delayed_repeat	11	34	19	s064.bmp
128.3858181818	n/a	141224.4	show_circle	n/a	n/a	n/a	34	0	circle.bmp
129.5830909091	n/a	142541.4	right_press	n/a	n/a	n/a	34	4096	n/a
130.0858181818	n/a	143094.4	show_cross	n/a	n/a	n/a	35	1	cross.bmp
130.6121818182	n/a	143673.4	show_face	unfamiliar_face	first_show	n/a	35	13	u073.bmp
131.584	n/a	144742.4	show_circle	n/a	n/a	n/a	35	0	circle.bmp
132.2130909091	n/a	145434.4	right_press	n/a	n/a	n/a	35	4096	n/a
133.284	n/a	146612.4	show_cross	n/a	n/a	n/a	36	1	cross.bmp
133.8358181818	n/a	147219.4	show_face	famous_face	delayed_repeat	11	36	7	f038.bmp
134.6221818182	n/a	148084.4	right_press	n/a	n/a	n/a	36	4096	n/a
134.7430909091	n/a	148217.4	show_circle	n/a	n/a	n/a	36	0	circle.bmp
136.4430909091	n/a	150087.4	show_cross	n/a	n/a	n/a	37	1	cross.bmp
136.9930909091	n/a	150692.4	show_face	famous_face	first_show	n/a	37	5	f122.bmp
137.8403636364	n/a	151624.4	show_circle	n/a	n/a	n/a	37	0	circle.bmp
137.8858181818	n/a	151674.4	left_press	n/a	n/a	n/a	37	256	n/a
139.5403636364	n/a	153494.4	show_cross	n/a	n/a	n/a	38	1	cross.bmp
140.1667272727	n/a	154183.4	show_face	famous_face	immediate_repeat	1	38	6	f122.bmp
140.8621818182	n/a	154948.4	left_press	n/a	n/a	n/a	38	256	n/a
141.0085454545	n/a	155109.4	show_circle	n/a	n/a	n/a	38	0	circle.bmp
142.7085454545	n/a	156979.4	show_cross	n/a	n/a	n/a	39	1	cross.bmp
143.224	n/a	157546.4	show_face	scrambled_face	first_show	n/a	39	17	s023.bmp
143.9394545455	n/a	158333.4	right_press	n/a	n/a	n/a	39	4096	n/a
144.1085454545	n/a	158519.4	show_circle	n/a	n/a	n/a	39	0	circle.bmp
145.8085454545	n/a	160389.4	show_cross	n/a	n/a	n/a	40	1	cross.bmp
146.4485454545	n/a	161093.4	show_face	scrambled_face	immediate_repeat	1	40	18	s023.bmp
147.0912727273	n/a	161800.4	right_press	n/a	n/a	n/a	40	4096	n/a
147.364	n/a	162100.4	show_circle	n/a	n/a	n/a	40	0	circle.bmp
149.064	n/a	163970.4	show_cross	n/a	n/a	n/a	41	1	cross.bmp
149.6385454545	n/a	164602.4	show_face	scrambled_face	first_show	n/a	41	17	s132.bmp
150.4121818182	n/a	165453.4	right_press	n/a	n/a	n/a	41	4096	n/a
150.5276363636	n/a	165580.4	show_circle	n/a	n/a	n/a	41	0	circle.bmp
152.2276363636	n/a	167450.4	show_cross	n/a	n/a	n/a	42	1	cross.bmp
152.7794545455	n/a	168057.4	show_face	scrambled_face	immediate_repeat	1	42	18	s132.bmp
153.3358181818	n/a	168669.4	right_press	n/a	n/a	n/a	42	4096	n/a
153.6894545455	n/a	169058.4	show_circle	n/a	n/a	n/a	42	0	circle.bmp
155.3894545455	n/a	170928.4	show_cross	n/a	n/a	n/a	43	1	cross.bmp
155.9030909091	n/a	171493.4	show_face	famous_face	delayed_repeat	12	43	7	f067.bmp
156.7112727273	n/a	172382.4	left_press	n/a	n/a	n/a	43	256	n/a
156.854	n/a	172539.4	show_circle	n/a	n/a	n/a	43	0	circle.bmp
158.554	n/a	174409.4	show_cross	n/a	n/a	n/a	44	1	cross.bmp
159.094	n/a	175003.4	show_face	famous_face	first_show	n/a	44	5	f107.bmp
159.9130909091	n/a	175904.4	show_circle	n/a	n/a	n/a	44	0	circle.bmp
160.1230909091	n/a	176135.4	right_press	n/a	n/a	n/a	44	4096	n/a
161.6130909091	n/a	177774.4	show_cross	n/a	n/a	n/a	45	1	cross.bmp
162.1676363636	n/a	178384.4	show_face	famous_face	immediate_repeat	1	45	6	f107.bmp
162.9812727273	n/a	179279.4	right_press	n/a	n/a	n/a	45	4096	n/a
163.1303636364	n/a	179443.4	show_circle	n/a	n/a	n/a	45	0	circle.bmp
164.8303636364	n/a	181313.4	show_cross	n/a	n/a	n/a	46	1	cross.bmp
165.3930909091	n/a	181932.4	show_face	famous_face	first_show	n/a	46	5	f120.bmp
166.1830909091	n/a	182801.4	left_press	n/a	n/a	n/a	46	256	n/a
166.2876363636	n/a	182916.4	show_circle	n/a	n/a	n/a	46	0	circle.bmp
167.9876363636	n/a	184786.4	show_cross	n/a	n/a	n/a	47	1	cross.bmp
168.4658181818	n/a	185312.4	show_face	unfamiliar_face	delayed_repeat	12	47	15	u073.bmp
169.3685454545	n/a	186305.4	show_circle	n/a	n/a	n/a	47	0	circle.bmp
169.5558181818	n/a	186511.4	right_press	n/a	n/a	n/a	47	4096	n/a
171.0685454545	n/a	188175.4	show_cross	n/a	n/a	n/a	48	1	cross.bmp
171.7067272727	n/a	188877.4	show_face	unfamiliar_face	first_show	n/a	48	13	u085.bmp
172.7112727273	n/a	189982.4	show_circle	n/a	n/a	n/a	48	0	circle.bmp
174.4112727273	n/a	191852.4	show_cross	n/a	n/a	n/a	49	1	cross.bmp
