onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	left_sym	n/a	n/a	n/a	n/a
24.1852727273	n/a	6046.3182	show_face	unfamiliar_face	first_show	13	u076.bmp
24.8380000000	n/a	6209.5	right_press	n/a	n/a	4096	n/a
25.0780000000	n/a	6269.5	show_circle	n/a	n/a	0	circle.bmp
26.7780000000	n/a	6694.5	show_cross	n/a	n/a	n/a	cross.bmp
27.2761818182	n/a	6819.0455	show_face	unfamiliar_face	immediate_repeat	14	u076.bmp
27.7325454545	n/a	6933.1364	right_press	n/a	n/a	4096	n/a
28.1107272727	n/a	7027.6818	show_circle	n/a	n/a	0	circle.bmp
29.8107272727	n/a	7452.6818	show_cross	n/a	n/a	n/a	cross.bmp
30.4161818182	n/a	7604.0455	show_face	famous_face	first_show	5	f079.bmp
31.0725454545	n/a	7768.1364	left_press	n/a	n/a	256	n/a
31.3216363636	n/a	7830.4091	show_circle	n/a	n/a	0	circle.bmp
33.0216363636	n/a	8255.4091	show_cross	n/a	n/a	n/a	cross.bmp
33.5398181818	n/a	8384.9545	show_face	scrambled_face	first_show	17	s132.bmp
34.1998181818	n/a	8549.9545	left_press	n/a	n/a	256	n/a
34.4907272727	n/a	8622.6818	show_circle	n/a	n/a	0	circle.bmp
36.1907272727	n/a	9047.6818	show_cross	n/a	n/a	n/a	cross.bmp
36.7316363636	n/a	9182.9091	show_face	scrambled_face	immediate_repeat	18	s132.bmp
37.3125454545	n/a	9328.1364	left_press	n/a	n/a	256	n/a
37.6734545455	n/a	9418.3636	show_circle	n/a	n/a	0	circle.bmp
39.3734545455	n/a	9843.3636	show_cross	n/a	n/a	n/a	cross.bmp
39.9716363636	n/a	9992.9091	show_face	unfamiliar_face	first_show	13	u086.bmp
40.7234545455	n/a	10180.8636	left_press	n/a	n/a	256	n/a
40.8543636364	n/a	10213.5909	show_circle	n/a	n/a	0	circle.bmp
42.5543636364	n/a	10638.5909	show_cross	n/a	n/a	n/a	cross.bmp
43.0789090909	n/a	10769.7273	show_face	unfamiliar_face	immediate_repeat	14	u086.bmp
43.5034545455	n/a	10875.8636	left_press	n/a	n/a	256	n/a
43.9080000000	n/a	10977	show_circle	n/a	n/a	0	circle.bmp
45.6080000000	n/a	11402	show_cross	n/a	n/a	n/a	cross.bmp
46.1361818182	n/a	11534.0455	show_face	scrambled_face	first_show	17	s030.bmp
46.8298181818	n/a	11707.4545	right_press	n/a	n/a	4096	n/a
47.1298181818	n/a	11782.4545	show_circle	n/a	n/a	0	circle.bmp
48.8298181818	n/a	12207.4545	show_cross	n/a	n/a	n/a	cross.bmp
49.3770909091	n/a	12344.2727	show_face	unfamiliar_face	first_show	13	u147.bmp
50.2180000000	n/a	12554.5	left_press	n/a	n/a	256	n/a
50.3825454545	n/a	12595.6364	show_circle	n/a	n/a	0	circle.bmp
52.0825454545	n/a	13020.6364	show_cross	n/a	n/a	n/a	cross.bmp
52.5670909091	n/a	13141.7727	show_face	famous_face	first_show	5	f119.bmp
53.1652727273	n/a	13291.3182	right_press	n/a	n/a	4096	n/a
53.4116363636	n/a	13352.9091	show_circle	n/a	n/a	0	circle.bmp
55.1116363636	n/a	13777.9091	show_cross	n/a	n/a	n/a	cross.bmp
55.7243636364	n/a	13931.0909	show_face	famous_face	immediate_repeat	6	f119.bmp
56.2780000000	n/a	14069.5	right_press	n/a	n/a	4096	n/a
56.6489090909	n/a	14162.2273	show_circle	n/a	n/a	0	circle.bmp
58.3489090909	n/a	14587.2273	show_cross	n/a	n/a	n/a	cross.bmp
58.8316363636	n/a	14707.9091	show_face	famous_face	delayed_repeat	7	f079.bmp
59.5298181818	n/a	14882.4545	left_press	n/a	n/a	256	n/a
59.6643636364	n/a	14916.0909	show_circle	n/a	n/a	0	circle.bmp
61.3643636364	n/a	15341.0909	show_cross	n/a	n/a	n/a	cross.bmp
61.9225454545	n/a	15480.6364	show_face	scrambled_face	first_show	17	s114.bmp
62.6407272727	n/a	15660.1818	left_press	n/a	n/a	256	n/a
62.8125454545	n/a	15703.1364	show_circle	n/a	n/a	0	circle.bmp
64.5125454545	n/a	16128.1364	show_cross	n/a	n/a	n/a	cross.bmp
65.1461818182	n/a	16286.5455	show_face	scrambled_face	immediate_repeat	18	s114.bmp
65.6870909091	n/a	16421.7727	left_press	n/a	n/a	256	n/a
66.1016363636	n/a	16525.4091	show_circle	n/a	n/a	0	circle.bmp
67.8016363636	n/a	16950.4091	show_cross	n/a	n/a	n/a	cross.bmp
68.3870909091	n/a	17096.7727	show_face	scrambled_face	first_show	17	s014.bmp
69.1343636364	n/a	17283.5909	right_press	n/a	n/a	4096	n/a
69.2607272727	n/a	17315.1818	show_circle	n/a	n/a	0	circle.bmp
70.9607272727	n/a	17740.1818	show_cross	n/a	n/a	n/a	cross.bmp
71.5107272727	n/a	17877.6818	show_face	unfamiliar_face	first_show	13	u123.bmp
72.4070909091	n/a	18101.7727	left_press	n/a	n/a	256	n/a
72.4989090909	n/a	18124.7273	show_circle	n/a	n/a	0	circle.bmp
74.1989090909	n/a	18549.7273	show_cross	n/a	n/a	n/a	cross.bmp
74.7180000000	n/a	18679.5	show_face	unfamiliar_face	immediate_repeat	14	u123.bmp
75.2298181818	n/a	18807.4545	left_press	n/a	n/a	256	n/a
75.5798181818	n/a	18894.9545	show_circle	n/a	n/a	0	circle.bmp
77.2798181818	n/a	19319.9545	show_cross	n/a	n/a	n/a	cross.bmp
77.8425454545	n/a	19460.6364	show_face	scrambled_face	delayed_repeat	19	s030.bmp
78.5634545455	n/a	19640.8636	left_press	n/a	n/a	256	n/a
78.7589090909	n/a	19689.7273	show_circle	n/a	n/a	0	circle.bmp
80.4589090909	n/a	20114.7273	show_cross	n/a	n/a	n/a	cross.bmp
81.0661818182	n/a	20266.5455	show_face	famous_face	first_show	5	f147.bmp
81.6643636364	n/a	20416.0909	right_press	n/a	n/a	4096	n/a
82.0207272727	n/a	20505.1818	show_circle	n/a	n/a	0	circle.bmp
83.7207272727	n/a	20930.1818	show_cross	n/a	n/a	n/a	cross.bmp
84.3243636364	n/a	21081.0909	show_face	famous_face	immediate_repeat	6	f147.bmp
84.8943636364	n/a	21223.5909	right_press	n/a	n/a	4096	n/a
85.2398181818	n/a	21309.9545	show_circle	n/a	n/a	0	circle.bmp
86.9398181818	n/a	21734.9545	show_cross	n/a	n/a	n/a	cross.bmp
87.3980000000	n/a	21849.5	show_face	unfamiliar_face	delayed_repeat	15	u147.bmp
88.1516363636	n/a	22037.9091	left_press	n/a	n/a	256	n/a
88.3607272727	n/a	22090.1818	show_circle	n/a	n/a	0	circle.bmp
90.0607272727	n/a	22515.1818	show_cross	n/a	n/a	n/a	cross.bmp
90.7216363636	n/a	22680.4091	show_face	famous_face	first_show	5	f063.bmp
91.2752727273	n/a	22818.8182	right_press	n/a	n/a	4096	n/a
91.5743636364	n/a	22893.5909	show_circle	n/a	n/a	0	circle.bmp
93.2743636364	n/a	23318.5909	show_cross	n/a	n/a	n/a	cross.bmp
93.9298181818	n/a	23482.4545	show_face	famous_face	first_show	5	f090.bmp
94.8870909091	n/a	23721.7727	right_press	n/a	n/a	4096	n/a
94.9261818182	n/a	23731.5455	show_circle	n/a	n/a	0	circle.bmp
96.6261818182	n/a	24156.5455	show_cross	n/a	n/a	n/a	cross.bmp
97.2207272727	n/a	24305.1818	show_face	famous_face	immediate_repeat	6	f090.bmp
97.8352727273	n/a	24458.8182	left_press	n/a	n/a	256	n/a
98.1134545455	n/a	24528.3636	show_circle	n/a	n/a	0	circle.bmp
99.8134545455	n/a	24953.3636	show_cross	n/a	n/a	n/a	cross.bmp
100.4607272727	n/a	25115.1818	show_face	unfamiliar_face	first_show	13	u042.bmp
101.2170909091	n/a	25304.2727	left_press	n/a	n/a	256	n/a
101.3170909091	n/a	25329.2727	show_circle	n/a	n/a	0	circle.bmp
103.0170909091	n/a	25754.2727	show_cross	n/a	n/a	n/a	cross.bmp
103.6016363636	n/a	25900.4091	show_face	scrambled_face	delayed_repeat	19	s014.bmp
104.3952727273	n/a	26098.8182	left_press	n/a	n/a	256	n/a
104.6143636364	n/a	26153.5909	show_circle	n/a	n/a	0	circle.bmp
106.3143636364	n/a	26578.5909	show_cross	n/a	n/a	n/a	cross.bmp
106.9261818182	n/a	26731.5455	show_face	unfamiliar_face	first_show	13	u027.bmp
