onset	duration	sample	event_type	face_type	rep_status	rep_lag	trial	value	stim_file
0.0009090909090909	n/a	1.0	setup_right_sym	n/a	n/a	n/a	n/a	102	n/a
23.744	n/a	26118.4	show_face_initial	unfamiliar_face	first_show	n/a	1	3	u085.bmp
24.5894545455	n/a	27048.4	show_circle	n/a	n/a	n/a	1	0	circle.bmp
24.6876363636	n/a	27156.4	right_press	n/a	n/a	n/a	1	4096	n/a
26.2894545455	n/a	28918.4	show_cross	n/a	n/a	n/a	2	1	cross.bmp
26.884	n/a	29572.4	show_face	unfamiliar_face	first_show	n/a	2	13	u064.bmp
27.5585454545	n/a	30314.4	right_press	n/a	n/a	n/a	2	4096	n/a
27.8867272727	n/a	30675.4	show_circle	n/a	n/a	n/a	2	0	circle.bmp
29.5867272727	n/a	32545.4	show_cross	n/a	n/a	n/a	3	1	cross.bmp
30.0585454545	n/a	33064.4	show_face	unfamiliar_face	immediate_repeat	1	3	14	u064.bmp
30.5276363636	n/a	33580.4	right_press	n/a	n/a	n/a	3	4096	n/a
30.9849090909	n/a	34083.4	show_circle	n/a	n/a	n/a	3	0	circle.bmp
32.6849090909	n/a	35953.4	show_cross	n/a	n/a	n/a	4	1	cross.bmp
33.1821818182	n/a	36500.4	show_face	scrambled_face	first_show	n/a	4	17	s107.bmp
34.0376363636	n/a	37441.4	right_press	n/a	n/a	n/a	4	4096	n/a
34.0521818182	n/a	37457.4	show_circle	n/a	n/a	n/a	4	0	circle.bmp
35.7521818182	n/a	39327.4	show_cross	n/a	n/a	n/a	5	1	cross.bmp
36.3394545455	n/a	39973.4	show_face	famous_face	first_show	n/a	5	5	f099.bmp
37.2249090909	n/a	40947.4	show_circle	n/a	n/a	n/a	5	0	circle.bmp
37.4376363636	n/a	41181.4	right_press	n/a	n/a	n/a	5	4096	n/a
38.9249090909	n/a	42817.4	show_cross	n/a	n/a	n/a	6	1	cross.bmp
39.5303636364	n/a	43483.4	show_face	scrambled_face	first_show	n/a	6	17	s139.bmp
40.4594545455	n/a	44505.4	left_press	n/a	n/a	n/a	6	256	n/a
40.4621818182	n/a	44508.4	show_circle	n/a	n/a	n/a	6	0	circle.bmp
42.1621818182	n/a	46378.4	show_cross	n/a	n/a	n/a	7	1	cross.bmp
42.6203636364	n/a	46882.4	show_face	scrambled_face	immediate_repeat	1	7	18	s139.bmp
43.394	n/a	47733.4	left_press	n/a	n/a	n/a	7	256	n/a
43.5949090909	n/a	47954.4	show_circle	n/a	n/a	n/a	7	0	circle.bmp
45.2949090909	n/a	49824.4	show_cross	n/a	n/a	n/a	8	1	cross.bmp
45.8276363636	n/a	50410.4	show_face	unfamiliar_face	first_show	n/a	8	13	u049.bmp
46.8012727273	n/a	51481.4	right_press	n/a	n/a	n/a	8	4096	n/a
46.8376363636	n/a	51521.4	show_circle	n/a	n/a	n/a	8	0	circle.bmp
48.5376363636	n/a	53391.4	show_cross	n/a	n/a	n/a	9	1	cross.bmp
49.0521818182	n/a	53957.4	show_face	unfamiliar_face	immediate_repeat	1	9	14	u049.bmp
